"action_id","location_scope","region_code","communal_code","doc_relevance","primitive_type","primitive_relation","match_type","policy_subject","subject_match_reason","signal_confidence","explicitness","document_type","document_name","relevance_note","evidence_text","page"
"c40_0015","municipal","09","09108","high","action","commits","direct","Action evidence from Lautaro card: Mejoramiento térmico de viviendas","The policy atom names the same intervention object and mechanism as the action profile.","high","explicit","paccc","Plan de Acción Comunal de Cambio Climático Lautaro 2025-2030","The policy atom names the same intervention object and mechanism as the action profile.","FICHA DE MEDIDAS Y MEDIOS DE IMPLEMENTACIÓN
ÁREA DE TRABAJO: ENERGÍA
Clave
M02
Nombre de la
medida Mejoramiento térmico de viviendas
Objetivo al que se
vincula
Promover la transición energética comunal hacia fuentes renovables y
el aumento de la eficiencia energética en viviendas, equipamientos e
infraestructuras críticas, reduciendo la dependencia de combustibles
fósiles en Lautaro.
Resumen de la
medida/
descripción
Apoyar el acondicionamiento térmico de
viviendas, especialmente en sectores
expuestos a olas de frío y viento, mejorando la
eficiencia energética y el confort interior, con
enfoque en adultos mayores.
Tipo de Medida: BP
(IT) Innovación
Tecnológica/ (I)
Investigación/ (PP)
Políticas y
planificación / (FC)
Fortalecimiento de
Capacidades/ (SAM)
Sistemas de Alerta y
Monitoreo/ (BP)
Buenas prácticas/ (O)
Otro: Indique
Área de Aplicación:
Comunal
Año de inicio: 2025
Año de término: 2030
Estado de la Acción:
Nuevo
Dirección o Unidad Responsable: Dirección de Obras
Municipales
Colaboradores internos: SECPLAN,
Administración Municipal
Aliados estratégicos
*Ministerio de Energía, MINVU,
SEREMI de Energía, SEREMI de
Salud, GORE Araucanía,
Sociedad Civil
Alineación
con
objetivos y
metas de
los ODS
ODS 7: Energía
asequible y no
contaminante (Meta
7.3)
Vinculación con
Planes, Estrategias o
metas locales,
nacionales,
compromisos
globales etc.
*Estrategia Nacional de Eficiencia Energética, Construcción
Sustentable (MINVU), Plan Estratégico de Energía Regional
Políticas e
instrumentos locales *PLADECO, Ordenanza municipal, Planes sectoriales

<!-- page_break: 88 -->

Plan de Acción Comunal de Cambio Climático Lautaro 2025-2030
88


Criterios técnicos/
Información base *Diagnóstico comunal
Tecnología,
infraestructura y
recursos necesarios
*Infraestructura (aislación térmica envolvente, ventanas de
termopanel, sistema pasivo de ventilación), profesionales capacitados
Potenciales barreras
y obstáculos *Costos asociados, falta de conocimiento sobre eficiencia energética
Potenciales fuentes
de financiamiento
*Ministerio de Energía, SEREMI de Energía, MMA, MINVU, GORE
Araucanía
Consideración de
enfoque de género
y/o atención a
grupos vulnerables

Acciones necesarias
para el
cumplimiento de la
medida (A)
*Diagnóstico y planificación, diseño técnico, gestión de recursos y
financiamiento, capacitación y sensibilización de la población
Indicadores de
medición y
verificación
Nombre del
indicador (I)
Cantidad de viviendas con mejoramiento térmico
ejecutado
Fórmula de
cálculo (F)
Conteo de viviendas con intervención térmica
implementada
Medio de
verificación
Registros de programas de vivienda, informes técnicos
de ejecución, certificados de postulación o subsidio
Meta 40 viviendas mejoradas térmicamente al 2030","87"
"c40_0015","municipal","09","09108","high","context","contextualizes","direct","Indicator evidence from Lautaro card: Mejoramiento térmico de viviendas","The policy atom names the same intervention object and mechanism as the action profile.","high","explicit","paccc","Plan de Acción Comunal de Cambio Climático Lautaro 2025-2030","The policy atom names the same intervention object and mechanism as the action profile.","FICHA DE MEDIDAS Y MEDIOS DE IMPLEMENTACIÓN
ÁREA DE TRABAJO: ENERGÍA
Clave
M02
Nombre de la
medida Mejoramiento térmico de viviendas
Objetivo al que se
vincula
Promover la transición energética comunal hacia fuentes renovables y
el aumento de la eficiencia energética en viviendas, equipamientos e
infraestructuras críticas, reduciendo la dependencia de combustibles
fósiles en Lautaro.
Resumen de la
medida/
descripción
Apoyar el acondicionamiento térmico de
viviendas, especialmente en sectores
expuestos a olas de frío y viento, mejorando la
eficiencia energética y el confort interior, con
enfoque en adultos mayores.
Tipo de Medida: BP
(IT) Innovación
Tecnológica/ (I)
Investigación/ (PP)
Políticas y
planificación / (FC)
Fortalecimiento de
Capacidades/ (SAM)
Sistemas de Alerta y
Monitoreo/ (BP)
Buenas prácticas/ (O)
Otro: Indique
Área de Aplicación:
Comunal
Año de inicio: 2025
Año de término: 2030
Estado de la Acción:
Nuevo
Dirección o Unidad Responsable: Dirección de Obras
Municipales
Colaboradores internos: SECPLAN,
Administración Municipal
Aliados estratégicos
*Ministerio de Energía, MINVU,
SEREMI de Energía, SEREMI de
Salud, GORE Araucanía,
Sociedad Civil
Alineación
con
objetivos y
metas de
los ODS
ODS 7: Energía
asequible y no
contaminante (Meta
7.3)
Vinculación con
Planes, Estrategias o
metas locales,
nacionales,
compromisos
globales etc.
*Estrategia Nacional de Eficiencia Energética, Construcción
Sustentable (MINVU), Plan Estratégico de Energía Regional
Políticas e
instrumentos locales *PLADECO, Ordenanza municipal, Planes sectoriales

<!-- page_break: 88 -->

Plan de Acción Comunal de Cambio Climático Lautaro 2025-2030
88


Criterios técnicos/
Información base *Diagnóstico comunal
Tecnología,
infraestructura y
recursos necesarios
*Infraestructura (aislación térmica envolvente, ventanas de
termopanel, sistema pasivo de ventilación), profesionales capacitados
Potenciales barreras
y obstáculos *Costos asociados, falta de conocimiento sobre eficiencia energética
Potenciales fuentes
de financiamiento
*Ministerio de Energía, SEREMI de Energía, MMA, MINVU, GORE
Araucanía
Consideración de
enfoque de género
y/o atención a
grupos vulnerables

Acciones necesarias
para el
cumplimiento de la
medida (A)
*Diagnóstico y planificación, diseño técnico, gestión de recursos y
financiamiento, capacitación y sensibilización de la población
Indicadores de
medición y
verificación
Nombre del
indicador (I)
Cantidad de viviendas con mejoramiento térmico
ejecutado
Fórmula de
cálculo (F)
Conteo de viviendas con intervención térmica
implementada
Medio de
verificación
Registros de programas de vivienda, informes técnicos
de ejecución, certificados de postulación o subsidio
Meta 40 viviendas mejoradas térmicamente al 2030","87"
"c40_0015","municipal","09","09108","high","funding","funds","direct","Funding evidence from Lautaro card: Mejoramiento térmico de viviendas","The policy atom names the same intervention object and mechanism as the action profile.","high","explicit","paccc","Plan de Acción Comunal de Cambio Climático Lautaro 2025-2030","The policy atom names the same intervention object and mechanism as the action profile.","FICHA DE MEDIDAS Y MEDIOS DE IMPLEMENTACIÓN
ÁREA DE TRABAJO: ENERGÍA
Clave
M02
Nombre de la
medida Mejoramiento térmico de viviendas
Objetivo al que se
vincula
Promover la transición energética comunal hacia fuentes renovables y
el aumento de la eficiencia energética en viviendas, equipamientos e
infraestructuras críticas, reduciendo la dependencia de combustibles
fósiles en Lautaro.
Resumen de la
medida/
descripción
Apoyar el acondicionamiento térmico de
viviendas, especialmente en sectores
expuestos a olas de frío y viento, mejorando la
eficiencia energética y el confort interior, con
enfoque en adultos mayores.
Tipo de Medida: BP
(IT) Innovación
Tecnológica/ (I)
Investigación/ (PP)
Políticas y
planificación / (FC)
Fortalecimiento de
Capacidades/ (SAM)
Sistemas de Alerta y
Monitoreo/ (BP)
Buenas prácticas/ (O)
Otro: Indique
Área de Aplicación:
Comunal
Año de inicio: 2025
Año de término: 2030
Estado de la Acción:
Nuevo
Dirección o Unidad Responsable: Dirección de Obras
Municipales
Colaboradores internos: SECPLAN,
Administración Municipal
Aliados estratégicos
*Ministerio de Energía, MINVU,
SEREMI de Energía, SEREMI de
Salud, GORE Araucanía,
Sociedad Civil
Alineación
con
objetivos y
metas de
los ODS
ODS 7: Energía
asequible y no
contaminante (Meta
7.3)
Vinculación con
Planes, Estrategias o
metas locales,
nacionales,
compromisos
globales etc.
*Estrategia Nacional de Eficiencia Energética, Construcción
Sustentable (MINVU), Plan Estratégico de Energía Regional
Políticas e
instrumentos locales *PLADECO, Ordenanza municipal, Planes sectoriales

<!-- page_break: 88 -->

Plan de Acción Comunal de Cambio Climático Lautaro 2025-2030
88


Criterios técnicos/
Información base *Diagnóstico comunal
Tecnología,
infraestructura y
recursos necesarios
*Infraestructura (aislación térmica envolvente, ventanas de
termopanel, sistema pasivo de ventilación), profesionales capacitados
Potenciales barreras
y obstáculos *Costos asociados, falta de conocimiento sobre eficiencia energética
Potenciales fuentes
de financiamiento
*Ministerio de Energía, SEREMI de Energía, MMA, MINVU, GORE
Araucanía
Consideración de
enfoque de género
y/o atención a
grupos vulnerables

Acciones necesarias
para el
cumplimiento de la
medida (A)
*Diagnóstico y planificación, diseño técnico, gestión de recursos y
financiamiento, capacitación y sensibilización de la población
Indicadores de
medición y
verificación
Nombre del
indicador (I)
Cantidad de viviendas con mejoramiento térmico
ejecutado
Fórmula de
cálculo (F)
Conteo de viviendas con intervención térmica
implementada
Medio de
verificación
Registros de programas de vivienda, informes técnicos
de ejecución, certificados de postulación o subsidio
Meta 40 viviendas mejoradas térmicamente al 2030","87"
"c40_0015","municipal","09","09108","high","governance","governs","direct","Governance evidence from Lautaro card: Mejoramiento térmico de viviendas","The policy atom names the same intervention object and mechanism as the action profile.","high","explicit","paccc","Plan de Acción Comunal de Cambio Climático Lautaro 2025-2030","The policy atom names the same intervention object and mechanism as the action profile.","FICHA DE MEDIDAS Y MEDIOS DE IMPLEMENTACIÓN
ÁREA DE TRABAJO: ENERGÍA
Clave
M02
Nombre de la
medida Mejoramiento térmico de viviendas
Objetivo al que se
vincula
Promover la transición energética comunal hacia fuentes renovables y
el aumento de la eficiencia energética en viviendas, equipamientos e
infraestructuras críticas, reduciendo la dependencia de combustibles
fósiles en Lautaro.
Resumen de la
medida/
descripción
Apoyar el acondicionamiento térmico de
viviendas, especialmente en sectores
expuestos a olas de frío y viento, mejorando la
eficiencia energética y el confort interior, con
enfoque en adultos mayores.
Tipo de Medida: BP
(IT) Innovación
Tecnológica/ (I)
Investigación/ (PP)
Políticas y
planificación / (FC)
Fortalecimiento de
Capacidades/ (SAM)
Sistemas de Alerta y
Monitoreo/ (BP)
Buenas prácticas/ (O)
Otro: Indique
Área de Aplicación:
Comunal
Año de inicio: 2025
Año de término: 2030
Estado de la Acción:
Nuevo
Dirección o Unidad Responsable: Dirección de Obras
Municipales
Colaboradores internos: SECPLAN,
Administración Municipal
Aliados estratégicos
*Ministerio de Energía, MINVU,
SEREMI de Energía, SEREMI de
Salud, GORE Araucanía,
Sociedad Civil
Alineación
con
objetivos y
metas de
los ODS
ODS 7: Energía
asequible y no
contaminante (Meta
7.3)
Vinculación con
Planes, Estrategias o
metas locales,
nacionales,
compromisos
globales etc.
*Estrategia Nacional de Eficiencia Energética, Construcción
Sustentable (MINVU), Plan Estratégico de Energía Regional
Políticas e
instrumentos locales *PLADECO, Ordenanza municipal, Planes sectoriales

<!-- page_break: 88 -->

Plan de Acción Comunal de Cambio Climático Lautaro 2025-2030
88


Criterios técnicos/
Información base *Diagnóstico comunal
Tecnología,
infraestructura y
recursos necesarios
*Infraestructura (aislación térmica envolvente, ventanas de
termopanel, sistema pasivo de ventilación), profesionales capacitados
Potenciales barreras
y obstáculos *Costos asociados, falta de conocimiento sobre eficiencia energética
Potenciales fuentes
de financiamiento
*Ministerio de Energía, SEREMI de Energía, MMA, MINVU, GORE
Araucanía
Consideración de
enfoque de género
y/o atención a
grupos vulnerables

Acciones necesarias
para el
cumplimiento de la
medida (A)
*Diagnóstico y planificación, diseño técnico, gestión de recursos y
financiamiento, capacitación y sensibilización de la población
Indicadores de
medición y
verificación
Nombre del
indicador (I)
Cantidad de viviendas con mejoramiento térmico
ejecutado
Fórmula de
cálculo (F)
Conteo de viviendas con intervención térmica
implementada
Medio de
verificación
Registros de programas de vivienda, informes técnicos
de ejecución, certificados de postulación o subsidio
Meta 40 viviendas mejoradas térmicamente al 2030","87"
"c40_0015","municipal","09","09108","high","target","targets","direct","Target evidence from Lautaro card: Mejoramiento térmico de viviendas","The policy atom names the same intervention object and mechanism as the action profile.","high","explicit","paccc","Plan de Acción Comunal de Cambio Climático Lautaro 2025-2030","The policy atom names the same intervention object and mechanism as the action profile.","FICHA DE MEDIDAS Y MEDIOS DE IMPLEMENTACIÓN
ÁREA DE TRABAJO: ENERGÍA
Clave
M02
Nombre de la
medida Mejoramiento térmico de viviendas
Objetivo al que se
vincula
Promover la transición energética comunal hacia fuentes renovables y
el aumento de la eficiencia energética en viviendas, equipamientos e
infraestructuras críticas, reduciendo la dependencia de combustibles
fósiles en Lautaro.
Resumen de la
medida/
descripción
Apoyar el acondicionamiento térmico de
viviendas, especialmente en sectores
expuestos a olas de frío y viento, mejorando la
eficiencia energética y el confort interior, con
enfoque en adultos mayores.
Tipo de Medida: BP
(IT) Innovación
Tecnológica/ (I)
Investigación/ (PP)
Políticas y
planificación / (FC)
Fortalecimiento de
Capacidades/ (SAM)
Sistemas de Alerta y
Monitoreo/ (BP)
Buenas prácticas/ (O)
Otro: Indique
Área de Aplicación:
Comunal
Año de inicio: 2025
Año de término: 2030
Estado de la Acción:
Nuevo
Dirección o Unidad Responsable: Dirección de Obras
Municipales
Colaboradores internos: SECPLAN,
Administración Municipal
Aliados estratégicos
*Ministerio de Energía, MINVU,
SEREMI de Energía, SEREMI de
Salud, GORE Araucanía,
Sociedad Civil
Alineación
con
objetivos y
metas de
los ODS
ODS 7: Energía
asequible y no
contaminante (Meta
7.3)
Vinculación con
Planes, Estrategias o
metas locales,
nacionales,
compromisos
globales etc.
*Estrategia Nacional de Eficiencia Energética, Construcción
Sustentable (MINVU), Plan Estratégico de Energía Regional
Políticas e
instrumentos locales *PLADECO, Ordenanza municipal, Planes sectoriales

<!-- page_break: 88 -->

Plan de Acción Comunal de Cambio Climático Lautaro 2025-2030
88


Criterios técnicos/
Información base *Diagnóstico comunal
Tecnología,
infraestructura y
recursos necesarios
*Infraestructura (aislación térmica envolvente, ventanas de
termopanel, sistema pasivo de ventilación), profesionales capacitados
Potenciales barreras
y obstáculos *Costos asociados, falta de conocimiento sobre eficiencia energética
Potenciales fuentes
de financiamiento
*Ministerio de Energía, SEREMI de Energía, MMA, MINVU, GORE
Araucanía
Consideración de
enfoque de género
y/o atención a
grupos vulnerables

Acciones necesarias
para el
cumplimiento de la
medida (A)
*Diagnóstico y planificación, diseño técnico, gestión de recursos y
financiamiento, capacitación y sensibilización de la población
Indicadores de
medición y
verificación
Nombre del
indicador (I)
Cantidad de viviendas con mejoramiento térmico
ejecutado
Fórmula de
cálculo (F)
Conteo de viviendas con intervención térmica
implementada
Medio de
verificación
Registros de programas de vivienda, informes técnicos
de ejecución, certificados de postulación o subsidio
Meta 40 viviendas mejoradas térmicamente al 2030","87"
"c40_0015","municipal","13","13103","high","action","commits","direct","Named municipal measure M19: Ejecutar  un  programa  de  aislamiento  térmico  de  viviendas  sociales  en  barrios  de  alta  vulnerabilidad","The policy atom names the same intervention object and mechanism as the action profile.","high","explicit","paccc","Plan de Acción Comunal de Cambio Climático de Cerro Navia","The policy atom names the same intervention object and mechanism as the action profile.","Ejecutar un programa de aislamiento térmico de viviendas sociales en barrios de alta vulnerabilidad","55"
"c40_0015","municipal","13","13203","high","action","commits","direct","MT17 municipal climate measure: Promoción de reacondicionamiento térmico de viviendas mediante mejoras a la envolvente térmica de las viviendas para aumentar su eficiencia energética y reducir la demanda de calefacción.","The policy atom names the same intervention object and mechanism as the action profile.","high","explicit","paccc","Plan de Acción Comunal de Cambio Climático de San José de Maipo 2025-2030","The policy atom names the same intervention object and mechanism as the action profile.","Promoción de reacondicionamiento térmico de viviendas mediante mejoras a la envolvente térmica de las viviendas para aumentar su eficiencia energética y reducir la demanda de calefacción.","87"
"c40_0015","municipal","13","13203","high","context","contextualizes","direct","Implementation description for MT17: Promoción de reacondicionamiento térmico de viviendas mediante mejoras a la envolvente térmica de las viviendas para aumentar su eficiencia energética y reducir la demanda de calefacción.","The policy atom names the same intervention object and mechanism as the action profile.","high","explicit","paccc","Plan de Acción Comunal de Cambio Climático de San José de Maipo 2025-2030","The policy atom names the same intervention object and mechanism as the action profile.","Esta iniciativa se centra en fomentar la adopción de medidas para mejorar el aislamiento térmico de las viviendas existentes en San José de Maipo. Esto se logrará a través de una campaña de promoción que destacarán los beneficios de una envolvente térmica eficiente: reducción del consumo energético para calefacción (y potencialmente refrigeración en verano), ahorro económico en las cuentas de energía, mayor confort interior y disminución de las emisiones de gases de efecto invernadero. La campaña podría incluir la difusión de información técnica, la organización de talleres prácticos, la orientación a posibles fondos concursables y la promoción de ejemplos de viviendas que ya han realizado estas mejoras.","125"
"c40_0015","municipal","13","13203","high","funding","funds","direct","Financing for MT17: Promoción de reacondicionamiento térmico de viviendas mediante mejoras a la envolvente térmica de las viviendas para aumentar su eficiencia energética y reducir la demanda de calefacción.","The policy atom names the same intervention object and mechanism as the action profile.","high","explicit","paccc","Plan de Acción Comunal de Cambio Climático de San José de Maipo 2025-2030","The policy atom names the same intervention object and mechanism as the action profile.","Fondos concursables","96"
"c40_0015","municipal","13","13203","high","governance","governs","direct","Assigned responsibilities for MT17: Promoción de reacondicionamiento térmico de viviendas mediante mejoras a la envolvente térmica de las viviendas para aumentar su eficiencia energética y reducir la demanda de calefacción.","The policy atom names the same intervention object and mechanism as the action profile.","high","explicit","paccc","Plan de Acción Comunal de Cambio Climático de San José de Maipo 2025-2030","The policy atom names the same intervention object and mechanism as the action profile.","Dirección responsable Direcciones colaboradoras Actores relacionados SECPLA DIDECO, Vivienda social SUBDERE GORE Ministerio de energía SEREMI ENERGÍA JJVV Organizaciones Comunitarias MINVU","125"
"c40_0015","municipal","13","13203","high","monitoring","monitors","direct","Target and monitoring indicator for MT17: Promoción de reacondicionamiento térmico de viviendas mediante mejoras a la envolvente térmica de las viviendas para aumentar su eficiencia energética y reducir la demanda de calefacción.","The policy atom names the same intervention object and mechanism as the action profile.","high","explicit","paccc","Plan de Acción Comunal de Cambio Climático de San José de Maipo 2025-2030","The policy atom names the same intervention object and mechanism as the action profile.","Meta Indicador Fórmula de cálculo Aumentar significativament e el número de Número de viviendas en la comuna que han Cumplimiento = Número total de viviendas que","125"
"c40_0015","municipal","13","13203","high","target","targets","direct","Implementation period for MT17: Promoción de reacondicionamiento térmico de viviendas mediante mejoras a la envolvente térmica de las viviendas para aumentar su eficiencia energética y reducir la demanda de calefacción.","The policy atom names the same intervention object and mechanism as the action profile.","high","explicit","paccc","Plan de Acción Comunal de Cambio Climático de San José de Maipo 2025-2030","The policy atom names the same intervention object and mechanism as the action profile.","Año de Inicio Año de término Estado de la Acción 2025 2030 y más Sin iniciar","108"
"c40_0015","municipal","16","16206","high","action","commits","direct","Action evidence from Ránquil card: Plan de Eficiencia Energética y Acondicionamiento Térmico en Viviendas de Ránquil","The policy atom names the same intervention object and mechanism as the action profile.","high","explicit","paccc","Plan de Acción Comunal de Cambio Climático - Ránquil","The policy atom names the same intervention object and mechanism as the action profile.","MEDIOS DE IMPLEMENTACIÓN COMPONENTE MITIGACIÓN
Área de trabajo:  Energía
Ficha No. M01
Nombre de la medida/acción
Plan de Eficiencia Energética y Acondicionamiento Térmico en Viviendas de Ránquil
Objetivo al que se vincula
Desarrollar un programa integral de eficiencia energética en la comuna de Ránquil, fortaleciendo
capacidades locales para la autonomía energética y reduciendo el consumo de energía en viviendas a
través de tecnologías sostenibles.
Resumen de la acción/ descripción
Implementación de un plan de eficiencia energética que contemple el acondicionamiento térmico de
viviendas en Ránquil, priorizando hogares vulnerables. Se promoverá la aplicación de materiales aislantes,
sistemas de calefacción sustentables y capacitaciones comunitarias sobre uso eficiente de la energía.


Actividades

1. Diagnóstico de viviendas vulnerables con déficit térmico y
priorización comunal.
2. Capacitación de cuadrillas municipales en técnicas básicas
de aislación térmica.
3. Postulación comunal al Programa de Acondicionamiento
Térmico del MINVU.
4. Entrega de kits de eficiencia energética (aislantes, burletes,
cortinas térmicas) a hogares priorizados.
5. Monitoreo anual de consumo energético post intervención
con apoyo de SEC y CORFO.
Área de aplicación: Comunal
Año de inicio: 2026
Año de término: 2030
Estado de la Acción:
Planificado

Responsable
SECPLAN (con apoyo de Dirección
de Obras)
Principales actores vinculados
(locales, regionales y nacionales) ● Nacional y Regional: Ministerio de Energía, Ministerio de Medio Ambiente, Ministerio de
Vivienda y Urbanismo, Agencia de Sostenibilidad Energética, CORFO, Seremis de
instituciones asociadas, GORE, CORECC, Universidades y ONGs.
● Local: Municipalidad de Ránquil, Juntas de Vecinos, comunidad.

Vinculación con ODS
● ODS 7: Energía asequible y no contaminante.
● ODS 9: Infraestructura sostenible e innovación.
● ODS 11: Ciudades y comunidades sostenibles.
● ODS 13: Acción por el clima.

Vinculación (planes, estrategias o
metas locales nacionales,
compromisos globales etc.) ● Plan de Acción Comunal de Cambio Climático (PACCC) de Ránquil.
● Estrategia Nacional de Energía 2050.
● Ley de Eficiencia Energética (Ley N°20.571).

Políticas e instrumentos locales
que deben ser implementadas o ● Creación de incentivos municipales para el acondicionamiento térmico.
Plan de Acción Comunal de Cambio Climático | Ránquil

<!-- page_break: 168 -->

modificadas para aplicar el
objetivo (si aplica)
● Desarrollo de normativas para la eficiencia energética en construcciones.
Información y capacidades
técnicas necesarias ● Diagnóstico de viviendas con deficiencia térmica.
● Capacidades técnicas en instalación de materiales aislantes y tecnologías de eficiencia
energética.

Potenciales fuentes de
financiamiento ● Fondos públicos nacionales y regionales (GORE, CORFO, FNDR).
● Cooperación con el sector privado y ONGs.
● Programas municipales de eficiencia energética.

Tecnología, infraestructura y
recursos necesarios ● Materiales aislantes (poliuretano, lana mineral, ventanas de doble acristalamiento).
● Sistemas de calefacción eficiente (calefactores a biomasa, paneles solares térmicos).
● Infraestructura para capacitaciones comunitarias.

Potenciales barreras y obstáculos
● Falta de financiamiento estable.
● Falta de personal capacitado en instalación de soluciones energéticas.
● Falta de información y concienciación sobre eficiencia energética en la comunidad.

Indicadores de medición y
verificación
Nombre del indicador
Porcentaje de viviendas
beneficiadas con medidas de
eficiencia energética.
Fórmula de cálculo
(Viviendas con acondicionamiento
térmico / Total de viviendas) x 100

Medio de verificación
Reportes municipales de
implementación.
Fotografías antes y después de
la intervención.
Evaluaciones periódicas del
consumo energético
post-intervención.

Meta
Lograr que al menos el 40% de las viviendas en Ránquil cuenten con mejoras en su eficiencia térmica
para 2030.","167"
