ActionID,record_id,document_id,record_type,source_native_id,relationship,match_relevance,explicitness,match_confidence,evidence_strength,evidence_text_pt,evidence_text_en,supporting_resources_en,supporting_indicators_en,pdf_page_start,pdf_page_end,match_rationale_en,review_status
icare_0145,br-secadp-saude-2026:m14,br-secadp-saude-2026,target,M14,targets,high,explicit,high,0.8500,"Estabelecer diretrizes e medidas para a infraestrutura, equipes e procedimentos de saúde para garantir a continuidade das ações e serviços de saúde em eventos climáticos extremos, implementandoas em todas as regiões do país, até 2031","Establish guidelines and measures for infrastructure, teams and health procedures to ensure continuity of health actions and services in extreme climate events, implementing in all regions of the country, until 2031",[],"[""Published guidelines.""]",67,67,"The target covers infrastructure, teams, procedures, and continuity of health services during extreme climate events in every region.",pilot_proposed
ipcc_0099,br-secadp-seguranca-alimentar-2026:m22,br-secadp-seguranca-alimentar-2026,target,M22,targets,high,explicit,high,0.8500,"Ampliar a capacidade produtiva, provendo 200 mil tecnologias eficientes de captação e armazenamento de água, até 2035, promovendo práticas sustentáveis e resilientes à mudança do clima","Expanding productive capacity by providing 200 thousand efficient water capture and storage technologies, up to 2035, promoting sustainable and climate-resilient practices",[],"[""Indicator 1 – Number of low-income rural families that have adopted tanks, underground dams, treatment and reuse systems, among other systems/technologies for capturing, storing or irrigation of low consumption for sustainable productive activities. Indicator 2 – Number of families who received training and training on techniques and practices for the management and sustainable use of water for food production using adjusted/adapted material.""]",50,50,"The target provides 200,000 efficient water-capture and storage technologies for climate-resilient production.",pilot_proposed
ipcc_0099,br-secadp-seguranca-alimentar-2026:a1-m22,br-secadp-seguranca-alimentar-2026,action,A1.M22,commits,high,explicit,high,1.0000,Implementar tecnologias sociais e outros sistemas eficientes de captação e armazenamento de água ou irrigação de baixo consumo para a produção de alimentos.,Implement social technologies and other efficient systems of water collection and storage or low consumption irrigation for food production.,"[""5133 Programme – Food and Nutrition Security and Fight against Hunger Specific objective 0370 – Extend access to water for consumption and production for rural families of the Single Registry, through the implementation of social water storage technologies. Delivery 0816 - Social technologies for access to water for consumption and production.""]",[],50,50,The action implements efficient water collection and storage systems for food production.,pilot_proposed
ipcc_0099,br-secadp-seguranca-alimentar-2026:a1-m23,br-secadp-seguranca-alimentar-2026,action,A1.M23,commits,high,explicit,high,1.0000,"Implementar tecnologias sociais e outros sistemas individuais e coletivos eficientes de captação, armazenamento e distribuição de água para consumo.","Implement social technologies and other efficient individual and collective systems to capture, store and distribute water for consumption.","[""5133 Programme – Food and Nutrition Security and Fight against Hunger Specific objective 0370 – Extend access to water for consumption and production for rural families of the Single Registry, through the implementation of social water storage technologies. Delivery 0816 - Social technologies for access to water for consumption and production.""]",[],50,50,"The action implements individual and collective systems to capture, store, and distribute water for consumption.",pilot_proposed
ipcc_0099,br-secadp-recursos-hidricos-2026:a5-m4,br-secadp-recursos-hidricos-2026,action,A5.M4,funds,high,explicit,high,0.8500,"Fomentar tecnologias sociais de conservação de água em microbacias, a exemplo das Barragens de Base Zero, a partir de linhas de financiamento, implementação das tecnologias, parcerias locais, manuais, capacitações, entre outras.","Fostering social water conservation technologies in microbasins, such as Zero Base Dams, from financing lines, technology implementation, local partnerships, manuals, training, among others.","[""Program 2321 – Water Resources; Specific Objective 0054 – Preserve, conserve and recover watersheds, especially those in vulnerable situations.""]",[],63,63,"The action supports microbasin water-conservation structures through finance, implementation, partnerships, and training.",pilot_proposed
ipcc_0100,br-secadp-agricultura-familiar-2026:m1,br-secadp-agricultura-familiar-2026,target,M1,targets,high,explicit,high,0.8500,"Implementar 26 projetos de irrigação com energia renovável e 110 projetos de sistemas produtivos sustentáveis, com irrigação localizada e reaproveitamento de água, até 2031","Implement 26 irrigation projects with renewable energy and 110 sustainable production systems projects, with localized irrigation and water reuse, up to 2031",[],"[""Percentage of renewable energy irrigation projects and sustainable production systems implemented, in relation to the 136 target projects (26 of renewable energy irrigation and 110 with localized irrigation, water reuse and photovoltaic technologies), up to 2031.""]",30,30,The target quantifies localized-irrigation and water-reuse projects for family farming.,pilot_proposed
ipcc_0100,br-secadp-agricultura-familiar-2026:a1-m1,br-secadp-agricultura-familiar-2026,action,A1.M1,commits,high,explicit,high,1.0000,"Implementar sistemas produtivos sustentáveis com irrigação localizada, reaproveitamento de água e uso de tecnologias de energia renovável, como sistemas fotovoltaicos, em propriedades da agricultura familiar","Implement sustainable productive systems with localized irrigation, reuse of water and use of renewable energy technologies, such as photovoltaic systems, in family farming properties","[""Program 5136 Actions 210 X and 21 B 6""]",[],30,30,The action implements localized irrigation and water reuse in family-farming production systems.,pilot_proposed
ipcc_0100,br-secadp-seguranca-alimentar-2026:a2-m14,br-secadp-seguranca-alimentar-2026,action,A2.M14,commits,high,explicit,high,1.0000,"Disponibilizar formação e assistência técnica aos aquicultores familiares de localidades mais sensíveis aos efeitos da mudança do clima, com foco na aquicultura sustentável e no uso eficiente da água.","To provide training and technical assistance to family fish farmers in locations more sensitive to the effects of climate change, focusing on sustainable aquaculture and the efficient use of water.","[""5801 Programme – Sustainable Fisheries and Aquaculture Specific objective 0389 - Promoting the appreciation of national fish and increasing aquaculture production. Delivery 1081 - Technical assistance and fishing extension for artisanal fishing.""]",[],46,46,The action provides technical assistance on water-efficient sustainable aquaculture in climate-sensitive locations.,pilot_proposed
ipcc_0100,br-secadp-industria-mineracao-2026:m3,br-secadp-industria-mineracao-2026,target,M3,targets,high,explicit,high,0.8500,"Aumentar o reúso de água e reduzir a captação hídrica de mananciais na indústria nacional, até 2035","Increase water reuse and reduce water capture in national industry, up to 2035",[],"[""Annual percentage of reuse water in the national industry in relation to total water consumed (%). Annual percentage of water capture of industries from sources (%).""]",43,43,The target increases industrial water reuse and reduces abstraction through 2035.,pilot_proposed
ipcc_0100,br-secadp-industria-mineracao-2026:a1-m3,br-secadp-industria-mineracao-2026,action,A1.M3,commits,high,explicit,high,1.0000,"Fomentar Sistemas de Reciclagem e Reúso de Água para uso industrial, incluindo as atividades minerais","Fomenting Water Recycling and Reuse Systems for industrial use, including mineral activities","[""–""]",[],43,43,The action promotes industrial and mining water recycling and reuse systems.,pilot_proposed
c40_0056,br-secadp-recursos-hidricos-2026:o3,br-secadp-recursos-hidricos-2026,objective,O3,prioritizes,high,explicit,high,0.5500,Ampliar a segurança hídrica por meio da revitalização de bacias hidrográficas e do acesso a água em quantidade e qualidade.,To increase water safety through the revitalization of watersheds and access to water in quantity and quality.,[],[],62,62,The water-resources objective explicitly links water security to watershed revitalization and reliable water quality and quantity.,pilot_proposed
c40_0056,br-secadp-recursos-hidricos-2026:a1-m4,br-secadp-recursos-hidricos-2026,action,A1.M4,prioritizes,high,explicit,high,0.5500,"Identificar áreas prioritárias para revitalização e recuperação de bacias hidrográficas, considerando os cenários climáticos e priorizando áreas de interesse para proteção de mananciais utilizados para o abastecimento público (PNRH, Programa 1, Ação 1.4.5 e 1.5.1).","Identify priority areas for revitalization and recovery of river basins, considering climate scenarios and prioritizing areas of interest for protection of sources used for public supply (PNRH, 1 Program, 1.4 Action. 5 and 1.5. 1).","[""Program 2321 – Water Resources; Specific Objective 0054 – Preserve, conserve and recover watersheds, especially those in vulnerable situations.""]",[],62,62,The action identifies priority basins for recovery and sources used for public supply for protection under climate scenarios.,pilot_proposed
c40_0056,br-secadp-recursos-hidricos-2026:a3-m4,br-secadp-recursos-hidricos-2026,action,A3.M4,commits,high,explicit,high,1.0000,"Elaborar, implementar e monitorar projetos de recuperação de Áreas de Preservação Permanente (APP) e áreas úmidas, e promover a conservação dos solos das áreas adjacentes, considerando áreas prioritárias para proteção de mananciais utilizados para o abastecimento público e área de recarga de aquífero em parceria com entes públicos e privados (PNRH, Programa 4, Ação 4.2.3).","Develop, implement and monitor projects to recover Permanent Preservation Areas (APP) and wetlands, and promote soil conservation in adjacent areas, considering priority areas for the protection of sources used for public supply and aquifer recharge area in partnership with public and private entities (PNRH, 4 Program, Action 4.2. 3).","[""Program 2321 – Water Resources; Specific Objective 0054 – Preserve, conserve and recover watersheds, especially those in vulnerable situations; Delivery 0991 – Implementation of water and soil conservation actions – Water Producer Program; Delivery 1614 – Implementation of hydroenvironmental recovery projects of watersheds by Codevasf; MIN 076 D – Improving satellite monitoring of Brazilian watersheds; MIN 0739 – Implantation of Information System on the Revitalization of Water Basins.""]",[],62,62,"The action implements and monitors wetland, protected-area, soil, source-water, and aquifer-recharge restoration projects.",pilot_proposed
c40_0056,br-secadp-recursos-hidricos-2026:a6-m4,br-secadp-recursos-hidricos-2026,action,A6.M4,governs,high,explicit,high,0.6500,"Estabelecer uma estrutura de governança nacional das ações de revitalização de bacias hidrográficas no país, com vistas a gerar coordenação e direcionamento a essas ações, com ampla participação social, incluindo as comunidades vulneráveis, concessionárias de água e esgoto, setor público e sociedade civil.","Establish a national governance structure of river basin revitalization actions in the country, with a view to generating coordination and targeting these actions, with broad social participation, including vulnerable communities, water and sewage concessionaires, public sector and civil society.","[""Program 2321 – Water Resources; Specific Objective 0054 – Preserve, conserve and recover watersheds, especially those in vulnerable situations.""]",[],63,63,The action establishes national participatory governance for river-basin revitalization.,pilot_proposed
c40_0056,br-secadp-riscos-desastres-2026:a3-m1,br-secadp-riscos-desastres-2026,action,A3.M1,commits,high,explicit,high,1.0000,"Implementar projetos de revitalização de bacias hidrográficas para aumentar a cobertura vegetal e melhorar a infiltração de água para mitigar inundações, erosões, alagamentos e enxurradas e melhorar a qualidade da água (Projetos de revitalização apoiados / 2027: 10; 2031: 30; 2035: 50 / SNH-MIDR).","Implement river basin revitalization projects to increase vegetation cover and improve water infiltration to mitigate floods, erosions, floods and floods and improve water quality (supported revitalization projects / 2027: 10; 2031: 30; 2035: 50 / SNH-MIDR).","[""Program 2318 – Risk and Disaster Management; Program 2321 – Water Resources; Specific Objective 0054 – Preserve, conserve and recover watersheds, especially those in vulnerable situations.""]",[],49,49,"The action implements quantified basin-revitalization projects to improve infiltration, flood resilience, erosion control, and water quality.",pilot_proposed
