sm_section,option,dimension,indicator,is_city_varying,city_indicator,city_indicator_datasource,sr15_code,sign
"Urban — planning, EV, sharing",Electric cars and buses,economic,distributional_effects,yes,poverty_rate,cl-casen 2022,A,-1
"Urban — planning, EV, sharing",Sharing schemes,economic,distributional_effects,yes,poverty_rate,cl-casen 2022,C,-1
"Urban — transit, active, aviation",Public transport,economic,distributional_effects,yes,poverty_rate,cl-casen 2022,C,-1
"Urban — transit, active, aviation",Non-motorised transport,economic,distributional_effects,yes,poverty_rate,cl-casen 2022,C,-1
"Urban — grid, appliances, buildings",Low/zero-energy buildings,economic,distributional_effects,yes,poverty_rate,cl-casen 2022,C,-1
"CDR — afforestation, soil, weathering",Soil carbon sequestration & biochar,economic,distributional_effects,yes,poverty_rate,cl-casen 2022,C,-1
"Urban — grid, appliances, buildings",Low/zero-energy buildings,economic,distributional_effects,yes,home_ownership,cl-ine-censo 2024,C,1
"Urban — grid, appliances, buildings",Low/zero-energy buildings,economic,distributional_effects,yes,renter_share,cl-ine-censo 2024,C,-1
Energy — renewables,Wind (on-shore & off-shore),economic,employment_productivity,yes,unemployment_rate,cl-casen 2022,C,1
Energy — renewables,Solar PV,economic,employment_productivity,yes,unemployment_rate,cl-casen 2022,C,1
Energy — renewables,Bioenergy,economic,employment_productivity,yes,unemployment_rate,cl-casen 2022,C,1
"Urban — transit, active, aviation",Public transport,economic,employment_productivity,yes,unemployment_rate,cl-casen 2022,C,1
"Urban — grid, appliances, buildings",Smart grids,economic,employment_productivity,yes,unemployment_rate,cl-casen 2022,C,1
"Urban — grid, appliances, buildings",Low/zero-energy buildings,economic,employment_productivity,yes,unemployment_rate,cl-casen 2022,C,1
"CDR — afforestation, soil, weathering",Soil carbon sequestration & biochar,economic,employment_productivity,yes,unemployment_rate,cl-casen 2022,C,1
"Urban — grid, appliances, buildings",Low/zero-energy buildings,economic,employment_productivity,yes,industry_construction_employment,cl-ine-censo 2024,C,1
"Urban — transit, active, aviation",Public transport,economic,employment_productivity,yes,employment_in_transport_and_logistics,cl-ine-censo 2024,C,1
"Urban — grid, appliances, buildings",Efficient appliances,technological,technical_scalability,yes,electricity_access_rate,cl-ine-censo 2024,C,1
"Urban — grid, appliances, buildings",Low/zero-energy buildings,technological,technical_scalability,yes,electricity_access_rate,cl-ine-censo 2024,C,1
Energy — storage/CCS/nuclear,Electricity storage,technological,technical_scalability,yes,electricity_access_rate,cl-ine-censo 2024,C,1
Energy — storage/CCS/nuclear,Power sector CCS,technological,technical_scalability,yes,electricity_access_rate,cl-ine-censo 2024,C,1
Energy — storage/CCS/nuclear,Nuclear energy,technological,technical_scalability,yes,electricity_access_rate,cl-ine-censo 2024,C,1
"Urban — grid, appliances, buildings",Smart grids,technological,technical_scalability,yes,electricity_access_rate,cl-ine-censo 2024,C,1
Energy — storage/CCS/nuclear,Electricity storage,technological,technical_scalability,yes,fixed_internet_household_share,cl-ine-censo 2024,C,1
Energy — storage/CCS/nuclear,Power sector CCS,technological,technical_scalability,yes,fixed_internet_household_share,cl-ine-censo 2024,C,1
Energy — storage/CCS/nuclear,Nuclear energy,technological,technical_scalability,yes,fixed_internet_household_share,cl-ine-censo 2024,C,1
"Urban — grid, appliances, buildings",Smart grids,technological,technical_scalability,yes,fixed_internet_household_share,cl-ine-censo 2024,C,1
"Urban — grid, appliances, buildings",Efficient appliances,technological,technical_scalability,yes,fixed_internet_household_share,cl-ine-censo 2024,C,1
"Urban — grid, appliances, buildings",Low/zero-energy buildings,technological,technical_scalability,yes,fixed_internet_household_share,cl-ine-censo 2024,C,1
"Urban — planning, EV, sharing",Electric cars and buses,technological,technical_scalability,yes,fixed_internet_household_share,cl-ine-censo 2024,C,1
"Urban — planning, EV, sharing",Sharing schemes,technological,technical_scalability,yes,fixed_internet_household_share,cl-ine-censo 2024,C,1
"Urban — transit, active, aviation",Public transport,technological,technical_scalability,yes,fixed_internet_household_share,cl-ine-censo 2024,C,1
"Urban — transit, active, aviation",Non-motorised transport,technological,technical_scalability,yes,fixed_internet_household_share,cl-ine-censo 2024,C,1
"Urban — transit, active, aviation",Aviation & shipping,technological,technical_scalability,yes,fixed_internet_household_share,cl-ine-censo 2024,C,1
"Urban — planning, EV, sharing",Electric cars and buses,institutional,institutional_capacity,yes,employment_in_transport_and_logistics,cl-ine-censo 2024,C,1
"Urban — planning, EV, sharing",Sharing schemes,institutional,institutional_capacity,yes,employment_in_transport_and_logistics,cl-ine-censo 2024,A,1
"Urban — transit, active, aviation",Public transport,institutional,institutional_capacity,yes,employment_in_transport_and_logistics,cl-ine-censo 2024,C,1
"Urban — transit, active, aviation",Aviation & shipping,institutional,institutional_capacity,yes,employment_in_transport_and_logistics,cl-ine-censo 2024,A,1
Industrial,Bio-based & circularity,institutional,institutional_capacity,yes,industry_construction_employment,cl-ine-censo 2024,A,1
Energy — storage/CCS/nuclear,Nuclear energy,institutional,institutional_capacity,yes,employment_agriculture_utilities,cl-ine-censo 2024,A,1
"Urban — grid, appliances, buildings",Smart grids,institutional,institutional_capacity,yes,employment_agriculture_utilities,cl-ine-censo 2024,A,1
"Urban — grid, appliances, buildings",Efficient appliances,socio_cultural,public_acceptance,yes,home_ownership,cl-ine-censo 2024,C,1
"Urban — grid, appliances, buildings",Efficient appliances,socio_cultural,public_acceptance,yes,renter_share,cl-ine-censo 2024,C,-1
Land & ecosystem,Sustainable intensification,socio_cultural,public_acceptance,yes,indigenous_identification_rate,cl-ine-censo 2024,C,1
"CDR — afforestation, soil, weathering",Soil carbon sequestration & biochar,socio_cultural,public_acceptance,yes,indigenous_identification_rate,cl-ine-censo 2024,C,1
Energy — renewables,Wind (on-shore & off-shore),socio_cultural,inclusiveness,yes,poverty_rate,cl-casen 2022,C,-1
Energy — storage/CCS/nuclear,Electricity storage,socio_cultural,inclusiveness,yes,poverty_rate,cl-casen 2022,C,-1
"Urban — transit, active, aviation",Public transport,socio_cultural,inclusiveness,yes,poverty_rate,cl-casen 2022,C,-1
"Urban — transit, active, aviation",Non-motorised transport,socio_cultural,inclusiveness,yes,poverty_rate,cl-casen 2022,C,-1
"Urban — grid, appliances, buildings",Smart grids,socio_cultural,inclusiveness,yes,poverty_rate,cl-casen 2022,C,-1
Energy — renewables,Wind (on-shore & off-shore),socio_cultural,inclusiveness,yes,disability_prevalence,cl-ine-censo 2024,C,-1
Energy — storage/CCS/nuclear,Electricity storage,socio_cultural,inclusiveness,yes,disability_prevalence,cl-ine-censo 2024,C,-1
"Urban — transit, active, aviation",Public transport,socio_cultural,inclusiveness,yes,disability_prevalence,cl-ine-censo 2024,C,-1
"Urban — transit, active, aviation",Non-motorised transport,socio_cultural,inclusiveness,yes,disability_prevalence,cl-ine-censo 2024,C,-1
"Urban — grid, appliances, buildings",Smart grids,socio_cultural,inclusiveness,yes,disability_prevalence,cl-ine-censo 2024,C,-1
Energy — renewables,Wind (on-shore & off-shore),socio_cultural,inclusiveness,yes,indigenous_identification_rate,cl-ine-censo 2024,C,-1
Energy — storage/CCS/nuclear,Electricity storage,socio_cultural,inclusiveness,yes,indigenous_identification_rate,cl-ine-censo 2024,C,-1
"Urban — transit, active, aviation",Public transport,socio_cultural,inclusiveness,yes,indigenous_identification_rate,cl-ine-censo 2024,C,-1
"Urban — transit, active, aviation",Non-motorised transport,socio_cultural,inclusiveness,yes,indigenous_identification_rate,cl-ine-censo 2024,C,-1
"Urban — grid, appliances, buildings",Smart grids,socio_cultural,inclusiveness,yes,indigenous_identification_rate,cl-ine-censo 2024,C,-1
Energy — renewables,Wind (on-shore & off-shore),socio_cultural,human_capabilities,yes,mean_years_schooling,cl-ine-censo 2024,C,1
Energy — storage/CCS/nuclear,Power sector CCS,socio_cultural,human_capabilities,yes,mean_years_schooling,cl-ine-censo 2024,A,1
Land & ecosystem,Reduced food wastage,socio_cultural,human_capabilities,yes,mean_years_schooling,cl-ine-censo 2024,C,1
"Urban — transit, active, aviation",Public transport,socio_cultural,human_capabilities,yes,mean_years_schooling,cl-ine-censo 2024,C,1
"Urban — transit, active, aviation",Non-motorised transport,socio_cultural,human_capabilities,yes,mean_years_schooling,cl-ine-censo 2024,C,1
"Urban — transit, active, aviation",Aviation & shipping,socio_cultural,human_capabilities,yes,mean_years_schooling,cl-ine-censo 2024,C,1
"Urban — grid, appliances, buildings",Smart grids,socio_cultural,human_capabilities,yes,mean_years_schooling,cl-ine-censo 2024,A,1
Energy — renewables,Wind (on-shore & off-shore),socio_cultural,human_capabilities,yes,literacy_rate,cl-ine-censo 2024,C,1
Energy — storage/CCS/nuclear,Power sector CCS,socio_cultural,human_capabilities,yes,literacy_rate,cl-ine-censo 2024,A,1
Land & ecosystem,Reduced food wastage,socio_cultural,human_capabilities,yes,literacy_rate,cl-ine-censo 2024,C,1
"Urban — transit, active, aviation",Public transport,socio_cultural,human_capabilities,yes,literacy_rate,cl-ine-censo 2024,C,1
"Urban — transit, active, aviation",Non-motorised transport,socio_cultural,human_capabilities,yes,literacy_rate,cl-ine-censo 2024,C,1
"Urban — transit, active, aviation",Aviation & shipping,socio_cultural,human_capabilities,yes,literacy_rate,cl-ine-censo 2024,C,1
"Urban — grid, appliances, buildings",Smart grids,socio_cultural,human_capabilities,yes,literacy_rate,cl-ine-censo 2024,A,1
"CDR — afforestation, soil, weathering",Afforestation & reforestation,geophysical,limited_land_use,yes,population,cl-ine-censo 2024,A,-1
"CDR — afforestation, soil, weathering",Soil carbon sequestration & biochar,geophysical,limited_land_use,yes,population,cl-ine-censo 2024,C,-1
"CDR — afforestation, soil, weathering",Enhanced weathering,geophysical,limited_land_use,yes,population,cl-ine-censo 2024,C,-1
Energy — renewables,Wind (on-shore & off-shore),technological,maturity,no,(no scope-matching bridge),"",C,0
Energy — renewables,Solar PV,technological,maturity,no,(no scope-matching bridge),"",C,0
Energy — renewables,Bioenergy,technological,maturity,no,(no scope-matching bridge),"",C,0
Energy — renewables,Solar PV,technological,simplicity,no,(no scope-matching bridge),"",C,0
Energy — renewables,Bioenergy,technological,simplicity,no,(no scope-matching bridge),"",C,0
Energy — renewables,Wind (on-shore & off-shore),technological,absence_of_risk,no,(no scope-matching bridge),"",C,0
Energy — renewables,Solar PV,technological,absence_of_risk,no,(no scope-matching bridge),"",C,0
Energy — renewables,Bioenergy,technological,absence_of_risk,no,(no scope-matching bridge),"",C,0
Energy — renewables,Wind (on-shore & off-shore),institutional,transparency_accountability,no,(no scope-matching bridge),"",C,0
Energy — renewables,Solar PV,institutional,transparency_accountability,no,(no scope-matching bridge),"",C,0
Energy — renewables,Bioenergy,institutional,transparency_accountability,no,(no scope-matching bridge),"",A,0
Energy — renewables,Wind (on-shore & off-shore),socio_cultural,social_co_benefits,no,(no scope-matching bridge),"",C,0
Energy — renewables,Solar PV,socio_cultural,social_co_benefits,no,(no scope-matching bridge),"",C,0
Energy — renewables,Solar PV,socio_cultural,public_acceptance,no,(no scope-matching bridge),"",C,0
Energy — renewables,Bioenergy,socio_cultural,public_acceptance,no,(no scope-matching bridge),"",A,0
Energy — renewables,Wind (on-shore & off-shore),socio_cultural,intergenerational_equity,no,(no scope-matching bridge),"",C,0
Energy — renewables,Solar PV,socio_cultural,intergenerational_equity,no,(no scope-matching bridge),"",C,0
Energy — renewables,Wind (on-shore & off-shore),environmental,air_pollution,no,(no scope-matching bridge),"",C,0
Energy — renewables,Solar PV,environmental,air_pollution,no,(no scope-matching bridge),"",C,0
Energy — renewables,Wind (on-shore & off-shore),environmental,toxic_waste,no,(no scope-matching bridge),"",C,0
Energy — renewables,Wind (on-shore & off-shore),environmental,water_use,no,(no scope-matching bridge),"",C,0
Energy — renewables,Solar PV,environmental,water_use,no,(no scope-matching bridge),"",C,0
Energy — renewables,Bioenergy,environmental,water_use,no,(no scope-matching bridge),"",A,0
Energy — renewables,Wind (on-shore & off-shore),environmental,biodiversity,no,(no scope-matching bridge),"",C,0
Energy — renewables,Solar PV,environmental,biodiversity,no,(no scope-matching bridge),"",C,0
Energy — renewables,Solar PV,geophysical,physical_feasibility,no,(no scope-matching bridge),"",C,0
Energy — renewables,Bioenergy,geophysical,limited_land_use,no,(no scope-matching bridge),"",A,0
Energy — storage/CCS/nuclear,Nuclear energy,technological,maturity,no,(no scope-matching bridge),"",C,0
Energy — storage/CCS/nuclear,Nuclear energy,technological,simplicity,no,(no scope-matching bridge),"",A,0
Energy — storage/CCS/nuclear,Electricity storage,technological,absence_of_risk,no,(no scope-matching bridge),"",C,0
Energy — storage/CCS/nuclear,Nuclear energy,institutional,transparency_accountability,no,(no scope-matching bridge),"",A,0
Energy — storage/CCS/nuclear,Electricity storage,socio_cultural,social_co_benefits,no,(no scope-matching bridge),"",A,0
Energy — storage/CCS/nuclear,Power sector CCS,socio_cultural,public_acceptance,no,(no scope-matching bridge),"",A,0
Energy — storage/CCS/nuclear,Nuclear energy,socio_cultural,public_acceptance,no,(no scope-matching bridge),"",A,0
Energy — storage/CCS/nuclear,Electricity storage,socio_cultural,intergenerational_equity,no,(no scope-matching bridge),"",C,0
Energy — storage/CCS/nuclear,Power sector CCS,socio_cultural,intergenerational_equity,no,(no scope-matching bridge),"",A,0
Energy — storage/CCS/nuclear,Nuclear energy,socio_cultural,intergenerational_equity,no,(no scope-matching bridge),"",A,0
Energy — storage/CCS/nuclear,Power sector CCS,environmental,air_pollution,no,(no scope-matching bridge),"",C,0
Energy — storage/CCS/nuclear,Nuclear energy,environmental,air_pollution,no,(no scope-matching bridge),"",C,0
Energy — storage/CCS/nuclear,Electricity storage,environmental,toxic_waste,no,(no scope-matching bridge),"",A,0
Energy — storage/CCS/nuclear,Power sector CCS,environmental,toxic_waste,no,(no scope-matching bridge),"",A,0
Energy — storage/CCS/nuclear,Nuclear energy,environmental,toxic_waste,no,(no scope-matching bridge),"",A,0
Energy — storage/CCS/nuclear,Power sector CCS,environmental,water_use,no,(no scope-matching bridge),"",A,0
Energy — storage/CCS/nuclear,Power sector CCS,environmental,biodiversity,no,(no scope-matching bridge),"",C,0
Energy — storage/CCS/nuclear,Nuclear energy,environmental,biodiversity,no,(no scope-matching bridge),"",C,0
Energy — storage/CCS/nuclear,Electricity storage,geophysical,physical_feasibility,no,(no scope-matching bridge),"",C,0
Energy — storage/CCS/nuclear,Power sector CCS,geophysical,physical_feasibility,no,(no scope-matching bridge),"",C,0
Energy — storage/CCS/nuclear,Nuclear energy,geophysical,physical_feasibility,no,(no scope-matching bridge),"",C,0
Energy — storage/CCS/nuclear,Electricity storage,geophysical,limited_land_use,no,(no scope-matching bridge),"",C,0
Energy — storage/CCS/nuclear,Power sector CCS,geophysical,limited_land_use,no,(no scope-matching bridge),"",C,0
Energy — storage/CCS/nuclear,Nuclear energy,geophysical,limited_land_use,no,(no scope-matching bridge),"",C,0
Energy — storage/CCS/nuclear,Electricity storage,geophysical,limited_scarce_resources,no,(no scope-matching bridge),"",A,0
Energy — storage/CCS/nuclear,Nuclear energy,geophysical,limited_scarce_resources,no,(no scope-matching bridge),"",C,0
Energy — storage/CCS/nuclear,Electricity storage,geophysical,global_spread,no,(no scope-matching bridge),"",C,0
Energy — storage/CCS/nuclear,Power sector CCS,geophysical,global_spread,no,(no scope-matching bridge),"",C,0
Energy — storage/CCS/nuclear,Nuclear energy,geophysical,global_spread,no,(no scope-matching bridge),"",C,0
Land & ecosystem,Sustainable intensification,technological,technical_scalability,no,(no scope-matching bridge),"",C,0
Land & ecosystem,Sustainable intensification,technological,maturity,no,(no scope-matching bridge),"",C,0
Land & ecosystem,Sustainable intensification,technological,simplicity,no,(no scope-matching bridge),"",C,0
Land & ecosystem,Reduced food wastage,technological,absence_of_risk,no,(no scope-matching bridge),"",C,0
Land & ecosystem,Sustainable intensification,technological,absence_of_risk,no,(no scope-matching bridge),"",C,0
Land & ecosystem,Reduced food wastage,institutional,political_acceptability,no,(no scope-matching bridge),"",C,0
Land & ecosystem,Sustainable intensification,institutional,political_acceptability,no,(no scope-matching bridge),"",C,0
Land & ecosystem,Reduced food wastage,institutional,institutional_capacity,no,(no scope-matching bridge),"",C,0
Land & ecosystem,Reduced food wastage,institutional,transparency_accountability,no,(no scope-matching bridge),"",C,0
Land & ecosystem,Reduced food wastage,socio_cultural,social_co_benefits,no,(no scope-matching bridge),"",C,0
Land & ecosystem,Dietary shifts,socio_cultural,social_co_benefits,no,(no scope-matching bridge),"",C,0
Land & ecosystem,Sustainable intensification,socio_cultural,social_co_benefits,no,(no scope-matching bridge),"",C,0
Land & ecosystem,Dietary shifts,socio_cultural,public_acceptance,no,(no scope-matching bridge),"",C,0
Land & ecosystem,Reduced food wastage,environmental,air_pollution,no,(no scope-matching bridge),"",C,0
Land & ecosystem,Reduced food wastage,environmental,water_use,no,(no scope-matching bridge),"",C,0
Land & ecosystem,Sustainable intensification,environmental,water_use,no,(no scope-matching bridge),"",C,0
Land & ecosystem,Reduced food wastage,environmental,biodiversity,no,(no scope-matching bridge),"",C,0
Land & ecosystem,Dietary shifts,environmental,biodiversity,no,(no scope-matching bridge),"",C,0
Land & ecosystem,Sustainable intensification,environmental,biodiversity,no,(no scope-matching bridge),"",C,0
Land & ecosystem,Reduced food wastage,geophysical,physical_feasibility,no,(no scope-matching bridge),"",C,0
Land & ecosystem,Sustainable intensification,geophysical,physical_feasibility,no,(no scope-matching bridge),"",C,0
Land & ecosystem,Dietary shifts,geophysical,physical_feasibility,no,(no scope-matching bridge),"",C,0
Land & ecosystem,Reduced food wastage,geophysical,limited_land_use,no,(no scope-matching bridge),"",C,0
Land & ecosystem,Sustainable intensification,geophysical,global_spread,no,(no scope-matching bridge),"",C,0
"Urban — planning, EV, sharing",Land-use & urban planning,technological,technical_scalability,no,(no scope-matching bridge),"",C,0
"Urban — planning, EV, sharing",Land-use & urban planning,technological,simplicity,no,(no scope-matching bridge),"",A,0
"Urban — planning, EV, sharing",Electric cars and buses,technological,absence_of_risk,no,(no scope-matching bridge),"",C,0
"Urban — planning, EV, sharing",Land-use & urban planning,institutional,transparency_accountability,no,(no scope-matching bridge),"",C,0
"Urban — planning, EV, sharing",Electric cars and buses,institutional,transparency_accountability,no,(no scope-matching bridge),"",C,0
"Urban — planning, EV, sharing",Sharing schemes,institutional,transparency_accountability,no,(no scope-matching bridge),"",C,0
"Urban — planning, EV, sharing",Land-use & urban planning,socio_cultural,social_co_benefits,no,(no scope-matching bridge),"",C,0
"Urban — planning, EV, sharing",Electric cars and buses,socio_cultural,social_co_benefits,no,(no scope-matching bridge),"",C,0
"Urban — planning, EV, sharing",Sharing schemes,socio_cultural,social_co_benefits,no,(no scope-matching bridge),"",C,0
"Urban — planning, EV, sharing",Electric cars and buses,socio_cultural,intergenerational_equity,no,(no scope-matching bridge),"",C,0
"Urban — planning, EV, sharing",Sharing schemes,socio_cultural,intergenerational_equity,no,(no scope-matching bridge),"",C,0
"Urban — planning, EV, sharing",Land-use & urban planning,environmental,air_pollution,no,(no scope-matching bridge),"",C,0
"Urban — planning, EV, sharing",Electric cars and buses,environmental,air_pollution,no,(no scope-matching bridge),"",C,0
"Urban — planning, EV, sharing",Sharing schemes,environmental,air_pollution,no,(no scope-matching bridge),"",C,0
"Urban — planning, EV, sharing",Sharing schemes,environmental,toxic_waste,no,(no scope-matching bridge),"",C,0
"Urban — planning, EV, sharing",Land-use & urban planning,environmental,water_use,no,(no scope-matching bridge),"",C,0
"Urban — planning, EV, sharing",Land-use & urban planning,environmental,biodiversity,no,(no scope-matching bridge),"",C,0
"Urban — planning, EV, sharing",Sharing schemes,environmental,biodiversity,no,(no scope-matching bridge),"",C,0
"Urban — planning, EV, sharing",Land-use & urban planning,geophysical,physical_feasibility,no,(no scope-matching bridge),"",C,0
"Urban — planning, EV, sharing",Electric cars and buses,geophysical,physical_feasibility,no,(no scope-matching bridge),"",C,0
"Urban — planning, EV, sharing",Sharing schemes,geophysical,physical_feasibility,no,(no scope-matching bridge),"",C,0
"Urban — planning, EV, sharing",Land-use & urban planning,geophysical,limited_land_use,no,(no scope-matching bridge),"",C,0
"Urban — planning, EV, sharing",Electric cars and buses,geophysical,limited_land_use,no,(no scope-matching bridge),"",A,0
"Urban — planning, EV, sharing",Sharing schemes,geophysical,limited_land_use,no,(no scope-matching bridge),"",C,0
"Urban — planning, EV, sharing",Electric cars and buses,geophysical,limited_scarce_resources,no,(no scope-matching bridge),"",A,0
"Urban — planning, EV, sharing",Sharing schemes,geophysical,limited_scarce_resources,no,(no scope-matching bridge),"",C,0
"Urban — planning, EV, sharing",Land-use & urban planning,geophysical,global_spread,no,(no scope-matching bridge),"",C,0
"Urban — planning, EV, sharing",Electric cars and buses,geophysical,global_spread,no,(no scope-matching bridge),"",C,0
"Urban — transit, active, aviation",Public transport,technological,maturity,no,(no scope-matching bridge),"",C,0
"Urban — transit, active, aviation",Non-motorised transport,technological,maturity,no,(no scope-matching bridge),"",C,0
"Urban — transit, active, aviation",Aviation & shipping,technological,maturity,no,(no scope-matching bridge),"",A,0
"Urban — transit, active, aviation",Non-motorised transport,technological,simplicity,no,(no scope-matching bridge),"",C,0
"Urban — transit, active, aviation",Public transport,technological,absence_of_risk,no,(no scope-matching bridge),"",C,0
"Urban — transit, active, aviation",Non-motorised transport,technological,absence_of_risk,no,(no scope-matching bridge),"",C,0
"Urban — transit, active, aviation",Public transport,institutional,political_acceptability,no,(no scope-matching bridge),"",C,0
"Urban — transit, active, aviation",Non-motorised transport,institutional,political_acceptability,no,(no scope-matching bridge),"",C,0
"Urban — transit, active, aviation",Non-motorised transport,institutional,transparency_accountability,no,(no scope-matching bridge),"",C,0
"Urban — transit, active, aviation",Aviation & shipping,institutional,transparency_accountability,no,(no scope-matching bridge),"",C,0
"Urban — transit, active, aviation",Public transport,socio_cultural,social_co_benefits,no,(no scope-matching bridge),"",C,0
"Urban — transit, active, aviation",Non-motorised transport,socio_cultural,social_co_benefits,no,(no scope-matching bridge),"",C,0
"Urban — transit, active, aviation",Public transport,socio_cultural,intergenerational_equity,no,(no scope-matching bridge),"",C,0
"Urban — transit, active, aviation",Non-motorised transport,socio_cultural,intergenerational_equity,no,(no scope-matching bridge),"",C,0
"Urban — transit, active, aviation",Public transport,environmental,air_pollution,no,(no scope-matching bridge),"",C,0
"Urban — transit, active, aviation",Non-motorised transport,environmental,air_pollution,no,(no scope-matching bridge),"",C,0
"Urban — transit, active, aviation",Aviation & shipping,environmental,air_pollution,no,(no scope-matching bridge),"",C,0
"Urban — transit, active, aviation",Aviation & shipping,environmental,toxic_waste,no,(no scope-matching bridge),"",C,0
"Urban — transit, active, aviation",Public transport,environmental,biodiversity,no,(no scope-matching bridge),"",C,0
"Urban — transit, active, aviation",Public transport,geophysical,physical_feasibility,no,(no scope-matching bridge),"",C,0
"Urban — transit, active, aviation",Non-motorised transport,geophysical,physical_feasibility,no,(no scope-matching bridge),"",C,0
"Urban — transit, active, aviation",Aviation & shipping,geophysical,physical_feasibility,no,(no scope-matching bridge),"",C,0
"Urban — transit, active, aviation",Public transport,geophysical,limited_land_use,no,(no scope-matching bridge),"",C,0
"Urban — transit, active, aviation",Non-motorised transport,geophysical,limited_land_use,no,(no scope-matching bridge),"",C,0
"Urban — transit, active, aviation",Public transport,geophysical,limited_scarce_resources,no,(no scope-matching bridge),"",C,0
"Urban — transit, active, aviation",Non-motorised transport,geophysical,limited_scarce_resources,no,(no scope-matching bridge),"",C,0
"Urban — transit, active, aviation",Public transport,geophysical,global_spread,no,(no scope-matching bridge),"",C,0
"Urban — transit, active, aviation",Non-motorised transport,geophysical,global_spread,no,(no scope-matching bridge),"",C,0
"Urban — transit, active, aviation",Aviation & shipping,geophysical,global_spread,no,(no scope-matching bridge),"",C,0
"Urban — grid, appliances, buildings",Efficient appliances,technological,maturity,no,(no scope-matching bridge),"",C,0
