action_id,action_name,sr15_option,match_strength,option_evidence,option_agreement,dimension,global_indicator,global_relation,city_indicator,sign,city_locode,city_quintile_category,city_capacity,global_indicator_code_value,global_indicator_signal,city_indicator_signed_score,city_mean_signed_score,city_adjusted_score,dimension_score,action_score
c40_0012,Introduce energy-efficiency standards for new institutional buildings,Low/zero-energy buildings,direct,Medium,High,economic,cost-effectiveness,supportive,poverty_rate,-1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0012,Introduce energy-efficiency standards for new institutional buildings,Low/zero-energy buildings,direct,Medium,High,economic,distributional_effects,supportive,home_ownership,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0012,Introduce energy-efficiency standards for new institutional buildings,Low/zero-energy buildings,direct,Medium,High,economic,distributional_effects,supportive,poverty_rate,-1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0012,Introduce energy-efficiency standards for new institutional buildings,Low/zero-energy buildings,direct,Medium,High,economic,distributional_effects,supportive,renter_share,-1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0012,Introduce energy-efficiency standards for new institutional buildings,Low/zero-energy buildings,direct,Medium,High,economic,employment_productivity,supportive,industry_construction_employment,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0012,Introduce energy-efficiency standards for new institutional buildings,Low/zero-energy buildings,direct,Medium,High,economic,employment_productivity,supportive,unemployment_rate,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0012,Introduce energy-efficiency standards for new institutional buildings,Low/zero-energy buildings,direct,Medium,High,environmental,toxic_waste,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0012,Introduce energy-efficiency standards for new institutional buildings,Low/zero-energy buildings,direct,Medium,High,environmental,water_use,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0012,Introduce energy-efficiency standards for new institutional buildings,Low/zero-energy buildings,direct,Medium,High,geophysical,physical_feasibility,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0012,Introduce energy-efficiency standards for new institutional buildings,Low/zero-energy buildings,direct,Medium,High,institutional,political_acceptability,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0012,Introduce energy-efficiency standards for new institutional buildings,Low/zero-energy buildings,direct,Medium,High,technological,technical_scalability,supportive,electricity_access_rate,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0012,Introduce energy-efficiency standards for new institutional buildings,Low/zero-energy buildings,direct,Medium,High,technological,technical_scalability,supportive,fixed_internet_household_share,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0013,Support Implementation of Industrial Building Efficiency Standards.,Low/zero-energy buildings,direct,Medium,High,economic,cost-effectiveness,supportive,median_household_income,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0013,Support Implementation of Industrial Building Efficiency Standards.,Low/zero-energy buildings,direct,Medium,High,economic,cost-effectiveness,supportive,poverty_rate,-1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0013,Support Implementation of Industrial Building Efficiency Standards.,Low/zero-energy buildings,direct,Medium,High,economic,distributional_effects,supportive,home_ownership,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0013,Support Implementation of Industrial Building Efficiency Standards.,Low/zero-energy buildings,direct,Medium,High,economic,distributional_effects,supportive,poverty_rate,-1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0013,Support Implementation of Industrial Building Efficiency Standards.,Low/zero-energy buildings,direct,Medium,High,economic,distributional_effects,supportive,renter_share,-1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0013,Support Implementation of Industrial Building Efficiency Standards.,Low/zero-energy buildings,direct,Medium,High,economic,employment_productivity,supportive,industry_construction_employment,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0013,Support Implementation of Industrial Building Efficiency Standards.,Low/zero-energy buildings,direct,Medium,High,economic,employment_productivity,supportive,unemployment_rate,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0013,Support Implementation of Industrial Building Efficiency Standards.,Low/zero-energy buildings,direct,Medium,High,environmental,toxic_waste,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0013,Support Implementation of Industrial Building Efficiency Standards.,Low/zero-energy buildings,direct,Medium,High,environmental,water_use,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0013,Support Implementation of Industrial Building Efficiency Standards.,Low/zero-energy buildings,direct,Medium,High,geophysical,physical_feasibility,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0013,Support Implementation of Industrial Building Efficiency Standards.,Low/zero-energy buildings,direct,Medium,High,institutional,political_acceptability,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0013,Support Implementation of Industrial Building Efficiency Standards.,Low/zero-energy buildings,direct,Medium,High,technological,technical_scalability,supportive,electricity_access_rate,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0013,Support Implementation of Industrial Building Efficiency Standards.,Low/zero-energy buildings,direct,Medium,High,technological,technical_scalability,supportive,fixed_internet_household_share,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0015,Retrofit residential buildings for energy efficiency,Low/zero-energy buildings,direct,Medium,High,economic,cost-effectiveness,supportive,median_household_income,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0015,Retrofit residential buildings for energy efficiency,Efficient appliances,direct,Medium,High,economic,cost-effectiveness,supportive,median_household_income,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0015,Retrofit residential buildings for energy efficiency,Low/zero-energy buildings,direct,Medium,High,economic,cost-effectiveness,supportive,poverty_rate,-1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0015,Retrofit residential buildings for energy efficiency,Efficient appliances,direct,Medium,High,economic,cost-effectiveness,supportive,poverty_rate,-1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0015,Retrofit residential buildings for energy efficiency,Low/zero-energy buildings,direct,Medium,High,economic,distributional_effects,supportive,home_ownership,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0015,Retrofit residential buildings for energy efficiency,Low/zero-energy buildings,direct,Medium,High,economic,distributional_effects,supportive,poverty_rate,-1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0015,Retrofit residential buildings for energy efficiency,Low/zero-energy buildings,direct,Medium,High,economic,distributional_effects,supportive,renter_share,-1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0015,Retrofit residential buildings for energy efficiency,Low/zero-energy buildings,direct,Medium,High,economic,employment_productivity,supportive,industry_construction_employment,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0015,Retrofit residential buildings for energy efficiency,Low/zero-energy buildings,direct,Medium,High,economic,employment_productivity,supportive,unemployment_rate,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0015,Retrofit residential buildings for energy efficiency,Efficient appliances,direct,Medium,High,environmental,air_pollution,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0015,Retrofit residential buildings for energy efficiency,Low/zero-energy buildings,direct,Medium,High,environmental,toxic_waste,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0015,Retrofit residential buildings for energy efficiency,Efficient appliances,direct,Medium,High,environmental,toxic_waste,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0015,Retrofit residential buildings for energy efficiency,Low/zero-energy buildings,direct,Medium,High,environmental,water_use,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0015,Retrofit residential buildings for energy efficiency,Efficient appliances,direct,Medium,High,environmental,water_use,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0015,Retrofit residential buildings for energy efficiency,Low/zero-energy buildings,direct,Medium,High,geophysical,physical_feasibility,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0015,Retrofit residential buildings for energy efficiency,Efficient appliances,direct,Medium,High,geophysical,physical_feasibility,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0015,Retrofit residential buildings for energy efficiency,Low/zero-energy buildings,direct,Medium,High,institutional,political_acceptability,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0015,Retrofit residential buildings for energy efficiency,Efficient appliances,direct,Medium,High,institutional,political_acceptability,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0015,Retrofit residential buildings for energy efficiency,Efficient appliances,direct,Medium,High,socio_cultural,public_acceptance,supportive,home_ownership,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0015,Retrofit residential buildings for energy efficiency,Efficient appliances,direct,Medium,High,socio_cultural,public_acceptance,supportive,renter_share,-1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0015,Retrofit residential buildings for energy efficiency,Efficient appliances,direct,Medium,High,socio_cultural,social_co_benefits,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0015,Retrofit residential buildings for energy efficiency,Efficient appliances,direct,Medium,High,technological,maturity,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0015,Retrofit residential buildings for energy efficiency,Efficient appliances,direct,Medium,High,technological,simplicity,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0015,Retrofit residential buildings for energy efficiency,Low/zero-energy buildings,direct,Medium,High,technological,technical_scalability,supportive,electricity_access_rate,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0015,Retrofit residential buildings for energy efficiency,Efficient appliances,direct,Medium,High,technological,technical_scalability,supportive,electricity_access_rate,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0015,Retrofit residential buildings for energy efficiency,Low/zero-energy buildings,direct,Medium,High,technological,technical_scalability,supportive,fixed_internet_household_share,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0015,Retrofit residential buildings for energy efficiency,Efficient appliances,direct,Medium,High,technological,technical_scalability,supportive,fixed_internet_household_share,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0016,Retrofit commercial and institutional other non-residential buildings  for energy efficiency ,Low/zero-energy buildings,direct,Medium,High,economic,cost-effectiveness,supportive,median_household_income,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0016,Retrofit commercial and institutional other non-residential buildings  for energy efficiency ,Low/zero-energy buildings,direct,Medium,High,economic,cost-effectiveness,supportive,poverty_rate,-1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0016,Retrofit commercial and institutional other non-residential buildings  for energy efficiency ,Low/zero-energy buildings,direct,Medium,High,economic,distributional_effects,supportive,home_ownership,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0016,Retrofit commercial and institutional other non-residential buildings  for energy efficiency ,Low/zero-energy buildings,direct,Medium,High,economic,distributional_effects,supportive,poverty_rate,-1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0016,Retrofit commercial and institutional other non-residential buildings  for energy efficiency ,Low/zero-energy buildings,direct,Medium,High,economic,distributional_effects,supportive,renter_share,-1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0016,Retrofit commercial and institutional other non-residential buildings  for energy efficiency ,Low/zero-energy buildings,direct,Medium,High,economic,employment_productivity,supportive,industry_construction_employment,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0016,Retrofit commercial and institutional other non-residential buildings  for energy efficiency ,Low/zero-energy buildings,direct,Medium,High,economic,employment_productivity,supportive,unemployment_rate,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0016,Retrofit commercial and institutional other non-residential buildings  for energy efficiency ,Low/zero-energy buildings,direct,Medium,High,environmental,toxic_waste,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0016,Retrofit commercial and institutional other non-residential buildings  for energy efficiency ,Low/zero-energy buildings,direct,Medium,High,environmental,water_use,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0016,Retrofit commercial and institutional other non-residential buildings  for energy efficiency ,Low/zero-energy buildings,direct,Medium,High,geophysical,physical_feasibility,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0016,Retrofit commercial and institutional other non-residential buildings  for energy efficiency ,Low/zero-energy buildings,direct,Medium,High,institutional,political_acceptability,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0016,Retrofit commercial and institutional other non-residential buildings  for energy efficiency ,Low/zero-energy buildings,direct,Medium,High,technological,technical_scalability,supportive,electricity_access_rate,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0016,Retrofit commercial and institutional other non-residential buildings  for energy efficiency ,Low/zero-energy buildings,direct,Medium,High,technological,technical_scalability,supportive,fixed_internet_household_share,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0017,Retrofit municipal buildings for energy efficiency,Low/zero-energy buildings,direct,Medium,High,economic,cost-effectiveness,supportive,median_household_income,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0017,Retrofit municipal buildings for energy efficiency,Low/zero-energy buildings,direct,Medium,High,economic,cost-effectiveness,supportive,poverty_rate,-1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0017,Retrofit municipal buildings for energy efficiency,Low/zero-energy buildings,direct,Medium,High,economic,distributional_effects,supportive,home_ownership,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0017,Retrofit municipal buildings for energy efficiency,Low/zero-energy buildings,direct,Medium,High,economic,distributional_effects,supportive,poverty_rate,-1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0017,Retrofit municipal buildings for energy efficiency,Low/zero-energy buildings,direct,Medium,High,economic,distributional_effects,supportive,renter_share,-1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0017,Retrofit municipal buildings for energy efficiency,Low/zero-energy buildings,direct,Medium,High,economic,employment_productivity,supportive,industry_construction_employment,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0017,Retrofit municipal buildings for energy efficiency,Low/zero-energy buildings,direct,Medium,High,economic,employment_productivity,supportive,unemployment_rate,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0017,Retrofit municipal buildings for energy efficiency,Low/zero-energy buildings,direct,Medium,High,environmental,toxic_waste,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0017,Retrofit municipal buildings for energy efficiency,Low/zero-energy buildings,direct,Medium,High,environmental,water_use,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0017,Retrofit municipal buildings for energy efficiency,Low/zero-energy buildings,direct,Medium,High,geophysical,physical_feasibility,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0017,Retrofit municipal buildings for energy efficiency,Low/zero-energy buildings,direct,Medium,High,institutional,political_acceptability,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0017,Retrofit municipal buildings for energy efficiency,Low/zero-energy buildings,direct,Medium,High,technological,technical_scalability,supportive,electricity_access_rate,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0017,Retrofit municipal buildings for energy efficiency,Low/zero-energy buildings,direct,Medium,High,technological,technical_scalability,supportive,fixed_internet_household_share,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0018,Optimize energy efficiency and sustainability standards for existing industrial infrastructure,Low/zero-energy buildings,direct,Medium,High,economic,cost-effectiveness,supportive,median_household_income,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0018,Optimize energy efficiency and sustainability standards for existing industrial infrastructure,Low/zero-energy buildings,direct,Medium,High,economic,cost-effectiveness,supportive,poverty_rate,-1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0018,Optimize energy efficiency and sustainability standards for existing industrial infrastructure,Low/zero-energy buildings,direct,Medium,High,economic,distributional_effects,supportive,home_ownership,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0018,Optimize energy efficiency and sustainability standards for existing industrial infrastructure,Low/zero-energy buildings,direct,Medium,High,economic,distributional_effects,supportive,poverty_rate,-1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0018,Optimize energy efficiency and sustainability standards for existing industrial infrastructure,Low/zero-energy buildings,direct,Medium,High,economic,distributional_effects,supportive,renter_share,-1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0018,Optimize energy efficiency and sustainability standards for existing industrial infrastructure,Low/zero-energy buildings,direct,Medium,High,economic,employment_productivity,supportive,industry_construction_employment,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0018,Optimize energy efficiency and sustainability standards for existing industrial infrastructure,Low/zero-energy buildings,direct,Medium,High,economic,employment_productivity,supportive,unemployment_rate,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0018,Optimize energy efficiency and sustainability standards for existing industrial infrastructure,Low/zero-energy buildings,direct,Medium,High,environmental,toxic_waste,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0018,Optimize energy efficiency and sustainability standards for existing industrial infrastructure,Low/zero-energy buildings,direct,Medium,High,environmental,water_use,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0018,Optimize energy efficiency and sustainability standards for existing industrial infrastructure,Low/zero-energy buildings,direct,Medium,High,geophysical,physical_feasibility,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0018,Optimize energy efficiency and sustainability standards for existing industrial infrastructure,Low/zero-energy buildings,direct,Medium,High,institutional,political_acceptability,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0018,Optimize energy efficiency and sustainability standards for existing industrial infrastructure,Low/zero-energy buildings,direct,Medium,High,technological,technical_scalability,supportive,electricity_access_rate,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0018,Optimize energy efficiency and sustainability standards for existing industrial infrastructure,Low/zero-energy buildings,direct,Medium,High,technological,technical_scalability,supportive,fixed_internet_household_share,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0034,Enact and enforce material bans in order to restrict single use and non-recyclable materials,Reduced food wastage,weak,Medium,High,economic,cost-effectiveness,supportive,median_household_income,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0034,Enact and enforce material bans in order to restrict single use and non-recyclable materials,Reduced food wastage,weak,Medium,High,economic,cost-effectiveness,supportive,poverty_rate,-1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0034,Enact and enforce material bans in order to restrict single use and non-recyclable materials,Reduced food wastage,weak,Medium,High,environmental,air_pollution,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0034,Enact and enforce material bans in order to restrict single use and non-recyclable materials,Reduced food wastage,weak,Medium,High,environmental,biodiversity,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0034,Enact and enforce material bans in order to restrict single use and non-recyclable materials,Reduced food wastage,weak,Medium,High,environmental,water_use,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0034,Enact and enforce material bans in order to restrict single use and non-recyclable materials,Reduced food wastage,weak,Medium,High,geophysical,limited_land_use,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0034,Enact and enforce material bans in order to restrict single use and non-recyclable materials,Reduced food wastage,weak,Medium,High,geophysical,physical_feasibility,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0034,Enact and enforce material bans in order to restrict single use and non-recyclable materials,Reduced food wastage,weak,Medium,High,institutional,institutional_capacity,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0034,Enact and enforce material bans in order to restrict single use and non-recyclable materials,Reduced food wastage,weak,Medium,High,institutional,political_acceptability,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0034,Enact and enforce material bans in order to restrict single use and non-recyclable materials,Reduced food wastage,weak,Medium,High,institutional,transparency_accountability,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0034,Enact and enforce material bans in order to restrict single use and non-recyclable materials,Reduced food wastage,weak,Medium,High,socio_cultural,human_capabilities,supportive,literacy_rate,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0034,Enact and enforce material bans in order to restrict single use and non-recyclable materials,Reduced food wastage,weak,Medium,High,socio_cultural,human_capabilities,supportive,mean_years_schooling,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0034,Enact and enforce material bans in order to restrict single use and non-recyclable materials,Reduced food wastage,weak,Medium,High,socio_cultural,social_co_benefits,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0034,Enact and enforce material bans in order to restrict single use and non-recyclable materials,Reduced food wastage,weak,Medium,High,technological,absence_of_risk,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0035,Optmize waste management systems ,Reduced food wastage,weak,Medium,High,economic,cost-effectiveness,supportive,median_household_income,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0035,Optmize waste management systems ,Reduced food wastage,weak,Medium,High,economic,cost-effectiveness,supportive,poverty_rate,-1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0035,Optmize waste management systems ,Reduced food wastage,weak,Medium,High,environmental,air_pollution,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0035,Optmize waste management systems ,Reduced food wastage,weak,Medium,High,environmental,biodiversity,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0035,Optmize waste management systems ,Reduced food wastage,weak,Medium,High,environmental,water_use,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0035,Optmize waste management systems ,Reduced food wastage,weak,Medium,High,geophysical,limited_land_use,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0035,Optmize waste management systems ,Reduced food wastage,weak,Medium,High,geophysical,physical_feasibility,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0035,Optmize waste management systems ,Reduced food wastage,weak,Medium,High,institutional,institutional_capacity,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0035,Optmize waste management systems ,Reduced food wastage,weak,Medium,High,institutional,political_acceptability,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0035,Optmize waste management systems ,Reduced food wastage,weak,Medium,High,institutional,transparency_accountability,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0035,Optmize waste management systems ,Reduced food wastage,weak,Medium,High,socio_cultural,human_capabilities,supportive,literacy_rate,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0035,Optmize waste management systems ,Reduced food wastage,weak,Medium,High,socio_cultural,human_capabilities,supportive,mean_years_schooling,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0035,Optmize waste management systems ,Reduced food wastage,weak,Medium,High,socio_cultural,social_co_benefits,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0035,Optmize waste management systems ,Reduced food wastage,weak,Medium,High,technological,absence_of_risk,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0036,Upgrade Landfills to Engineered Sanitary Landfills with Gas Capture.,Reduced food wastage,weak,Medium,High,economic,cost-effectiveness,supportive,median_household_income,1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0036,Upgrade Landfills to Engineered Sanitary Landfills with Gas Capture.,Reduced food wastage,weak,Medium,High,economic,cost-effectiveness,supportive,poverty_rate,-1,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0036,Upgrade Landfills to Engineered Sanitary Landfills with Gas Capture.,Reduced food wastage,weak,Medium,High,environmental,air_pollution,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0036,Upgrade Landfills to Engineered Sanitary Landfills with Gas Capture.,Reduced food wastage,weak,Medium,High,environmental,biodiversity,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0036,Upgrade Landfills to Engineered Sanitary Landfills with Gas Capture.,Reduced food wastage,weak,Medium,High,environmental,water_use,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0036,Upgrade Landfills to Engineered Sanitary Landfills with Gas Capture.,Reduced food wastage,weak,Medium,High,geophysical,limited_land_use,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0036,Upgrade Landfills to Engineered Sanitary Landfills with Gas Capture.,Reduced food wastage,weak,Medium,High,geophysical,physical_feasibility,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0036,Upgrade Landfills to Engineered Sanitary Landfills with Gas Capture.,Reduced food wastage,weak,Medium,High,institutional,institutional_capacity,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0036,Upgrade Landfills to Engineered Sanitary Landfills with Gas Capture.,Reduced food wastage,weak,Medium,High,institutional,political_acceptability,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
c40_0036,Upgrade Landfills to Engineered Sanitary Landfills with Gas Capture.,Reduced food wastage,weak,Medium,High,institutional,transparency_accountability,supportive,,0,CL CNE,,,3,1,,,1.0,1.0,1.0
