src_action_id,publisher_id,action_name,action_type,action_role,stable_id,short_label,sector_path,mapping_confidence,rationale
icare_0025,icare,Promote energy-efficient and climate-resilient housing for low-income and informal settlements,mitigation,intervention,energy_efficient_single_family_residential_buildings_retrofitting,T-4A1b-TE-6 - Retrofitting single-family buildings for efficient heating,Buildings > Residential > Hvac > Single Family Hvac,medium,Single-family informal upgrades.
icare_0026,icare,Implement time-of-use electricity tariffs to enhance demand-side flexibility and efficiency,mitigation,intervention,improved_grid_electricity,T-5A1-TE-3 - Improved Grid Electricity,Energy > Energy Supply > Electricity,medium,Demand flexibility supports cleaner grid operation; no dedicated tariff TE—grid improvement is closest.
icare_0027,icare,Create financing programs for local renewable energy projects,mitigation,intervention,solar_parks,T-5A1-TE-7 - Electricity from solar parks,Energy > Energy Supply > Electricity,high,Financing unlocks utility-scale solar parks.
icare_0027,icare,Create financing programs for local renewable energy projects,mitigation,intervention,wind_onshore,T-5A1-TE-10 - Electricity from wind onshore,Energy > Energy Supply > Electricity,high,Same for onshore wind.
icare_0027,icare,Create financing programs for local renewable energy projects,mitigation,intervention,solar_rooftops,T-5A1-TE-8 - Electricity from solar rooftops,Energy > Energy Supply > Electricity,medium,Distributed solar programs.
icare_0027,icare,Create financing programs for local renewable energy projects,mitigation,intervention,hydro_reservoir,T-5A1-TE-6 - Electricity from hydro reservoir,Energy > Energy Supply > Electricity,low,May include small hydro depending on locale.
icare_0028,icare,"Promote passive cooling through natural shading and ventilation in residential, commercial, and public buildings",mitigation,intervention,efficient_use_multi_family_residential_buildings_cooling,T-4A1a-TE-7 - Energy efficient use of ACs in multi-family buildings,Buildings > Residential > Hvac > Multi Family Hvac,medium,Passive cooling reduces AC energy; efficient AC use TE is partial proxy for lower cooling loads.
icare_0028,icare,"Promote passive cooling through natural shading and ventilation in residential, commercial, and public buildings",mitigation,intervention,efficient_use_single_family_residential_buildings_cooling,T-4A1b-TE-7 - Energy efficient use of ACs in single-family buildings,Buildings > Residential > Hvac > Single Family Hvac,medium,Single-family analogue.
icare_0028,icare,"Promote passive cooling through natural shading and ventilation in residential, commercial, and public buildings",mitigation,intervention,energy_efficient_non_residential_commercial_buildings_retrofitting_cooling,T-4B1a-TE-7 - Retrofitting commerical buildings for efficient cooling,Buildings > Non Residential > Hvac > Commercial Hvac,low,Commercial passive design reduces mechanical cooling demand; retrofit cooling TE is imperfect fit.
icare_0031,icare,Capture & Use Biogas at Wastewater Treatment Plants,mitigation,transition_element,chp_biofuels,T-5A3-TE-5 - CHP from biomass,Energy > Energy Supply > Combined Heat Power,medium,Digester biogas CHP at WWTP is biogenic CHP closest to chp_biofuels TE.
icare_0031,icare,Capture & Use Biogas at Wastewater Treatment Plants,mitigation,transition_element,increased_energy_recovery_from_waste,T-5A3-TE-6 - Increased energy recovery from waste,Energy > Energy Supply > Combined Heat Power,low,When sludge is treated as waste-to-energy pathway.
icare_0033,icare,Install biodigesters in rural properties,mitigation,intervention,shift_to_composting_of_organic_waste,T-6A1-TE-2 - Shift to composting of organic waste,Waste > Solids > Solid Waste Disposal,medium,Digestate and organics management overlap with organic waste treatment TEs.
icare_0033,icare,Install biodigesters in rural properties,mitigation,intervention,chp_biofuels,T-5A3-TE-5 - CHP from biomass,Energy > Energy Supply > Combined Heat Power,medium,Biogas used for heat/power maps to biomass CHP TE.
icare_0034,icare,Fuel Supply Systems for Industrial Heating,mitigation,transition_element,shift_to_electricity_in_iron_and_steel_industries,T-2C1-TE-4 - Shift to electricity in iron and steel industries,Industry > Metals > Iron Steel,high,Action text centers steel heating and fuel delivery optimization toward lower-carbon fuels and efficiency.
icare_0034,icare,Fuel Supply Systems for Industrial Heating,mitigation,transition_element,shift_to_biomass_energy_in_iron_and_steel_industries,T-2C1-TE-2 - Shift to biomass energy in iron and steel industries,Industry > Metals > Iron Steel,medium,Biomass and alternative reductants in iron-making.
icare_0034,icare,Fuel Supply Systems for Industrial Heating,mitigation,transition_element,shift_to_biogas_energy_in_iron_and_steel_industries,T-2C1-TE-1 - Shift to biogas energy in iron and steel industries,Industry > Metals > Iron Steel,low,Gas pathway substitution where biogas is injected.
icare_0035,icare,Enhance industrial energy efficiency processes,mitigation,intervention,shift_to_electricity_in_other_industries,T-2D5-TE-3 - Shift to electricity in other industries,Industry > Other > Other,high,Cross-cutting industrial electrification and efficiency envelope.
icare_0035,icare,Enhance industrial energy efficiency processes,mitigation,intervention,energy_efficient_other_industrial_electric_appliances,T-4B2c-TE-2 - Energy efficient industrial electrical appliances,Buildings > Non Residential > Other Energy Usage > Other,high,Electric end-use efficiency in industry.
icare_0035,icare,Enhance industrial energy efficiency processes,mitigation,intervention,efficient_use_of_mobile_machinery,T-2D4-TE-3 - Efficient use of mobile machinery,Industry > Other > Mobile Machinery,medium,Many industrial sites have major mobile machinery energy.
icare_0040,icare,Deploy energy-efficient and solar-powered street lighting across all neighborhoods,mitigation,intervention,energy_efficient_street_lighting,T-4B2a-TE-1 - Energy efficient street lighting,Buildings > Non Residential > Other Energy Usage > Lighting,high,LED / efficient street lighting TE.
icare_0040,icare,Deploy energy-efficient and solar-powered street lighting across all neighborhoods,mitigation,intervention,solar_rooftops,T-5A1-TE-8 - Electricity from solar rooftops,Energy > Energy Supply > Electricity,low,Solar-powered poles may be off-grid PV; rooftop TE is imperfect but closest solar generation TE.
icare_0045,icare,"Promote organic, regenerative and agroecological agriculture in rural areas",mitigation,intervention,energy_efficient_other_agriculture_forestry_fishing_electric_appliances,"T-3C6-TE-1 - Energy efficient agriculture, forestry and fishing electrical appliances",Afolu > Aggregate Sources Other > Other,low,Agroecology can change energy use on farms; only weak electricity-efficiency TE exists in TEF.
icare_0045,icare,"Promote organic, regenerative and agroecological agriculture in rural areas",mitigation,intervention,shift_to_sustainable_healthy_diet,T-3A1-TE-1 - Shift to Sustainable Healthy Diets,Afolu > Livestock > Enteric Fermentation,low,Indirect link via diversified diets and lower-intensity livestock systems—not a strong TE map.
icare_0049,icare,Develop regional hubs for renewable energy production,mitigation,intervention,solar_parks,T-5A1-TE-7 - Electricity from solar parks,Energy > Energy Supply > Electricity,high,Regional hubs typically include utility-scale solar.
icare_0049,icare,Develop regional hubs for renewable energy production,mitigation,intervention,wind_onshore,T-5A1-TE-10 - Electricity from wind onshore,Energy > Energy Supply > Electricity,high,Onshore wind hubs.
icare_0049,icare,Develop regional hubs for renewable energy production,mitigation,intervention,wind_offshore,T-5A1-TE-9 - Electricity from wind offshore,Energy > Energy Supply > Electricity,medium,Coastal regional hubs.
icare_0049,icare,Develop regional hubs for renewable energy production,mitigation,intervention,improved_grid_electricity,T-5A1-TE-3 - Improved Grid Electricity,Energy > Energy Supply > Electricity,medium,Hubs require grid integration.
icare_0050,icare,Accelerate the adoption of Agroforestry,mitigation,transition_element,,,,none,TEF has no agroforestry / land-cover sequestration TE; AFOLU TE set is limited to diet and farm electricity.
icare_0053,icare,Support cooperatives of voluntary waste collectors to aggregate into small enterprises and expand into organics management,mitigation,intervention,increased_recycling,T-6A1-TE-1 - Shift to recycling of solid waste,Waste > Solids > Solid Waste Disposal,high,Cooperative sorting increases recyclables recovery.
icare_0053,icare,Support cooperatives of voluntary waste collectors to aggregate into small enterprises and expand into organics management,mitigation,intervention,shift_to_composting_of_organic_waste,T-6A1-TE-2 - Shift to composting of organic waste,Waste > Solids > Solid Waste Disposal,high,Organics management expansion.
icare_0064,icare,Develop an organic waste management strategy,mitigation,intervention,shift_to_composting_of_organic_waste,T-6A1-TE-2 - Shift to composting of organic waste,Waste > Solids > Solid Waste Disposal,high,Core organics diversion TE.
icare_0064,icare,Develop an organic waste management strategy,mitigation,intervention,shift_to_exported_composting_of_organic_waste,T-6A1-TE-3 - Shift to exported composting of organic waste,Waste > Solids > Solid Waste Disposal,medium,Regional treatment / export of organics.
icare_0064,icare,Develop an organic waste management strategy,mitigation,intervention,increased_recycling,T-6A1-TE-1 - Shift to recycling of solid waste,Waste > Solids > Solid Waste Disposal,low,Dry recyclables often co-strategized with organics separation.
icare_0069,icare,Complete ecological and agroclimatic mapping,mitigation,intervention,,,,none,Planning/mapping instrument with no direct stock-or-flow shift in TEF tables.
icare_0071,icare,Increase efficiency of industrial furnaces and kilns,mitigation,transition_element,electrification_of_production_in_cement_and_concrete_industry,T-2A1-TE-2 - Shift to electricity in cement and mineral industry,Industry > Minerals > Cement,high,Kilns in cement/minerals sector.
icare_0071,icare,Increase efficiency of industrial furnaces and kilns,mitigation,transition_element,shift_to_electric_arc_furnaces_in_steel_industries,T-2C1-TE-3 - Shift to electric arc furnaces in steel industries,Industry > Metals > Iron Steel,high,Steel furnace technology shift explicitly in TEF.
icare_0071,icare,Increase efficiency of industrial furnaces and kilns,mitigation,transition_element,shift_to_electricity_in_iron_and_steel_industries,T-2C1-TE-4 - Shift to electricity in iron and steel industries,Industry > Metals > Iron Steel,medium,Broader electrification of steel processes.
icare_0072,icare,Heat Recovery and Reuse through Heat Exchanger Networks or Heat Pumps,mitigation,transition_element,heat_pumps_in_non_residential_industrial_buildings,T-4B1c-TE-3 - Shift to heat pumps in industrial buildings,Buildings > Non Residential > Hvac > Other Hvac,high,Industrial heat pumps explicitly covered.
icare_0072,icare,Heat Recovery and Reuse through Heat Exchanger Networks or Heat Pumps,mitigation,transition_element,district_heating_heat_pumps,T-5A2-TE-4 - District heating by heat pump,Energy > Energy Supply > Heat,low,When recovered heat feeds district systems with heat-pump boost—peripheral case.
icare_0074,icare,Adopt industrial energy efficiency technologies,mitigation,intervention,shift_to_electricity_in_other_industries,T-2D5-TE-3 - Shift to electricity in other industries,Industry > Other > Other,medium,Mining/industrial efficiency often includes electrification of loads.
icare_0074,icare,Adopt industrial energy efficiency technologies,mitigation,intervention,efficient_use_of_mobile_machinery,T-2D4-TE-3 - Efficient use of mobile machinery,Industry > Other > Mobile Machinery,high,Comminution and mobile equipment called out in action description.
icare_0074,icare,Adopt industrial energy efficiency technologies,mitigation,intervention,electrification_of_mobile_machinery,T-2D4-TE-2 - Shift to electric mobile machinery,Industry > Other > Mobile Machinery,medium,Zero-emission mining equipment pathway.
icare_0076,icare,Electrify Industrial Processes (with Renewable Power),mitigation,transition_element,shift_to_electricity_in_iron_and_steel_industries,T-2C1-TE-4 - Shift to electricity in iron and steel industries,Industry > Metals > Iron Steel,high,Steel electrification explicitly in text.
icare_0076,icare,Electrify Industrial Processes (with Renewable Power),mitigation,transition_element,electrification_of_production_in_cement_and_concrete_industry,T-2A1-TE-2 - Shift to electricity in cement and mineral industry,Industry > Minerals > Cement,medium,Cement/mineral electrification where relevant.
icare_0076,icare,Electrify Industrial Processes (with Renewable Power),mitigation,transition_element,shift_to_electricity_in_chemical_industries,T-2B9-TE-3 - Shift to electricity in chemical industries,Industry > Chemicals > Other,medium,Chemical sector electrification.
icare_0076,icare,Electrify Industrial Processes (with Renewable Power),mitigation,transition_element,shift_to_electricity_in_other_industries,T-2D5-TE-3 - Shift to electricity in other industries,Industry > Other > Other,high,Residual industrial electrification bucket.
icare_0078,icare,Decarbonize industrial feedstocks,mitigation,transition_element,shift_to_electrolysis_of_water_for_hydrogen_production,T-5B4-TE-6 - Shift to electrolysis of water for hydrogen production,Energy > Energy Transformation > Hydrogen Refinement,low,Low-carbon hydrogen for synthetic feedstocks—only partial analogue; CCS/CCU not represented as TE.
icare_0078,icare,Decarbonize industrial feedstocks,mitigation,transition_element,shift_to_electricity_in_hydrogen_refinement,T-5B4-TE-5 - Shift to electricity in hydrogen refinement,Energy > Energy Transformation > Hydrogen Refinement,low,Electrify hydrogen refining steps as proxy for low-carbon feedstock routes.
icare_0079,icare,Implement carbon capture and utilization (CCU),mitigation,intervention,,,,none,TEF has no CCU process TE; hydrogen TEs are not equivalent without assuming e-fuel synthesis.
icare_0082,icare,Implement carbon capture and storage (CCS),mitigation,intervention,,,,none,No geological CCS transition element in shipped TEF CSV.
icare_0099,icare,Increase local participation in Agroecological Certification Programmes,mitigation,intervention,,,,none,Certification / governance action without modeled mass or energy shift in TEF.
icare_0101,icare,Accelerate the adoption of Zero Emission Agricultural Machinery,mitigation,transition_element,electrification_of_mobile_machinery,T-2D4-TE-2 - Shift to electric mobile machinery,Industry > Other > Mobile Machinery,high,Agricultural machinery maps to mobile machinery electrification TE.
icare_0101,icare,Accelerate the adoption of Zero Emission Agricultural Machinery,mitigation,transition_element,mobile_machinery_using_biofuels,T-2D4-TE-1 - Shift to biofuel for mobile machinery,Industry > Other > Mobile Machinery,medium,Where ZE is biofuel rather than electric.
icare_0104,icare,Adopt hybrid renewable energy systems (solar-wind),mitigation,transition_element,solar_parks,T-5A1-TE-7 - Electricity from solar parks,Energy > Energy Supply > Electricity,high,Utility-scale solar component.
icare_0104,icare,Adopt hybrid renewable energy systems (solar-wind),mitigation,transition_element,wind_onshore,T-5A1-TE-10 - Electricity from wind onshore,Energy > Energy Supply > Electricity,high,Onshore wind component.
icare_0105,icare,Reduce technical losses in energy distribution networks,mitigation,transition_element,improved_grid_electricity,T-5A1-TE-3 - Improved Grid Electricity,Energy > Energy Supply > Electricity,high,Loss reduction improves effective grid performance and carbon intensity—closest TE.
icare_0110,icare,"Regulate Construction and Demolition Waste Management to improve deconstruction, segregation at source, reutilization and recycling",mitigation,intervention,increased_recycling,T-6A1-TE-1 - Shift to recycling of solid waste,Waste > Solids > Solid Waste Disposal,high,CDW recycling and recovery maps to recycling mass-flow TE.
icare_0110,icare,"Regulate Construction and Demolition Waste Management to improve deconstruction, segregation at source, reutilization and recycling",mitigation,intervention,low_carbon_construction_of_buildings,T-4C1-TE-1 - Low carbon construction of buildings,Buildings > Building Stocks > Construction,low,Reuse of CDW can lower embodied carbon of new non-res commercial construction—weak but related.
icare_0111,icare,Strengthen Extended Producer Responsibility (EPR) Systems,mitigation,intervention,increased_recycling,T-6A1-TE-1 - Shift to recycling of solid waste,Waste > Solids > Solid Waste Disposal,high,EPR increases post-consumer recycling rates modeled by recycling TE.
icare_0117,icare,Improve public transport systems to promote modal shift,mitigation,transition_element,transfer_from_car_to_railway,T-1A1a-TE-6 - Shift from car to railway,Transport > Mobility > Road > Light Duty Vehicles,high,Modal shift from private car to rail.
icare_0117,icare,Improve public transport systems to promote modal shift,mitigation,transition_element,increased_proportion_of_commuting_by_electric_bus,T-1A1a-TE-12 - Shift to travel by electric bus,Transport > Mobility > Road > Light Duty Vehicles,high,PT improvement with electric bus uptake.
icare_0117,icare,Improve public transport systems to promote modal shift,mitigation,transition_element,shift_to_electric_passenger_rail,T-1A2-TE-2 - Shift to travel by electric rail,Transport > Mobility > Rail,medium,Rail electrification and ridership growth.
icare_0117,icare,Improve public transport systems to promote modal shift,mitigation,transition_element,increased_proportion_of_public_transport_by_trams_and_light_rail,"T-1A1a-TE-18 - Shift to trams, light rail and subway",Transport > Mobility > Road > Light Duty Vehicles,medium,BRT/LRT/tram capacity improvements.
icare_0120,icare,"Implement energy efficiency criteria and indicators in the procurement of goods, services, or works by the municipal public administration.",mitigation,intervention,energy_efficient_non_residential_public_buildings_retrofitting,T-4B1b-TE-6 - Retrofitting public buildings for efficient heating,Buildings > Non Residential > Hvac > Institutional Hvac,medium,Procurement drives retrofit outcomes on municipal stock.
icare_0120,icare,"Implement energy efficiency criteria and indicators in the procurement of goods, services, or works by the municipal public administration.",mitigation,intervention,energy_efficient_other_institutional_electric_appliances,T-4B2c-TE-3 - Energy efficient public electrical appliances,Buildings > Non Residential > Other Energy Usage > Other,medium,Covers efficient institutional plug loads and equipment.
icare_0121,icare,"Incentive to create bike-sharing programs in urban areas, with a focus on electric bikes.",mitigation,intervention,shift_to_electric_bikes,T-1A1a-TE-11 - Shift to electric bikes,Transport > Mobility > Road > Light Duty Vehicles,high,Electric bike mode share shift TE.
icare_0121,icare,"Incentive to create bike-sharing programs in urban areas, with a focus on electric bikes.",mitigation,intervention,increased_proportion_of_walking_and_cycling,T-1A1a-TE-10 - Shift to walking and cycling,Transport > Mobility > Road > Light Duty Vehicles,medium,Bike share also grows conventional cycling short trips.
icare_0122,icare,Establish eco-parks.,mitigation,intervention,increased_recycling,T-6A1-TE-1 - Shift to recycling of solid waste,Waste > Solids > Solid Waste Disposal,high,Eco-parks recover dry recyclables—recycling TE.
icare_0122,icare,Establish eco-parks.,mitigation,intervention,shift_to_composting_of_organic_waste,T-6A1-TE-2 - Shift to composting of organic waste,Waste > Solids > Solid Waste Disposal,high,Organic treatment at eco-parks.
icare_0122,icare,Establish eco-parks.,mitigation,intervention,chp_waste_incineration,T-5A3-TE-4 - CHP from waste incineration,Energy > Energy Supply > Combined Heat Power,medium,When eco-park includes WTE CHP.
icare_0122,icare,Establish eco-parks.,mitigation,intervention,increased_energy_recovery_from_waste,T-5A3-TE-6 - Increased energy recovery from waste,Energy > Energy Supply > Combined Heat Power,low,Energy recovery from residual fractions.
icare_0127,icare,Accelerate Environmental Regularization of Rural Properties,mitigation,intervention,,,,none,Land-registry compliance without specific modeled energy/activity shift in TEF.
icare_0128,icare,Establish Municipal Programs for Payment for Environmental Services and other ecological financial incentives,mitigation,intervention,,,,none,Economic instrument for conservation; no PES or forest carbon TE in table.
icare_0131,icare,Prioritize Procurement of Locally Produced Agroecological Products in Public Purchases,mitigation,intervention,shift_to_sustainable_healthy_diet,T-3A1-TE-1 - Shift to Sustainable Healthy Diets,Afolu > Livestock > Enteric Fermentation,low,Public procurement of plant-forward/local foods can reduce livestock-based meals—very indirect.
icare_0132,icare,Encourage Local Agroecological Production and Short Supply Chains,mitigation,intervention,shift_to_sustainable_healthy_diet,T-3A1-TE-1 - Shift to Sustainable Healthy Diets,Afolu > Livestock > Enteric Fermentation,low,Short chains can change diet mix and emissions intensity weakly; only diet TE exists.
icare_0137,icare,Replace Inefficient Lighting with LED Technology in Public Spaces,mitigation,intervention,energy_efficient_street_lighting,T-4B2a-TE-1 - Energy efficient street lighting,Buildings > Non Residential > Other Energy Usage > Lighting,high,Street and public realm lighting efficiency TE.
icare_0137,icare,Replace Inefficient Lighting with LED Technology in Public Spaces,mitigation,intervention,energy_efficient_commercial_lighting,T-4B2a-TE-2 - Energy efficient commercial lighting,Buildings > Non Residential > Other Energy Usage > Lighting,medium,Also covers plazas/civic buildings treated as commercial lighting in TEF taxonomy.
icare_0139,icare,Implement congestion pricing and restrictions on high-polluting vehicles,mitigation,intervention,improved_urban_planning,T-1A1a-TE-22 - Improved urban planning,Transport > Mobility > Road > Light Duty Vehicles,medium,Pricing reduces VKT similar in spirit to planning-led VKT reduction TE (imperfect).
icare_0139,icare,Implement congestion pricing and restrictions on high-polluting vehicles,mitigation,intervention,transfer_from_car_to_railway,T-1A1a-TE-6 - Shift from car to railway,Transport > Mobility > Road > Light Duty Vehicles,low,If revenues fund PT—modal shift co-benefit.
