mapping_id,action_id,action_name,action_definition,sector,component,eligibility,eligibility_rationale,mapping_indicator_ids,mapping_indicator_names,indicator_evidence_coverage,effectiveness_class,source_sufficiency,time_horizon,maladaptation_flag,assessment_basis,screening_status,screened_source_count,mapping_review_status,mapping_review_note,evidence_id,source_id,source_title,source_url,pdf_page,printed_page,quote_verbatim,evidence_grounding_status,evidence_grounding_note,evidence_indicator_ids,evidence_indicator_names,direction,quantified_value,support_scope,maladaptation_signal,evidence_review_status,evidence_review_note
map_82d6d46872eaaadb,c40_0056,Improve Watershed Protection and Management,"""Watershed Protection and Management"" involves the protection and conservation of natural watershed areas to safeguard water quality, biodiversity, and ecosystem services, including measures such as preventing pollution and encrouchment. This initiative aims to ensure sustainable water management and resilience to the impacts of climate change.",biodiversity,vulnerability,eligible,"Conservative eligibility screen: the action's stated mechanism has a plausible direct pathway to Environmental liabilities, Vegetation loss, Steering committee and management plan. Evidence determines whether the effect is demonstrated and in which direction.",90018 | 90019 | 90027,Environmental liabilities | Vegetation loss | Steering committee and management plan,partial (2/3; missing 90027),medium,broad,<5 years,false,proposed_evidence,complete,7,proposed,,ev_ee2121dad23a8126,B_SRC_007,Harnessing Nature to Build Climate Resilience: Scaling Up the Use of Ecosystem-based Adaptation,https://globalebafund.org/wp-content/uploads/2022/07/Harnessing-nature-for-climate-resilience-Full-Report-V7-Web.pdf,10,8,"Common examples of EbA measures include the conservation or restoration of mangroves to protect coastal communities from storm surges and sea level rise, the establishment of green roofs, street trees and urban parks to reduce the risks of heatwaves and flooding in cities, and the conservation of upslope forests to prevent landslides and downstream flooding under extreme weather events.",verified_ordered,Ordered token coverage on the cited PDF page is 100.0%.,90018 | 90019,Environmental liabilities | Vegetation loss,supports,,partial_action,false,proposed,
map_82d6d46872eaaadb,c40_0056,Improve Watershed Protection and Management,"""Watershed Protection and Management"" involves the protection and conservation of natural watershed areas to safeguard water quality, biodiversity, and ecosystem services, including measures such as preventing pollution and encrouchment. This initiative aims to ensure sustainable water management and resilience to the impacts of climate change.",biodiversity,vulnerability,eligible,"Conservative eligibility screen: the action's stated mechanism has a plausible direct pathway to Environmental liabilities, Vegetation loss, Steering committee and management plan. Evidence determines whether the effect is demonstrated and in which direction.",90018 | 90019 | 90027,Environmental liabilities | Vegetation loss | Steering committee and management plan,partial (2/3; missing 90027),medium,broad,<5 years,false,proposed_evidence,complete,7,proposed,,ev_d10730a7e0191bad,B_SRC_010,"Climate Change 2022: Impacts, Adaptation and Vulnerability - Chapter 2: Terrestrial and Freshwater Ecosystems and their Services",https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter02.pdf,7,203,"The resilience of biodiversity and ecosystem services to climate change can be increased by human adaptation actions including ecosystem protection and restoration (high confidence). Ecological theory and observations show that a wide range of actions can reduce risks to species and ecosystem integrity. This includes minimising additional stresses or disturbances; reducing fragmentation; increasing natural habitat extent, connectivity and heterogeneity; maintaining taxonomic, phylogenetic, and functional diversity and redundancy; and protecting small-scale refugia where micro-climate conditions can allow species to persist (high confidence).",verified_ordered,Ordered token coverage on the cited PDF page is 100.0%.,90018 | 90019,Environmental liabilities | Vegetation loss,supports,,whole_action,false,proposed,
map_01743c53cf8c9e61,c40_0056,Improve Watershed Protection and Management,"""Watershed Protection and Management"" involves the protection and conservation of natural watershed areas to safeguard water quality, biodiversity, and ecosystem services, including measures such as preventing pollution and encrouchment. This initiative aims to ensure sustainable water management and resilience to the impacts of climate change.",biodiversity,exposure,eligible,"Conservative eligibility screen: the action's stated mechanism has a plausible direct pathway to Natural coverage, Area for conservation. Evidence determines whether the effect is demonstrated and in which direction.",90028 | 90030,Natural coverage | Area for conservation,complete (2/2),medium,broad,<5 years,false,proposed_evidence,complete,7,proposed,,ev_a0ba2d16322f3cf2,B_SRC_007,Harnessing Nature to Build Climate Resilience: Scaling Up the Use of Ecosystem-based Adaptation,https://globalebafund.org/wp-content/uploads/2022/07/Harnessing-nature-for-climate-resilience-Full-Report-V7-Web.pdf,10,8,"Common examples of EbA measures include the conservation or restoration of mangroves to protect coastal communities from storm surges and sea level rise, the establishment of green roofs, street trees and urban parks to reduce the risks of heatwaves and flooding in cities, and the conservation of upslope forests to prevent landslides and downstream flooding under extreme weather events.",verified_ordered,Ordered token coverage on the cited PDF page is 100.0%.,90028 | 90030,Natural coverage | Area for conservation,supports,,partial_action,false,proposed,
map_01743c53cf8c9e61,c40_0056,Improve Watershed Protection and Management,"""Watershed Protection and Management"" involves the protection and conservation of natural watershed areas to safeguard water quality, biodiversity, and ecosystem services, including measures such as preventing pollution and encrouchment. This initiative aims to ensure sustainable water management and resilience to the impacts of climate change.",biodiversity,exposure,eligible,"Conservative eligibility screen: the action's stated mechanism has a plausible direct pathway to Natural coverage, Area for conservation. Evidence determines whether the effect is demonstrated and in which direction.",90028 | 90030,Natural coverage | Area for conservation,complete (2/2),medium,broad,<5 years,false,proposed_evidence,complete,7,proposed,,ev_09a4086367abf43a,B_SRC_010,"Climate Change 2022: Impacts, Adaptation and Vulnerability - Chapter 2: Terrestrial and Freshwater Ecosystems and their Services",https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter02.pdf,7,203,"The resilience of biodiversity and ecosystem services to climate change can be increased by human adaptation actions including ecosystem protection and restoration (high confidence). Ecological theory and observations show that a wide range of actions can reduce risks to species and ecosystem integrity. This includes minimising additional stresses or disturbances; reducing fragmentation; increasing natural habitat extent, connectivity and heterogeneity; maintaining taxonomic, phylogenetic, and functional diversity and redundancy; and protecting small-scale refugia where micro-climate conditions can allow species to persist (high confidence).",verified_ordered,Ordered token coverage on the cited PDF page is 100.0%.,90028 | 90030,Natural coverage | Area for conservation,supports,,whole_action,false,proposed,
map_c6d733c8774953f2,c40_0062,Reform water tariffs to support efficiency and equity,"""Reform water tariffs to support efficiency and equity"" involve pricing structures for water use, encouraging conservation and efficient use of water resources. This initiative aims to promote responsible water consumption and contribute to sustainable water management.",biodiversity,vulnerability,not_eligible,The action's primary mechanism does not directly change a terminal Biodiversity vulnerability indicator.,,,not_applicable,not_applicable,not_applicable,5-10 years,false,not_applicable,not_required,0,proposed,,,,,,,,,,,,,,,,,,
map_fa4d1746fa78d573,c40_0062,Reform water tariffs to support efficiency and equity,"""Reform water tariffs to support efficiency and equity"" involve pricing structures for water use, encouraging conservation and efficient use of water resources. This initiative aims to promote responsible water consumption and contribute to sustainable water management.",biodiversity,exposure,not_eligible,The action's primary mechanism does not directly change a terminal Biodiversity exposure indicator.,,,not_applicable,not_applicable,not_applicable,5-10 years,false,not_applicable,not_required,0,proposed,,,,,,,,,,,,,,,,,,
map_9dc9f0e035595703,icare_0144,Establish a financial support program for extreme weather events,"Creation of a program to mitigate the effects of climate tragedies, including financial assistance to affected families, efforts to increase access to affordable hazard insurance, and efforts to secure additional resources for recovery and reconstruction, including partnerships with state and federal government bodies. Recovery and reconstruction measures should include adaptive measures with the emphasis on build back better to withstand future hazards and helping residents retrofit buildings.",biodiversity,vulnerability,not_eligible,The action's primary mechanism does not directly change a terminal Biodiversity vulnerability indicator.,,,not_applicable,not_applicable,not_applicable,<5 years,false,not_applicable,not_required,0,proposed,,,,,,,,,,,,,,,,,,
map_c2c85ea7652b6176,icare_0144,Establish a financial support program for extreme weather events,"Creation of a program to mitigate the effects of climate tragedies, including financial assistance to affected families, efforts to increase access to affordable hazard insurance, and efforts to secure additional resources for recovery and reconstruction, including partnerships with state and federal government bodies. Recovery and reconstruction measures should include adaptive measures with the emphasis on build back better to withstand future hazards and helping residents retrofit buildings.",biodiversity,exposure,not_eligible,The action's primary mechanism does not directly change a terminal Biodiversity exposure indicator.,,,not_applicable,not_applicable,not_applicable,<5 years,false,not_applicable,not_required,0,proposed,,,,,,,,,,,,,,,,,,
map_c13430cb25673b67,icare_0145,Strengthen the healthcare system to respond effectively to extreme events,"Improve the infrastructure of healthcare units to assist people who require medical care due to impacts associated with climate risks (climate victims), such as those affected by heat waves or floods, especially in more vulnerable areas. Develop action plans to prepare the healthcare network for extreme climate-related situations.",biodiversity,vulnerability,not_eligible,The action's primary mechanism does not directly change a terminal Biodiversity vulnerability indicator.,,,not_applicable,not_applicable,not_applicable,>10 years,false,not_applicable,not_required,0,proposed,,,,,,,,,,,,,,,,,,
map_ca7886e06c7f45cf,icare_0145,Strengthen the healthcare system to respond effectively to extreme events,"Improve the infrastructure of healthcare units to assist people who require medical care due to impacts associated with climate risks (climate victims), such as those affected by heat waves or floods, especially in more vulnerable areas. Develop action plans to prepare the healthcare network for extreme climate-related situations.",biodiversity,exposure,not_eligible,The action's primary mechanism does not directly change a terminal Biodiversity exposure indicator.,,,not_applicable,not_applicable,not_applicable,>10 years,false,not_applicable,not_required,0,proposed,,,,,,,,,,,,,,,,,,
map_a69fb52bf7de4a7d,icare_0154,Clean and unclog drainage channels and install eco-barriers,Cleaning and unclogging channels in the city to reduce the risk of flooding caused by extreme rainfall events. Installation of eco-barriers to assist in cleaning efforts and raise awareness about solid waste.,biodiversity,vulnerability,not_eligible,The action's primary mechanism does not directly change a terminal Biodiversity vulnerability indicator.,,,not_applicable,not_applicable,not_applicable,<5 years,false,not_applicable,not_required,0,proposed,,,,,,,,,,,,,,,,,,
map_4c630a46cada7543,icare_0154,Clean and unclog drainage channels and install eco-barriers,Cleaning and unclogging channels in the city to reduce the risk of flooding caused by extreme rainfall events. Installation of eco-barriers to assist in cleaning efforts and raise awareness about solid waste.,biodiversity,exposure,not_eligible,The action's primary mechanism does not directly change a terminal Biodiversity exposure indicator.,,,not_applicable,not_applicable,not_applicable,<5 years,false,not_applicable,not_required,0,proposed,,,,,,,,,,,,,,,,,,
map_19764118d5d76836,icare_0156,Improve Implementation of urban gardens,Identify and assess the feasibility of suitable areas for the installation of urban gardens and ensure that the sites chosen meet the expectations of the community.,biodiversity,vulnerability,eligible,"Conservative eligibility screen: the action's stated mechanism has a plausible direct pathway to No family farming, No sustainable agricultural practice, Agricultural establishment, Technical guidance. Evidence determines whether the effect is demonstrated and in which direction.",90015 | 90016 | 90023 | 90026,No family farming | No sustainable agricultural practice | Agricultural establishment | Technical guidance,complete (4/4),low,moderate,<5 years,false,proposed_evidence,complete,7,proposed,,ev_204138d05a43352d,B_SRC_010,"Climate Change 2022: Impacts, Adaptation and Vulnerability - Chapter 2: Terrestrial and Freshwater Ecosystems and their Services",https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter02.pdf,7,203,"The resilience of biodiversity and ecosystem services to climate change can be increased by human adaptation actions including ecosystem protection and restoration (high confidence). Ecological theory and observations show that a wide range of actions can reduce risks to species and ecosystem integrity. This includes minimising additional stresses or disturbances; reducing fragmentation; increasing natural habitat extent, connectivity and heterogeneity; maintaining taxonomic, phylogenetic, and functional diversity and redundancy; and protecting small-scale refugia where micro-climate conditions can allow species to persist (high confidence).",verified_ordered,Ordered token coverage on the cited PDF page is 100.0%.,90015 | 90016 | 90023 | 90026,No family farming | No sustainable agricultural practice | Agricultural establishment | Technical guidance,supports,,partial_action,false,proposed,
map_e377b5842d25b9dc,icare_0156,Improve Implementation of urban gardens,Identify and assess the feasibility of suitable areas for the installation of urban gardens and ensure that the sites chosen meet the expectations of the community.,biodiversity,exposure,not_eligible,The action's primary mechanism does not directly change a terminal Biodiversity exposure indicator.,,,not_applicable,not_applicable,not_applicable,<5 years,false,not_applicable,not_required,0,proposed,,,,,,,,,,,,,,,,,,
map_8c83a38678ee1219,icare_0160,Establish mechanisms for intersectoral coordination and public participation in climate policy,"Establish more mechanisms that enable better intersectoral coordination and public participation in climate policy, including the creation of working groups with neighboring municipalities to discuss a common climate agenda.",biodiversity,vulnerability,eligible,Conservative eligibility screen: the action's stated mechanism has a plausible direct pathway to Steering committee and management plan. Evidence determines whether the effect is demonstrated and in which direction.,90027,Steering committee and management plan,none (0/1; missing 90027),none_demonstrated,none,<5 years,false,proposed_evidence,complete,7,proposed,,,,,,,,,,,,,,,,,,
map_c007d8fb290c278b,icare_0160,Establish mechanisms for intersectoral coordination and public participation in climate policy,"Establish more mechanisms that enable better intersectoral coordination and public participation in climate policy, including the creation of working groups with neighboring municipalities to discuss a common climate agenda.",biodiversity,exposure,not_eligible,The action's primary mechanism does not directly change a terminal Biodiversity exposure indicator.,,,not_applicable,not_applicable,not_applicable,<5 years,false,not_applicable,not_required,0,proposed,,,,,,,,,,,,,,,,,,
map_a8da6dcf6c79f8d1,icare_0162,Strengthen programs for control and conservation of protected areas,"This action focuses on implementing a series of integrated strategies to enhance environmental conservation and maximize its benefits, such as expanding protected areas, developing management plans for conservation units, and training ecotourism guides to strengthen sustainable tourism.",biodiversity,vulnerability,eligible,"Conservative eligibility screen: the action's stated mechanism has a plausible direct pathway to Environmental liabilities, Vegetation loss, Steering committee and management plan. Evidence determines whether the effect is demonstrated and in which direction.",90018 | 90019 | 90027,Environmental liabilities | Vegetation loss | Steering committee and management plan,complete (3/3),high,broad,5-10 years,false,proposed_evidence,complete,7,proposed,,ev_75c64f1771a34a3f,B_SRC_005,Plano Nacional de Adaptação à Mudança do Clima,https://unfccc.int/sites/default/files/resource/NAP_Brazil_2016_PR.pdf,139,121,"Fortalecer as medidas de conservação, recuperação e uso sustentável da biodiversidade visando o aumento da conectividade entre remanescentes dos ecossistemas e a consolidação de Unidades de Conservação, refletindo a gestão florestal integrada da paisagem e propiciando a redução da vulnerabilidade da biodiversidade.",verified_exact,Normalized quote occurs on the cited PDF page.,90018 | 90019 | 90027,Environmental liabilities | Vegetation loss | Steering committee and management plan,supports,,whole_action,false,proposed,
map_a8da6dcf6c79f8d1,icare_0162,Strengthen programs for control and conservation of protected areas,"This action focuses on implementing a series of integrated strategies to enhance environmental conservation and maximize its benefits, such as expanding protected areas, developing management plans for conservation units, and training ecotourism guides to strengthen sustainable tourism.",biodiversity,vulnerability,eligible,"Conservative eligibility screen: the action's stated mechanism has a plausible direct pathway to Environmental liabilities, Vegetation loss, Steering committee and management plan. Evidence determines whether the effect is demonstrated and in which direction.",90018 | 90019 | 90027,Environmental liabilities | Vegetation loss | Steering committee and management plan,complete (3/3),high,broad,5-10 years,false,proposed_evidence,complete,7,proposed,,ev_a8d2838c20df1ee9,B_SRC_010,"Climate Change 2022: Impacts, Adaptation and Vulnerability - Chapter 2: Terrestrial and Freshwater Ecosystems and their Services",https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter02.pdf,7,203,"The resilience of biodiversity and ecosystem services to climate change can be increased by human adaptation actions including ecosystem protection and restoration (high confidence). Ecological theory and observations show that a wide range of actions can reduce risks to species and ecosystem integrity. This includes minimising additional stresses or disturbances; reducing fragmentation; increasing natural habitat extent, connectivity and heterogeneity; maintaining taxonomic, phylogenetic, and functional diversity and redundancy; and protecting small-scale refugia where micro-climate conditions can allow species to persist (high confidence).",verified_ordered,Ordered token coverage on the cited PDF page is 100.0%.,90018 | 90019,Environmental liabilities | Vegetation loss,supports,,whole_action,false,proposed,
map_7276402686490194,icare_0162,Strengthen programs for control and conservation of protected areas,"This action focuses on implementing a series of integrated strategies to enhance environmental conservation and maximize its benefits, such as expanding protected areas, developing management plans for conservation units, and training ecotourism guides to strengthen sustainable tourism.",biodiversity,exposure,eligible,"Conservative eligibility screen: the action's stated mechanism has a plausible direct pathway to Natural coverage, Protected area, Area for conservation. Evidence determines whether the effect is demonstrated and in which direction.",90028 | 90029 | 90030,Natural coverage | Protected area | Area for conservation,complete (3/3),high,broad,5-10 years,false,proposed_evidence,complete,7,proposed,,ev_8d0b2fd7b74cc7a3,B_SRC_005,Plano Nacional de Adaptação à Mudança do Clima,https://unfccc.int/sites/default/files/resource/NAP_Brazil_2016_PR.pdf,139,121,"Fortalecer as medidas de conservação, recuperação e uso sustentável da biodiversidade visando o aumento da conectividade entre remanescentes dos ecossistemas e a consolidação de Unidades de Conservação, refletindo a gestão florestal integrada da paisagem e propiciando a redução da vulnerabilidade da biodiversidade.",verified_exact,Normalized quote occurs on the cited PDF page.,90028 | 90029 | 90030,Natural coverage | Protected area | Area for conservation,supports,,whole_action,false,proposed,
map_7276402686490194,icare_0162,Strengthen programs for control and conservation of protected areas,"This action focuses on implementing a series of integrated strategies to enhance environmental conservation and maximize its benefits, such as expanding protected areas, developing management plans for conservation units, and training ecotourism guides to strengthen sustainable tourism.",biodiversity,exposure,eligible,"Conservative eligibility screen: the action's stated mechanism has a plausible direct pathway to Natural coverage, Protected area, Area for conservation. Evidence determines whether the effect is demonstrated and in which direction.",90028 | 90029 | 90030,Natural coverage | Protected area | Area for conservation,complete (3/3),high,broad,5-10 years,false,proposed_evidence,complete,7,proposed,,ev_54a418f38cc26412,B_SRC_010,"Climate Change 2022: Impacts, Adaptation and Vulnerability - Chapter 2: Terrestrial and Freshwater Ecosystems and their Services",https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter02.pdf,7,203,"The resilience of biodiversity and ecosystem services to climate change can be increased by human adaptation actions including ecosystem protection and restoration (high confidence). Ecological theory and observations show that a wide range of actions can reduce risks to species and ecosystem integrity. This includes minimising additional stresses or disturbances; reducing fragmentation; increasing natural habitat extent, connectivity and heterogeneity; maintaining taxonomic, phylogenetic, and functional diversity and redundancy; and protecting small-scale refugia where micro-climate conditions can allow species to persist (high confidence).",verified_ordered,Ordered token coverage on the cited PDF page is 100.0%.,90028 | 90029 | 90030,Natural coverage | Protected area | Area for conservation,supports,,whole_action,false,proposed,
map_d2806a9d48834492,icare_0163,Establish a first‑response firefighting brigade,Creation of a First Response Brigade in rural communities to provide them with training and equipment for fire prevention and firefighting.,biodiversity,vulnerability,eligible,"Conservative eligibility screen: the action's stated mechanism has a plausible direct pathway to Fire, Vegetation loss. Evidence determines whether the effect is demonstrated and in which direction.",90017 | 90019,Fire | Vegetation loss,none (0/2; missing 90017 | 90019),none_demonstrated,none,<5 years,false,proposed_evidence,complete,7,proposed,,,,,,,,,,,,,,,,,,
map_4183abfc34c0eea4,icare_0163,Establish a first‑response firefighting brigade,Creation of a First Response Brigade in rural communities to provide them with training and equipment for fire prevention and firefighting.,biodiversity,exposure,not_eligible,The action's primary mechanism does not directly change a terminal Biodiversity exposure indicator.,,,not_applicable,not_applicable,not_applicable,<5 years,false,not_applicable,not_required,0,proposed,,,,,,,,,,,,,,,,,,
map_f179e2a70e460079,icare_0164,Improve Hydrological Monitoring System with Telemetry Stations,"Implementation of a hydrological monitoring system with telemetry stations to monitor rainfall, water levels, and meteorological variables in real-time.",biodiversity,vulnerability,not_eligible,The action's primary mechanism does not directly change a terminal Biodiversity vulnerability indicator.,,,not_applicable,not_applicable,not_applicable,<5 years,false,not_applicable,not_required,0,proposed,,,,,,,,,,,,,,,,,,
map_2447963484ecb652,icare_0164,Improve Hydrological Monitoring System with Telemetry Stations,"Implementation of a hydrological monitoring system with telemetry stations to monitor rainfall, water levels, and meteorological variables in real-time.",biodiversity,exposure,not_eligible,The action's primary mechanism does not directly change a terminal Biodiversity exposure indicator.,,,not_applicable,not_applicable,not_applicable,<5 years,false,not_applicable,not_required,0,proposed,,,,,,,,,,,,,,,,,,
map_10c83065dacf993f,icare_0165,Develop an Environmental Education Plan,"Design and implement a comprehensive environmental education plan that fosters climate literacy and awareness across schools, communities, and the media. Municipal governments can organize workshops, awareness campaigns, and nature-based activities such as tree planting to reconnect residents with their environment. The plan should integrate themes of climate change, adaptation, mitigation, and climate justice, with particular attention to youth, women, and vulnerable groups. By embedding equity and inclusion, cities can strengthen long-term engagement and empower communities to take part in climate action.",biodiversity,vulnerability,eligible,"Conservative eligibility screen: the action's stated mechanism has a plausible direct pathway to Vegetation loss, Technical guidance. Evidence determines whether the effect is demonstrated and in which direction.",90019 | 90026,Vegetation loss | Technical guidance,none (0/2; missing 90019 | 90026),none_demonstrated,none,<5 years,false,proposed_evidence,complete,7,proposed,,,,,,,,,,,,,,,,,,
