action_id,action_name,subsector,sector,coverage_level,n_dedicated_channels,n_general_channels,example_channels
c40_0071,Promote the phase out the reliance on fossil fuels for cooking (in favour of high-efficiency electric cookstoves such as induction stoves).,I.6,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
icare_0001,Improve heat and energy recovery,IV.1,industry,broad-only,0,9,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
icare_0002,Promote and expand the use of the Brazilian Energy Labeling Program for Buildings,I.1,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
icare_0006,Develop integrated renewable energy planning and solar–battery microgrids for rural and peri-urban areas,I.4,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
icare_0008,Enable smart grid integration and distributed energy storage through municipal collaboration and demonstration projects,I.4,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
icare_0009,Deploy cogeneration systems in industries,I.3,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
icare_0010,Promote Net-Zero and Green Building Certifications,I.1,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
icare_0012,Expand solar energy generation on municipal facilities and public assets,I.4,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
icare_0015,Promote Mini and Micro-Hydropower and Biomass Energy,I.4,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
icare_0016,"Promote solar thermal and heat pump systems for water heating in residential, commercial, and public buildings",I.1,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
icare_0023,Upgrade and maintain electrical substations,I.4,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
icare_0024,Integrate renewables into municipal water systems,I.4,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
icare_0025,Promote energy-efficient and climate-resilient housing for low-income and informal settlements,I.1,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
icare_0026,Implement time-of-use electricity tariffs to enhance demand-side flexibility and efficiency,I.4,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
icare_0027,Create financing programs for local renewable energy projects,I.4,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
icare_0028,"Promote passive cooling through natural shading and ventilation in residential, commercial, and public buildings",I.1,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
icare_0031,Capture & Use Biogas at Wastewater Treatment Plants',III.4,waste,sector-specific,2,11,FPR 2026 - Fondo para el Reciclaje (cl-mma); Agua Potable Rural / Servicios Sanitarios Rurales (APR/SSR) — inversión (cl-mop)
icare_0033,Install biodigesters in rural properties,I.5,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
icare_0034,Improve Fuel Supply Systems for Industrial Heating,IV.1,industry,broad-only,0,9,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
icare_0035,Enhance industrial energy efficiency processes,I.3,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
icare_0040,Deploy energy-efficient and solar-powered street lighting across all neighborhoods,I.1,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
icare_0045,"Promote organic, regenerative and agroecological agriculture in rural areas",I.5,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
icare_0049,Develop regional hubs for renewable energy production,I.4,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
icare_0050,Accelerate the adoption of Agroforestry',I.5,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
icare_0053,Support cooperatives of voluntary waste collectors to aggregate into small enterprises and expand into organics management,III.1,waste,sector-specific,2,11,FPR 2026 - Fondo para el Reciclaje (cl-mma); Agua Potable Rural / Servicios Sanitarios Rurales (APR/SSR) — inversión (cl-mop)
icare_0064,Develop an organic waste management strategy ,III.2,waste,sector-specific,2,11,FPR 2026 - Fondo para el Reciclaje (cl-mma); Agua Potable Rural / Servicios Sanitarios Rurales (APR/SSR) — inversión (cl-mop)
icare_0069,Complete ecological and agroclimatic mapping,I.5,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
icare_0071,Increase efficiency of industrial furnaces and kilns,IV.1,industry,broad-only,0,9,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
icare_0072,Improve Heat Recovery and Reuse through Heat Exchanger Networks or Heat Pumps,IV.1,industry,broad-only,0,9,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
icare_0074,Adopt industrial energy efficiency technologies,IV.1,industry,broad-only,0,9,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
icare_0076,Electrify Industrial Processes (with Renewable Power),IV.1,industry,broad-only,0,9,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
icare_0078,Decarbonize industrial feedstocks,IV.1,industry,broad-only,0,9,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
icare_0079,Implement carbon capture and utilization (CCU),IV.1,industry,broad-only,0,9,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
icare_0082,Implement carbon capture and storage (CCS),IV.1,industry,broad-only,0,9,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
icare_0099,Increase local participation in Agroecological Certification Programmes,I.5,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
icare_0101,Accelerate the adoption of Zero Emission Agricultural Machinery,I.5,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
icare_0104,Adopt hybrid renewable energy systems (solar-wind),I.4,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
icare_0105,Reduce technical losses in energy distribution networks,I.4,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
icare_0110,"Regulate Construction and Demolition Waste Management to improve deconstruction, segregation at source, reutilization and recycling",III.1,waste,sector-specific,2,11,FPR 2026 - Fondo para el Reciclaje (cl-mma); Agua Potable Rural / Servicios Sanitarios Rurales (APR/SSR) — inversión (cl-mop)
icare_0111,Strengthen Extended Producer Responsibility (EPR) Systems,III.1,waste,sector-specific,2,11,FPR 2026 - Fondo para el Reciclaje (cl-mma); Agua Potable Rural / Servicios Sanitarios Rurales (APR/SSR) — inversión (cl-mop)
icare_0117,Improve public transport systems to promote modal shift,II.1,transportation,broad-only,0,8,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
icare_0120,"Implement energy efficiency criteria and indicators in the procurement of goods, services, or works by the municipal public administration.",I.6,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
icare_0121,"Incentive to create bike-sharing programs in urban areas, with a focus on electric bikes.",II.1,transportation,broad-only,0,8,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
icare_0122,Establish eco-parks.,V.2,afolu,sector-specific,2,12,"Programa Concursable de Espacios Públicos (cl-minvu); Fondo de Conservación, Recuperación y Manejo Sustentable del Bosque Nativo (Ley 20.283) (cl-conaf)"
icare_0127,Improve Accelerate Environmental Regularization of Rural Properties,I.5,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
icare_0128,Establish Municipal Programs for Payment for Environmental Services and other ecological financial incentives,V.2,afolu,sector-specific,2,12,"Programa Concursable de Espacios Públicos (cl-minvu); Fondo de Conservación, Recuperación y Manejo Sustentable del Bosque Nativo (Ley 20.283) (cl-conaf)"
icare_0131,Prioritize Procurement of Locally Produced Agroecological Products in Public Purchases,I.5,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
icare_0132,Encourage Local Agroecological Production and Short Supply Chains,I.5,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
icare_0137,Replace Inefficient Lighting with LED Technology in Public Spaces,I.2,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
icare_0139,Implement congestion pricing and restrictions on high-polluting vehicles,II.1,transportation,broad-only,0,8,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
ipcc_0001,Promote compact urban form and transit-oriented development,II.1,transportation,broad-only,0,8,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
ipcc_0023,Design products with lightweight materials,IV.1,industry,broad-only,0,9,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
ipcc_0024,Improve material utilization efficiency in production,IV.1,industry,broad-only,0,9,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
ipcc_0025,"Design for Recovery, Reuse, or Repurposing",IV.1,industry,broad-only,0,9,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
ipcc_0026,Adopt alternative feedstocks in industrial production,IV.1,industry,broad-only,0,9,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
ipcc_0028,"Behavioral Changes for Reduced Waste (e.g., Food)",IV.1,industry,broad-only,0,9,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
ipcc_0031,Enhanced product service levels per product (e.g. product sharing),IV.1,industry,broad-only,0,9,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
ipcc_0033,Improve product maintenance to extend lifespan,IV.1,industry,broad-only,0,9,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
ipcc_0034,Promote consumer behavior focused on sufficiency and reduced consumption,IV.1,industry,broad-only,0,9,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
ipcc_0037,Adopt net-zero-emissions materials and supply chains,IV.2,industry,broad-only,0,9,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
ipcc_0038,Stimulate solar energy production in industrial facilities,IV.2,industry,broad-only,0,9,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
ipcc_0039,Promote the substitution of traditional materials with sustainable alternatives,IV.2,industry,broad-only,0,9,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
ipcc_0040,Promote industry-government collaborations on emissions reduction,IV.1,industry,broad-only,0,9,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
ipcc_0041,Support research into carbon-neutral manufacturing technologies,IV.1,industry,broad-only,0,9,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
ipcc_0042,Set carbon emissions reduction targets for industrial sectors,IV.1,industry,broad-only,0,9,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
ipcc_0043,Encourage the Use of Zero-Emission Fuels in Industrial Processes,IV.1,industry,broad-only,0,9,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
ipcc_0045,Transition to renewable energy for industrial operations,IV.1,industry,broad-only,0,9,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
ipcc_0049,Develop and implement circular economy policies,IV.1,industry,broad-only,0,9,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
ipcc_0050,Create tax incentives for companies adopting clean technologies,IV.1,industry,broad-only,0,9,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
ipcc_0052,Reduce Deforestation and Degradation,V.2,afolu,sector-specific,2,12,"Programa Concursable de Espacios Públicos (cl-minvu); Fondo de Conservación, Recuperación y Manejo Sustentable del Bosque Nativo (Ley 20.283) (cl-conaf)"
ipcc_0053,"Implement afforestation, reforestation, and forest ecosystem restoration",V.2,afolu,sector-specific,2,12,"Programa Concursable de Espacios Públicos (cl-minvu); Fondo de Conservación, Recuperación y Manejo Sustentable del Bosque Nativo (Ley 20.283) (cl-conaf)"
ipcc_0054,Adopt sustainable forest management practices,V.2,afolu,sector-specific,2,12,"Programa Concursable de Espacios Públicos (cl-minvu); Fondo de Conservación, Recuperación y Manejo Sustentable del Bosque Nativo (Ley 20.283) (cl-conaf)"
ipcc_0055,"Implement fire management in forests, grasslands, and savannas",V.2,afolu,sector-specific,2,12,"Programa Concursable de Espacios Públicos (cl-minvu); Fondo de Conservación, Recuperación y Manejo Sustentable del Bosque Nativo (Ley 20.283) (cl-conaf)"
ipcc_0056,Reduce and prevent degradation and conversion of Grasslands and Savannas,V.2,afolu,sector-specific,2,12,"Programa Concursable de Espacios Públicos (cl-minvu); Fondo de Conservación, Recuperación y Manejo Sustentable del Bosque Nativo (Ley 20.283) (cl-conaf)"
ipcc_0057,Restore degraded peatlands and prevent further conversion or degradation.,V.2,afolu,sector-specific,2,12,"Programa Concursable de Espacios Públicos (cl-minvu); Fondo de Conservación, Recuperación y Manejo Sustentable del Bosque Nativo (Ley 20.283) (cl-conaf)"
ipcc_0060,Protect and Restore Coastal Wetlands,V.2,afolu,sector-specific,2,12,"Programa Concursable de Espacios Públicos (cl-minvu); Fondo de Conservación, Recuperación y Manejo Sustentable del Bosque Nativo (Ley 20.283) (cl-conaf)"
ipcc_0062,Create partnerships to implement biochar plants.,V.2,afolu,sector-specific,2,12,"Programa Concursable de Espacios Públicos (cl-minvu); Fondo de Conservación, Recuperación y Manejo Sustentable del Bosque Nativo (Ley 20.283) (cl-conaf)"
ipcc_0064,Reduce methane emissions from enteric fermentation in livestock,V.1,afolu,sector-specific,2,12,"Programa Concursable de Espacios Públicos (cl-minvu); Fondo de Conservación, Recuperación y Manejo Sustentable del Bosque Nativo (Ley 20.283) (cl-conaf)"
ipcc_0067,Improve manure management and crop nutrient practices,V.1,afolu,sector-specific,2,12,"Programa Concursable de Espacios Públicos (cl-minvu); Fondo de Conservación, Recuperación y Manejo Sustentable del Bosque Nativo (Ley 20.283) (cl-conaf)"
ipcc_0068,Pilot Bioenergy with Carbon Capture in Partnership with Utilities/Industry.,V.2,afolu,sector-specific,2,12,"Programa Concursable de Espacios Públicos (cl-minvu); Fondo de Conservación, Recuperación y Manejo Sustentable del Bosque Nativo (Ley 20.283) (cl-conaf)"
ipcc_0069,Promote sustainable and healthy diets,V.1,afolu,sector-specific,2,12,"Programa Concursable de Espacios Públicos (cl-minvu); Fondo de Conservación, Recuperación y Manejo Sustentable del Bosque Nativo (Ley 20.283) (cl-conaf)"
ipcc_0070,Reduce food loss and waste,V.2,afolu,sector-specific,2,12,"Programa Concursable de Espacios Públicos (cl-minvu); Fondo de Conservación, Recuperación y Manejo Sustentable del Bosque Nativo (Ley 20.283) (cl-conaf)"
ipcc_0071,Increase sustainable use of wood products,V.2,afolu,sector-specific,2,12,"Programa Concursable de Espacios Públicos (cl-minvu); Fondo de Conservación, Recuperación y Manejo Sustentable del Bosque Nativo (Ley 20.283) (cl-conaf)"
ipcc_0074,Promote compact urban form through spatial planning,I.2,stationary_energy,sector-specific,2,12,Comuna Energética (cl-minenergia); Casa Solar (cl-minenergia)
ipcc_0076,Implement energy audits in industrial plants,IV.1,industry,broad-only,0,9,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
ipcc_0105,Promote active mobility through road space reallocation,II.1,transportation,broad-only,0,8,Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU) (cl-subdere); Programa de Mejoramiento de Barrios (PMB) (cl-subdere); Programa Concursable de Espacios Públicos (cl-minvu)
