action_id,action_name,sector,delivery_mode,mode_meaning,adjudicated_by,adjudicated_on
icare_0006,Develop integrated renewable energy planning and solar–battery microgrids for rural and peri-urban areas,stationary_energy,city_works,"The city builds, installs or restores a physical asset it will own or manage.",amanda@openearth.org,2026-08-16
icare_0008,Enable smart grid integration and distributed energy storage through municipal collaboration and demonstration projects,stationary_energy,city_works,"The city builds, installs or restores a physical asset it will own or manage.",amanda@openearth.org,2026-08-16
icare_0009,Deploy cogeneration systems in industries,stationary_energy,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
icare_0010,Promote Net-Zero and Green Building Certifications,stationary_energy,city_rule,"A standard, ban, target, tariff or procurement rule. Needs authority, not capital.",amanda@openearth.org,2026-08-16
icare_0012,Expand solar energy generation on municipal facilities and public assets,stationary_energy,city_works,"The city builds, installs or restores a physical asset it will own or manage.",amanda@openearth.org,2026-08-16
icare_0015,Promote Mini and Micro-Hydropower and Biomass Energy,stationary_energy,city_programme,"An ongoing service, campaign, incentive or partnership the city runs. Mostly operating cost.",amanda@openearth.org,2026-08-16
icare_0016,"Promote solar thermal and heat pump systems for water heating in residential, commercial, and public buildings",stationary_energy,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
icare_0023,Upgrade and maintain electrical substations,stationary_energy,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
icare_0024,Integrate renewables into municipal water systems,stationary_energy,city_works,"The city builds, installs or restores a physical asset it will own or manage.",amanda@openearth.org,2026-08-16
icare_0025,Promote energy-efficient and climate-resilient housing for low-income and informal settlements,stationary_energy,city_works,"The city builds, installs or restores a physical asset it will own or manage.",amanda@openearth.org,2026-08-16
icare_0026,Implement time-of-use electricity tariffs to enhance demand-side flexibility and efficiency,stationary_energy,city_rule,"A standard, ban, target, tariff or procurement rule. Needs authority, not capital.",amanda@openearth.org,2026-08-16
icare_0027,Create financing programs for local renewable energy projects,stationary_energy,city_programme,"An ongoing service, campaign, incentive or partnership the city runs. Mostly operating cost.",amanda@openearth.org,2026-08-16
icare_0028,"Promote passive cooling through natural shading and ventilation in residential, commercial, and public buildings",stationary_energy,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
icare_0031,Capture & Use Biogas at Wastewater Treatment Plants',waste,city_works,"The city builds, installs or restores a physical asset it will own or manage.",amanda@openearth.org,2026-08-16
icare_0033,Install biodigesters in rural properties,afolu,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
icare_0034,Improve Fuel Supply Systems for Industrial Heating,industry,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
icare_0035,Enhance industrial energy efficiency processes,stationary_energy,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
icare_0040,Deploy energy-efficient and solar-powered street lighting across all neighborhoods,stationary_energy,city_works,"The city builds, installs or restores a physical asset it will own or manage.",amanda@openearth.org,2026-08-16
icare_0045,"Promote organic, regenerative and agroecological agriculture in rural areas",afolu,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
icare_0049,Develop regional hubs for renewable energy production,stationary_energy,city_works,"The city builds, installs or restores a physical asset it will own or manage.",amanda@openearth.org,2026-08-16
icare_0050,Accelerate the adoption of Agroforestry',afolu,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
icare_0053,Support cooperatives of voluntary waste collectors to aggregate into small enterprises and expand into organics management,waste,city_programme,"An ongoing service, campaign, incentive or partnership the city runs. Mostly operating cost.",amanda@openearth.org,2026-08-16
icare_0064,Develop an organic waste management strategy,waste,city_plan,"A plan, map or study.",amanda@openearth.org,2026-08-16
icare_0069,Complete ecological and agroclimatic mapping,afolu,city_plan,"A plan, map or study.",amanda@openearth.org,2026-08-16
icare_0071,Increase efficiency of industrial furnaces and kilns,industry,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
icare_0072,Improve Heat Recovery and Reuse through Heat Exchanger Networks or Heat Pumps,industry,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
icare_0074,Adopt industrial energy efficiency technologies,industry,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
icare_0076,Electrify Industrial Processes (with Renewable Power),industry,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
icare_0078,Decarbonize industrial feedstocks,industry,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
icare_0079,Implement carbon capture and utilization (CCU),industry,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
icare_0082,Implement carbon capture and storage (CCS),industry,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
icare_0099,Increase local participation in Agroecological Certification Programmes,afolu,city_programme,"An ongoing service, campaign, incentive or partnership the city runs. Mostly operating cost.",amanda@openearth.org,2026-08-16
icare_0101,Accelerate the adoption of Zero Emission Agricultural Machinery,afolu,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
icare_0104,Adopt hybrid renewable energy systems (solar-wind),stationary_energy,city_works,"The city builds, installs or restores a physical asset it will own or manage.",amanda@openearth.org,2026-08-16
icare_0105,Reduce technical losses in energy distribution networks,stationary_energy,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
icare_0110,"Regulate Construction and Demolition Waste Management to improve deconstruction, segregation at source, reutilization and recycling",waste,city_rule,"A standard, ban, target, tariff or procurement rule. Needs authority, not capital.",amanda@openearth.org,2026-08-16
icare_0111,Strengthen Extended Producer Responsibility (EPR) Systems,waste,city_programme,"An ongoing service, campaign, incentive or partnership the city runs. Mostly operating cost.",amanda@openearth.org,2026-08-16
icare_0117,Improve public transport systems to promote modal shift,transportation,city_works,"The city builds, installs or restores a physical asset it will own or manage.",amanda@openearth.org,2026-08-16
icare_0120,"Implement energy efficiency criteria and indicators in the procurement of goods, services, or works by the municipal public administration.",stationary_energy,city_rule,"A standard, ban, target, tariff or procurement rule. Needs authority, not capital.",amanda@openearth.org,2026-08-16
icare_0121,"Incentive to create bike-sharing programs in urban areas, with a focus on electric bikes.",transportation,city_programme,"An ongoing service, campaign, incentive or partnership the city runs. Mostly operating cost.",amanda@openearth.org,2026-08-16
icare_0122,Establish eco-parks.,afolu,city_works,"The city builds, installs or restores a physical asset it will own or manage.",amanda@openearth.org,2026-08-16
icare_0127,Improve Accelerate Environmental Regularization of Rural Properties,afolu,city_rule,"A standard, ban, target, tariff or procurement rule. Needs authority, not capital.",amanda@openearth.org,2026-08-16
icare_0128,Establish Municipal Programs for Payment for Environmental Services and other ecological financial incentives,afolu,city_programme,"An ongoing service, campaign, incentive or partnership the city runs. Mostly operating cost.",amanda@openearth.org,2026-08-16
icare_0131,Prioritize Procurement of Locally Produced Agroecological Products in Public Purchases,afolu,city_rule,"A standard, ban, target, tariff or procurement rule. Needs authority, not capital.",amanda@openearth.org,2026-08-16
icare_0132,Encourage Local Agroecological Production and Short Supply Chains,afolu,city_programme,"An ongoing service, campaign, incentive or partnership the city runs. Mostly operating cost.",amanda@openearth.org,2026-08-16
icare_0137,Replace Inefficient Lighting with LED Technology in Public Spaces,stationary_energy,city_works,"The city builds, installs or restores a physical asset it will own or manage.",amanda@openearth.org,2026-08-16
icare_0139,Implement congestion pricing and restrictions on high-polluting vehicles,transportation,city_rule,"A standard, ban, target, tariff or procurement rule. Needs authority, not capital.",amanda@openearth.org,2026-08-16
ipcc_0001,Promote compact urban form and transit-oriented development,transportation,city_plan,"A plan, map or study.",amanda@openearth.org,2026-08-16
ipcc_0023,Design products with lightweight materials,industry,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
ipcc_0024,Improve material utilization efficiency in production,industry,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
ipcc_0025,"Design for Recovery, Reuse, or Repurposing",industry,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
ipcc_0026,Adopt alternative feedstocks in industrial production,industry,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
ipcc_0028,"Behavioral Changes for Reduced Waste (e.g., Food)",industry,city_programme,"An ongoing service, campaign, incentive or partnership the city runs. Mostly operating cost.",amanda@openearth.org,2026-08-16
ipcc_0031,Enhanced product service levels per product (e.g. product sharing),industry,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
ipcc_0033,Improve product maintenance to extend lifespan,industry,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
ipcc_0034,Promote consumer behavior focused on sufficiency and reduced consumption,industry,city_programme,"An ongoing service, campaign, incentive or partnership the city runs. Mostly operating cost.",amanda@openearth.org,2026-08-16
ipcc_0037,Adopt net-zero-emissions materials and supply chains,industry,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
ipcc_0038,Stimulate solar energy production in industrial facilities,industry,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
ipcc_0039,Promote the substitution of traditional materials with sustainable alternatives,industry,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
ipcc_0040,Promote industry-government collaborations on emissions reduction,industry,city_programme,"An ongoing service, campaign, incentive or partnership the city runs. Mostly operating cost.",amanda@openearth.org,2026-08-16
ipcc_0041,Support research into carbon-neutral manufacturing technologies,industry,city_programme,"An ongoing service, campaign, incentive or partnership the city runs. Mostly operating cost.",amanda@openearth.org,2026-08-16
ipcc_0042,Set carbon emissions reduction targets for industrial sectors,industry,city_rule,"A standard, ban, target, tariff or procurement rule. Needs authority, not capital.",amanda@openearth.org,2026-08-16
ipcc_0043,Encourage the Use of Zero-Emission Fuels in Industrial Processes,industry,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
ipcc_0045,Transition to renewable energy for industrial operations,industry,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
ipcc_0049,Develop and implement circular economy policies,industry,city_rule,"A standard, ban, target, tariff or procurement rule. Needs authority, not capital.",amanda@openearth.org,2026-08-16
ipcc_0050,Create tax incentives for companies adopting clean technologies,industry,city_rule,"A standard, ban, target, tariff or procurement rule. Needs authority, not capital.",amanda@openearth.org,2026-08-16
ipcc_0052,Reduce Deforestation and Degradation,afolu,city_programme,"An ongoing service, campaign, incentive or partnership the city runs. Mostly operating cost.",amanda@openearth.org,2026-08-16
ipcc_0053,"Implement afforestation, reforestation, and forest ecosystem restoration",afolu,city_works,"The city builds, installs or restores a physical asset it will own or manage.",amanda@openearth.org,2026-08-16
ipcc_0054,Adopt sustainable forest management practices,afolu,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
ipcc_0055,"Implement fire management in forests, grasslands, and savannas",afolu,city_programme,"An ongoing service, campaign, incentive or partnership the city runs. Mostly operating cost.",amanda@openearth.org,2026-08-16
ipcc_0056,Reduce and prevent degradation and conversion of Grasslands and Savannas,afolu,city_programme,"An ongoing service, campaign, incentive or partnership the city runs. Mostly operating cost.",amanda@openearth.org,2026-08-16
ipcc_0057,Restore degraded peatlands and prevent further conversion or degradation.,afolu,city_works,"The city builds, installs or restores a physical asset it will own or manage.",amanda@openearth.org,2026-08-16
ipcc_0060,Protect and Restore Coastal Wetlands,afolu,city_works,"The city builds, installs or restores a physical asset it will own or manage.",amanda@openearth.org,2026-08-16
ipcc_0062,Create partnerships to implement biochar plants.,afolu,city_works,"The city builds, installs or restores a physical asset it will own or manage.",amanda@openearth.org,2026-08-16
ipcc_0064,Reduce methane emissions from enteric fermentation in livestock,afolu,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
ipcc_0067,Improve manure management and crop nutrient practices,afolu,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
ipcc_0068,Pilot Bioenergy with Carbon Capture in Partnership with Utilities/Industry.,afolu,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
ipcc_0069,Promote sustainable and healthy diets,afolu,city_programme,"An ongoing service, campaign, incentive or partnership the city runs. Mostly operating cost.",amanda@openearth.org,2026-08-16
ipcc_0070,Reduce food loss and waste,afolu,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
ipcc_0071,Increase sustainable use of wood products,afolu,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
ipcc_0074,Promote compact urban form through spatial planning,stationary_energy,city_plan,"A plan, map or study.",amanda@openearth.org,2026-08-16
ipcc_0076,Implement energy audits in industrial plants,industry,third_party_practice,"A firm, farmer, utility or household owns the asset or the practice; the city can enable but cannot buy it.",amanda@openearth.org,2026-08-16
ipcc_0105,Promote active mobility through road space reallocation,transportation,city_works,"The city builds, installs or restores a physical asset it will own or manage.",amanda@openearth.org,2026-08-16
