action_id,action_name,primary_outcome,primary_intervention,primary_channel,sr15_options,match_strength,mapping_rule,mapping_note
icare_0069,Complete ecological and agroclimatic mapping,emissions_demand_reduction,planning,urban_form_tod,Land-use & urban planning,direct,rule_demand_tod,
icare_0071,Increase efficiency of industrial furnaces and kilns,emissions_efficiency,,industrial_process,Energy efficiency,direct,rule_eff_industrial,
icare_0072,Improve Heat Recovery and Reuse through Heat Exchanger Networks or Heat Pumps,emissions_efficiency,,industrial_process,Energy efficiency,direct,rule_eff_industrial,
icare_0074,Adopt industrial energy efficiency technologies,emissions_efficiency,,industrial_process,Energy efficiency,direct,rule_eff_industrial,
icare_0076,Electrify Industrial Processes (with Renewable Power),emissions_fuel_switch,,industrial_process,Electrification & hydrogen,direct,rule_fuel_industrial,Industrial fuel-switching maps to Electrification & hydrogen
icare_0078,Decarbonize industrial feedstocks,emissions_fuel_switch,,industrial_process,Electrification & hydrogen,direct,rule_fuel_industrial,Industrial fuel-switching maps to Electrification & hydrogen
icare_0079,Implement carbon capture and utilization (CCU),emissions_fuel_switch,infrastructure,industrial_process,Industrial CCS,direct,rule_industrial_ccs,"Reclassified to Industrial CCS (was Electrification & hydrogen / direct). CCU is carbon management, not fuel-switching. [v3 reclassified 2026-05-21]"
icare_0082,Implement carbon capture and storage (CCS),carbon_sequestration,infrastructure,biogas,Industrial CCS,direct,rule_industrial_ccs,"Reclassified to Industrial CCS (was Bioenergy / weak). The prior mapping_note already flagged ""Scale mismatch — CCS action mapped to Bioenergy""; corrected here. [v3 reclassified 2026-05-21]"
icare_0099,Increase local participation in Agroecological Certification Programmes,emissions_demand_reduction,,agricultural_soil,Sustainable intensification,partial,rule_demand_agric,
icare_0101,Accelerate the adoption of Zero Emission Agricultural Machinery,emissions_fuel_switch,,financial_incentive_scheme,(cross-cutting) financial incentive,cross_cutting,rule_fuel_finance,Financial-instrument channel — no specific SR1.5 option
icare_0104,Adopt hybrid renewable energy systems (solar-wind),emissions_fuel_switch,,renewable_general,Solar PV,partial,rule_fuel_solar,Hybrid solar-wind — primary → Solar PV (typically the larger generation share). v2 narrowed from Wind|Solar PV|Bioenergy; Wind component not separately scored.
icare_0105,Reduce technical losses in energy distribution networks,emissions_efficiency,,renewable_general,Smart grids,direct,rule_smart_grid_keyword,Renewable efficiency — averages Wind and Solar SR1.5 priors | Description mentions transmission & distribution loss reduction; grid-efficiency falls under SR1.5 Smart grids option (4.SM.12). (previously: Wind (on-shore & off-shore)|Solar PV)
icare_0110,"Regulate Construction and Demolition Waste Management to improve deconstruction, segregation at source, reutilization and recycling",emissions_waste_diversion,regulatory,construction_demolition_waste,Bio-based & circularity,weak,rule_waste_cdw,C&D waste — closest SR1.5 home is industrial Bio-based & circularity
icare_0111,Strengthen Extended Producer Responsibility (EPR) Systems,emissions_waste_diversion,regulatory,waste_regulation,Bio-based & circularity,partial,rule_waste_circularity,Reclassified to Bio-based & circularity (was Reduced food wastage / weak). EPR is a regulatory mechanism driving circularity; partial because it covers waste streams beyond bio-based materials. [v3 reclassified 2026-05-21]
icare_0117,Improve public transport systems to promote modal shift,emissions_modal_shift,,transit_general,Public transport,direct,rule_modal_transit,
icare_0120,"Implement energy efficiency criteria and indicators in the procurement of goods, services, or works by the municipal public administration.",emissions_efficiency,regulatory,building_institutional_public,Low/zero-energy buildings,direct,rule_eff_building,
icare_0121,"Incentive to create bike-sharing programs in urban areas, with a focus on electric bikes.",emissions_modal_shift,financial,bike_sharing,Non-motorised transport,direct,rule_modal_active,
icare_0122,Establish eco-parks.,emissions_waste_diversion,infrastructure,mbt_eco_park,Reduced food wastage,direct,rule_waste_food,
icare_0127,Improve Accelerate Environmental Regularization of Rural Properties,enabling,,regulation_standard,(cross-cutting) enabling conditions,cross_cutting,rule_enabling,enabling outcome — no SR1.5 option; use AR6 WGIII Ch.17 enabling conditions instead
icare_0128,Establish Municipal Programs for Payment for Environmental Services and other ecological financial incentives,enabling,financial,financial_incentive_scheme,(cross-cutting) enabling conditions,cross_cutting,rule_enabling,enabling outcome — no SR1.5 option; use AR6 WGIII Ch.17 enabling conditions instead
icare_0131,Prioritize Procurement of Locally Produced Agroecological Products in Public Purchases,emissions_demand_reduction,regulatory,regulation_standard,(cross-cutting) policy instrument,cross_cutting,rule_demand_policy,Demand-reduction policy instrument (channel=regulation_standard) — no specific SR1.5 option
icare_0132,Encourage Local Agroecological Production and Short Supply Chains,emissions_fuel_switch,program,agricultural_soil,Sustainable intensification,partial,rule_fuel_agric,
icare_0137,Replace Inefficient Lighting with LED Technology in Public Spaces,emissions_efficiency,infrastructure,street_lighting,Efficient appliances,direct,rule_eff_appliance,street_lighting treated as Efficient appliances category
icare_0139,Implement congestion pricing and restrictions on high-polluting vehicles,emissions_modal_shift,regulatory,congestion_pricing,Land-use & urban planning,partial,rule_modal_pricing,Congestion pricing is a demand-management lever; Land-use & urban planning is the closest SR1.5 home
ipcc_0001,Promote compact urban form and transit-oriented development,emissions_demand_reduction,planning,urban_form_tod,Land-use & urban planning,direct,rule_demand_tod,
ipcc_0023,Design products with lightweight materials,emissions_efficiency,program,not_applicable,(cross-cutting) efficiency,cross_cutting,rule_eff_na,Efficiency outcome with no channel signal
ipcc_0024,Improve material utilization efficiency in production,emissions_efficiency,,industrial_process,Energy efficiency,direct,rule_eff_industrial,
ipcc_0025,"Design for Recovery, Reuse, or Repurposing",emissions_waste_diversion,program,mbt_eco_park,Bio-based & circularity,direct,rule_waste_circularity,Reclassified to Bio-based & circularity (was Reduced food wastage / weak). Design for recovery / reuse / repurposing is canonical circularity. [v3 reclassified 2026-05-21]
ipcc_0026,Adopt alternative feedstocks in industrial production,emissions_efficiency,,industrial_process,Energy efficiency,direct,rule_eff_industrial,
ipcc_0028,"Behavioral Changes for Reduced Waste (e.g., Food)",emissions_demand_reduction,,waste_regulation,Reduced food wastage,weak,rule_demand_waste,
ipcc_0031,Enhanced product service levels per product (e.g. product sharing),emissions_demand_reduction,,financial_incentive_scheme,(cross-cutting) policy instrument,cross_cutting,rule_demand_policy,Demand-reduction policy instrument (channel=financial_incentive_scheme) — no specific SR1.5 option
ipcc_0033,Improve product maintenance to extend lifespan,emissions_efficiency,,building_institutional_public,Low/zero-energy buildings,direct,rule_eff_building,
ipcc_0034,Promote consumer behavior focused on sufficiency and reduced consumption,emissions_demand_reduction,program,financial_incentive_scheme,(cross-cutting) policy instrument,cross_cutting,rule_demand_policy,Demand-reduction policy instrument (channel=financial_incentive_scheme) — no specific SR1.5 option
ipcc_0037,Adopt net-zero-emissions materials and supply chains,emissions_fuel_switch,,building_institutional_public,Low/zero-energy buildings,partial,rule_fuel_building,Building fuel-switch — Low/zero-energy buildings is closest SR1.5 home
ipcc_0038,Stimulate solar energy production in industrial facilities,emissions_fuel_switch,infrastructure,solar_pv,Solar PV,direct,rule_fuel_solar,
ipcc_0039,Promote the substitution of traditional materials with sustainable alternatives,emissions_fuel_switch,program,not_applicable,(cross-cutting) unclassified,cross_cutting,rule_fuel_na,Fuel-switch with no channel signal
ipcc_0040,Promote industry-government collaborations on emissions reduction,enabling,planning,financial_incentive_scheme,(cross-cutting) enabling conditions,cross_cutting,rule_enabling,enabling outcome — no SR1.5 option; use AR6 WGIII Ch.17 enabling conditions instead
ipcc_0041,Support research into carbon-neutral manufacturing technologies,emissions_efficiency,program,industrial_process,Energy efficiency,direct,rule_eff_industrial,
ipcc_0042,Set carbon emissions reduction targets for industrial sectors,enabling,regulatory,regulation_standard,(cross-cutting) enabling conditions,cross_cutting,rule_enabling,enabling outcome — no SR1.5 option; use AR6 WGIII Ch.17 enabling conditions instead
ipcc_0043,Encourage the Use of Zero-Emission Fuels in Industrial Processes,emissions_fuel_switch,program,industrial_process,Electrification & hydrogen,direct,rule_fuel_industrial,Industrial fuel-switching maps to Electrification & hydrogen
ipcc_0045,Transition to renewable energy for industrial operations,emissions_fuel_switch,,renewable_general,Solar PV,weak,rule_fuel_solar,Industrial renewable transitions in Chile are predominantly PV-based; primary → Solar PV (weak: action is generic). v2 narrowed from Wind|Solar PV|Bioenergy.
ipcc_0049,Develop and implement circular economy policies,emissions_waste_diversion,regulatory,waste_regulation,Bio-based & circularity,direct,rule_waste_circularity,Reclassified to Bio-based & circularity (was Reduced food wastage / weak). Circular economy policies are the explicit SR1.5 channel for this option. [v3 reclassified 2026-05-21]
ipcc_0050,Create tax incentives for companies adopting clean technologies,emissions_fuel_switch,financial,financial_incentive_scheme,(cross-cutting) financial incentive,cross_cutting,rule_fuel_finance,Financial-instrument channel — no specific SR1.5 option
ipcc_0052,Reduce Deforestation and Degradation,carbon_sequestration,,forest,Afforestation & reforestation,direct,rule_carbon_forest,
ipcc_0053,"Implement afforestation, reforestation, and forest ecosystem restoration",carbon_sequestration,infrastructure,forest,Afforestation & reforestation,direct,rule_carbon_forest,
ipcc_0054,Adopt sustainable forest management practices,carbon_sequestration,,forest,Afforestation & reforestation,direct,rule_carbon_forest,
ipcc_0055,"Implement fire management in forests, grasslands, and savannas",carbon_sequestration,infrastructure,fire_mgmt,Afforestation & reforestation,weak,rule_carbon_forest,Urban / coastal / wetland NBS not directly in SR1.5; using Afforestation as closest proxy
ipcc_0056,Reduce and prevent degradation and conversion of Grasslands and Savannas,carbon_sequestration,,agricultural_soil,Soil carbon sequestration & biochar,direct,rule_carbon_soil,
ipcc_0057,Restore degraded peatlands and prevent further conversion or degradation.,carbon_sequestration,,peatland,Afforestation & reforestation,weak,rule_carbon_forest,Urban / coastal / wetland NBS not directly in SR1.5; using Afforestation as closest proxy
ipcc_0060,Protect and Restore Coastal Wetlands,carbon_sequestration,,wetland_coastal,Afforestation & reforestation,weak,rule_carbon_forest,Urban / coastal / wetland NBS not directly in SR1.5; using Afforestation as closest proxy
ipcc_0062,Create partnerships to implement biochar plants.,carbon_sequestration,program,biochar,Soil carbon sequestration & biochar,direct,rule_carbon_soil,
ipcc_0064,Reduce methane emissions from enteric fermentation in livestock,emissions_efficiency,,livestock,Sustainable intensification,partial,rule_eff_livestock,
ipcc_0067,Improve manure management and crop nutrient practices,emissions_waste_diversion,,livestock,Sustainable intensification,partial,rule_waste_livestock,Livestock waste — Sustainable intensification handles agricultural emissions
ipcc_0068,Pilot Bioenergy with Carbon Capture in Partnership with Utilities/Industry.,emissions_fuel_switch,program,biogas,Bioenergy,weak,rule_fuel_biogas,Scale mismatch — pilot BECCS partnership; SR1.5 Bioenergy option assesses utility-scale and may overstate barriers.
ipcc_0069,Promote sustainable and healthy diets,emissions_demand_reduction,program,not_applicable,(cross-cutting) policy instrument,cross_cutting,rule_demand_policy,Demand-reduction policy instrument (channel=not_applicable) — no specific SR1.5 option
ipcc_0070,Reduce food loss and waste,emissions_waste_diversion,,waste_regulation,Reduced food wastage,direct,rule_waste_food,
ipcc_0071,Increase sustainable use of wood products,emissions_fuel_switch,,building_institutional_public,Low/zero-energy buildings,partial,rule_fuel_building,Building fuel-switch — Low/zero-energy buildings is closest SR1.5 home
ipcc_0074,Promote compact urban form through spatial planning,emissions_demand_reduction,planning,urban_form_tod,Land-use & urban planning,direct,rule_demand_tod,
ipcc_0076,Implement energy audits in industrial plants,emissions_efficiency,program,industrial_process,Energy efficiency,direct,rule_eff_industrial,
ipcc_0105,Promote active mobility through road space reallocation,emissions_modal_shift,infrastructure,bike_infrastructure,Non-motorised transport,direct,rule_modal_active,
