source_id,legacy_source_ids,sectors,title,publisher,publication_year,scope,url,tier,access_status,review_status,reviewed_by,reviewed_at,review_note
doc_28f7d5c65b7e,WR_SRC_004,water_resources,Programa Produtor de Água: Resultados e Perspectivas,Agência Nacional de Águas e Saneamento Básico (ANA),2026,brazil,https://www.gov.br/ana/pt-br/acesso-a-informacao/acoes-e-programas/programa-produtor-de-agua/manuais-e-capacitacao/Programa_produtor_agua_digitalparaLANCAMENTO.pdf,C,retrieved,accepted,amandaeames,2026-08-28,Official ANA PDF confirmed.; reused existing validated PDF; 26197455 bytes; Accepted for the Water Resources pilot source set.
doc_292c165fbc8e,H_SRC_009,health,Guidance for Climate Resilient and Environmentally Sustainable Health Care Facilities,World Health Organization (WHO),2020,international,https://iris.who.int/server/api/core/bitstreams/f914ca26-bee6-4c17-bf53-36e613f2abbb/content?download=1,B,retrieved,proposed,,,Official WHO PDF.; updated to the current WHO repository bitstream linked from the official publication page; reused existing validated PDF; 1590413 bytes
doc_2bc0b534254b,B_SRC_001,biodiversity,"Documento teórico-metodológico do Setor Estratégico Biodiversidade — AdaptaBrasil MCTI, versão 1.0",Instituto Nacional de Pesquisas Espaciais (INPE) / AdaptaBrasil MCTI,2024,brazil,https://www.dropbox.com/scl/fi/3sqdjrwh1wezi1u60tchk/Teorico_metodologico_Biodiversidade_Integridade_13_12_2024.pdf?rlkey=xzm9bgxavcdfhyw3ebi4fi3fq&dl=1,A,retrieved,proposed,,,Official AdaptaBrasil methodology-page link; workbook metadata was generic.; reused existing validated PDF; 1882129 bytes
doc_3251148a9115,WR_SRC_010,water_resources,Water Security and Climate Change: Insights from Country Climate and Development Reports,World Bank,2024,international,https://documents1.worldbank.org/curated/en/099124511122431814/pdf/IDU1fa8a4c3a1fd8c14810194851fb785b73d02d.pdf,B,retrieved,accepted,amandaeames,2026-08-28,"The World Bank PDF is dated 2024, not 2026.; reused existing validated PDF; 1046120 bytes; Accepted for the Water Resources pilot source set."
doc_32ea13a8c088,WR_SRC_006,water_resources,"Under Pressure: Effects, Impacts, and Adaptation to Climate Change in Latin American and Caribbean Water Operators",Inter-American Development Bank (IDB),2023,international,https://publications.iadb.org/publications/english/document/Under-Pressure-Effects-Impacts-and-Adaptation-to-Climate-change-in-Latin-American-and-Caribbean-Water-Operators.pdf,B,unreachable,needs_review,,,"Official IDB PDF; expired access token removed.; the official IDB publication page and PDF identity are confirmed, but Cloudflare verification blocked both automated and in-app browser download on 2026-08-28; identity_status=confirmed; human_review_status=download"
doc_3343e851fc9e,H_SRC_007,health,Climate change and health: vulnerability and adaptation assessment,World Health Organization (WHO) / Pan American Health Organization / Health Canada,2021,international,https://iris.who.int/server/api/core/bitstreams/6edda8d7-451e-4edc-b096-c84d76e1355b/content?download=1,B,retrieved,proposed,,,The workbook WHO handle points to a post-COVID case definition; this is the official 2021 update of the named climate-health assessment guidance.; updated to the current WHO repository bitstream linked from the official publication page; reused existing validated PDF; 2901608 bytes
doc_3c113c139411,GS_SRC_007,geohydrological_disasters,Making Cities Resilient Report 2019: A Snapshot of How Local Governments Progress in Reducing Disaster Risks in Alignment with the Sendai Framework for Disaster Risk Reduction,United Nations Office for Disaster Risk Reduction (UNDRR),2019,international,https://www.unisdr.org/campaign/resilientcities/assets/toolkit/documents/UNDRR_Making%20Cities%20Resilient%20Report%202019_April2019.pdf,B,retrieved,needs_review,,,The URL returned a PDF response; title and publisher still require document review.; reused existing validated PDF; 1810025 bytes; identity_status=not_checked; human_review_status=download
doc_3c6ffb21af25,ES_SRC_010,energy_security,Enhancing Resilience: Climate-proofing Power Infrastructure,International Renewable Energy Agency (IRENA),2025,international,https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2025/Dec/IRENA_TEC_Enhancing_resilience_power_infrastructure_2025.pdf,C,retrieved,needs_review,,,The URL returned a PDF response; title and publisher still require document review.; reused existing validated PDF; 3142380 bytes; identity_status=not_checked; human_review_status=download
doc_3d95a14fab99,FS_SRC_011,food_security,"Ciência para o clima e soluções da agricultura brasileira: estratégias, tecnologias e indicadores de adaptação à mudança climática e de controle de emissões de gases de efeito-estufa na agricultura tropical.",Empresa Brasileira de Pesquisa Agropecuária (Embrapa),2025,brazil,https://www.alice.cnptia.embrapa.br/alice/bitstream/doc/1181212/1/Ciencia-para-o-clima.pdf,C,retrieved,proposed,,,Official Embrapa repository record and PDF; missing institution added.; reused existing validated PDF; 19826638 bytes
doc_4565fd9993d1,FS_SRC_003,food_security,Estratégia de Adaptação à Mudança do Clima para a Agropecuária Brasileira,Ministério da Agricultura e Pecuária (MAPA),2023,brazil,https://repositorio-dspace.agricultura.gov.br/bitstream/1/2120/4/PORTUGU%C3%8AS_NAP-Brazil-adaptation-report-pt-July03.pdf,A,retrieved,needs_review,,,The URL returned a PDF response; title and publisher still require document review.; reused existing validated PDF; 984113 bytes; identity_status=not_checked; human_review_status=download
doc_4eb538d1bec2,B_SRC_003,biodiversity,Estratégia e Plano de Ação Nacionais para a Biodiversidade (EPANB 2025–2030),Ministério do Meio Ambiente e Mudança do Clima (MMA),2025,brazil,https://www.gov.br/mma/pt-br/centrais-de-conteudo/publicacoes/biodiversidade-e-biomas/epanb-2025-2030.pdf,A,unreachable,needs_review,,,Official MMA PDF confirmed.; the official MMA URL currently returns the ministry's election-period holding page; retry after 2026-10-25; identity_status=confirmed; human_review_status=download
doc_524bde5907cd,H_SRC_006,health,Saúde Brasil 2023: análise da situação de saúde com enfoque nas crianças brasileiras,Ministério da Saúde,2024,brazil,https://bvsms.saude.gov.br/bvs/publicacoes/saudebrasil_2023_analise_situacao_criancas.pdf,C,not_checked,needs_review,,,"The workbook title described climate-related diseases, but the official publication is a 2024 health-situation report focused on children. Confirm it is relevant enough to keep.; identity_status=link_mismatch_corrected; human_review_status=review_first"
doc_5d19293f393b,FS_SRC_012,food_security,Rising to the Challenge: Success Stories and Strategies for Achieving Climate Adaptation and Resilience,World Bank,2024,international,https://openknowledge.worldbank.org/server/api/core/bitstreams/13cc31f6-cb61-4b5f-91d9-12a14d9cb425/content,B,retrieved,proposed,,,"The official World Bank record dates this report to 2024, not 2025.; reused existing validated PDF; 6899119 bytes"
doc_6015b1f59713,FS_SRC_008,food_security,Climate-smart Agriculture for Food Security,FAO,2014,international,https://openknowledge.fao.org/server/api/core/bitstreams/83ce8fff-f030-436e-aee3-b8d85ca4e492/content,C,retrieved,needs_review,,,The URL returned a PDF response; title and publisher still require document review.; reused existing validated PDF; 589459 bytes; identity_status=not_checked; human_review_status=download
doc_61786b74f961,B_SRC_008,biodiversity,Ecosystem-based Adaptation Stakeholder Dialogue Report,United Nations Environment Programme (UNEP),2023,international,https://wedocs.unep.org/handle/20.500.11822/42198,B,retrieved,proposed,,,Official UNEP repository record and bitstream.; downloaded from the CAKE mirror after matching it to the official UNEP publication record; HTTP 200; application/pdf; 31824418 bytes
doc_6b6d80c39bc0,FS_SRC_004,food_security,Adaptation Strategy: Food and Nutritional Security,Ministério do Meio Ambiente,2016,brazil,https://antigo.mma.gov.br/images/arquivo/80182/Adaptation%20Strategy%20-%20Food%20and%20Nutritional%20Security.pdf,A,not_checked,needs_review,,,The URL is PDF-shaped but the legacy MMA host blocked automated validation.; identity_status=not_checked; human_review_status=review_first
doc_710d5a66092f,B_SRC_007,biodiversity,Harnessing Nature to Build Climate Resilience: Scaling Up the Use of Ecosystem-based Adaptation,United Nations Environment Programme (UNEP),2022,international,https://globalebafund.org/wp-content/uploads/2022/07/Harnessing-nature-for-climate-resilience-Full-Report-V7-Web.pdf,B,retrieved,proposed,,,The UNDP record links this report PDF.; reused existing validated PDF; 41693992 bytes
doc_791cb37bf9f2,GS_SRC_009,geohydrological_disasters,Early Warnings for All: Executive Action Plan 2023–2027,World Meteorological Organization (WMO),2022,international,https://www.undrr.org/sites/default/files/inline-files/EWS_Executive_Action_Plan_en_compressed%20%281%29.pdf?startDownload=true,B,retrieved,proposed,,,UN record confirmed; the PDF download is hosted by UNDRR PreventionWeb.; updated to the official UNDRR-hosted PDF; reused existing validated PDF; 6224529 bytes
doc_7b30e0631225,ES_SRC_007,energy_security,Climate Resilience: Part of Electricity Security 2021,International Energy Agency (IEA),2021,international,https://iea.blob.core.windows.net/assets/62c056f7-deed-4e3a-9a1f-a3ca8cc83813/Climate_Resilience.pdf,B,retrieved,needs_review,,,The URL returned a PDF response; title and publisher still require document review.; reused existing validated PDF; 8721203 bytes; identity_status=not_checked; human_review_status=download
doc_7b9a1947fda4,ES_SRC_009,energy_security,Stronger Power: Improving Power Sector Resilience to Natural Hazards,World Bank,2019,international,https://documents1.worldbank.org/curated/en/200771560790885170/pdf/Stronger-Power-Improving-Power-Sector-Resilience-to-Natural-Hazards.pdf,B,retrieved,needs_review,,,The URL returned a PDF response; title and publisher still require document review.; reused existing validated PDF; 3074493 bytes; identity_status=not_checked; human_review_status=download
doc_7e5af88ef32b,B_SRC_006,biodiversity,"Climate Change and Biodiversity in Brazil: What We Know, What We Don’t, and Paris Agreement’s Risk Reduction Potential",Universidade Federal do Rio de Janeiro (UFRJ) / International Institute for Sustainability (IIS),2025,brazil,https://www.iis-rio.org/wp-content/uploads/2025/04/Malecha-et-al.-2025-PECON_estudo.pdf,C,retrieved,needs_review,,,The URL returned a PDF response; title and publisher still require document review.; reused existing validated PDF; 397486 bytes; identity_status=not_checked; human_review_status=download
doc_804c31a20a14,FS_SRC_010,food_security,"Climate change, agriculture and food security: a strategy for change",Alliance of the CGIAR Centers,2009,international,https://documents.worldbank.org/curated/en/330581468162838292/pdf/521170WP0CCAFS10Box345553B01PUBLIC1.pdf,C,retrieved,proposed,,,The PDF is a 2009 CGIAR publication; the workbook's Embrapa attribution and 2025 year were incorrect.; reused existing validated PDF; 2774955 bytes
doc_82c97f2a446b,FS_SRC_002,food_security,"Climate Change 2022: Impacts, Adaptation and Vulnerability (AR6 WGII), Chapter 5: Food, Fibre and Other Ecosystem Products",IPCC,2022,international,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter05.pdf,A,retrieved,proposed,,,Official IPCC chapter PDF.; reused existing validated PDF; 18123589 bytes
doc_84cc0e995e97,ES_SRC_005,energy_security,Brazil 2025 Energy Policy Review,International Energy Agency (IEA) / Government of Brazil,2025,brazil,https://iea.blob.core.windows.net/assets/6ea1af14-d51f-47f5-8fe7-76bfd55b0ea0/Brazil2025-EnergyPolicyReview.pdf,B,retrieved,needs_review,,,The URL returned a PDF response; title and publisher still require document review.; reused existing validated PDF; 1538677 bytes; identity_status=not_checked; human_review_status=download
doc_8af4d06b1e3b,ES_SRC_008,energy_security,Climate Resilience for Energy Security,International Energy Agency (IEA),2022,international,https://iea.blob.core.windows.net/assets/10229b31-fd82-4371-b92c-a554f95369ea/ClimateResilienceforEnergySecurity.pdf,B,retrieved,needs_review,,,The URL returned a PDF response; title and publisher still require document review.; reused existing validated PDF; 14980827 bytes; identity_status=not_checked; human_review_status=download
doc_8b657ed27a77,H_SRC_004,health,Plano de Ação Nacional de Saúde Ambiental,Ministério da Saúde,2021,brazil,https://bvsms.saude.gov.br/bvs/publicacoes/plano_acao_nacional_saude_ambiental.pdf,A,not_checked,needs_review,,,The PDF-shaped Ministry of Health URL could not be independently validated or matched in the publication index.; identity_status=not_checked; human_review_status=review_first
doc_9500361b32b6,B_SRC_002 | ES_SRC_002 | GS_SRC_002 | H_SRC_002,biodiversity | energy_security | geohydrological_disasters | health,"Climate Change 2022: Impacts, Adaptation and Vulnerability",IPCC,2022,international,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_FullReport.pdf,A,retrieved,proposed,,,Official IPCC full-report PDF.; reused existing validated PDF; 395969368 bytes
doc_9663a3588e42,B_SRC_009,biodiversity,Ecosystem-based Adaptation: Working with Nature to Adapt to a Changing Climate,UNEP-WCMC,2025,international,https://www.unep-wcmc.org/en/news/ecosystem-based-adaptation-for-climate-resilience,B,not_checked,needs_review,,,The named source resolves to a UNEP-WCMC web article; no discrete PDF publication was identified.; identity_status=webpage_only; human_review_status=replace_or_exclude
doc_96801b530d8a,H_SRC_003,health,Plano Nacional de Adaptação à Mudança do Clima — Volume II: Estratégias Setoriais e Temáticas,Ministério do Meio Ambiente,2016,brazil,https://www.gov.br/mma/pt-br/assuntos/biodiversidade-e-biomas/biomas-e-ecossistemas/biomas/arquivos-biomas/plano-nacional-de-adaptacao-a-mudanca-do-clima-pna-vol-ii.pdf,A,not_checked,needs_review,,,No separate health-only PDF was found; the official Volume II contains the health strategy and should be reviewed as the intended source.; identity_status=metadata_correction_needed; human_review_status=review_first
doc_97ca0f0e6498,B_SRC_004,biodiversity,Plano Clima Adaptação: Estratégia Nacional de Adaptação,Ministério do Meio Ambiente e Mudança do Clima / MCTI / Casa Civil,2025,brazil,https://www.gov.br/mma/pt-br/centrais-de-conteudo/publicacoes/mudanca-do-clima/estrategia-nacional-de-adaptacao.pdf,A,unreachable,needs_review,,,Official MMA PDF confirmed.; the official MMA URL currently returns the ministry's election-period holding page; retry after 2026-10-25; identity_status=confirmed; human_review_status=download
doc_9bf154cc55d7,FS_SRC_007,food_security,Food and Nutrition Security in Brazil,InterAmerican Network of Academies of Sciences (IANAS),2017,brazil,https://ianas.org/wp-content/uploads/2025/04/fchap03.pdf,C,retrieved,proposed,,,"The IANAS chapter was published in 2017; the 2025 path reflects a later website upload, not the publication year.; reused existing validated PDF; 318612 bytes"
doc_9f3b65f3543f,GS_SRC_003,geohydrological_disasters,GIRD+10: Caderno técnico de gestão integrada de riscos e desastres,Ministério do Desenvolvimento Regional / Secretaria Nacional de Proteção e Defesa Civil,2021,brazil,https://www.institutosiades.org.br/wp-content/uploads/Caderno_GIRD10.pdf,C,retrieved,proposed,,,Official government PDF; title normalized to the publication title.; updated to the PDF referenced by the official Cemaden publication record; reused existing validated PDF; 38644751 bytes
doc_9f8f983d9ece,GS_SRC_001,geohydrological_disasters,"Documento teórico-metodológico do Setor Estratégico Desastres Geohidrológicos — AdaptaBrasil MCTI, versão 1.0.1",Instituto Nacional de Pesquisas Espaciais (INPE) / AdaptaBrasil MCTI,2023,brazil,https://www.dropbox.com/scl/fi/dqho8bli8ehcpe82fvvm6/Te-rico-metodol-gico_AdaptaBrasil_1-0-1-Desastres-Geohidrol-gicos.pdf?rlkey=zjqwjjkaj5lbh6wnpku9gc6y4&dl=1,A,retrieved,proposed,,,Official AdaptaBrasil methodology-page link; workbook metadata was generic.; reused existing validated PDF; 1929385 bytes
doc_aa5854ddd830,WR_SRC_001,water_resources,Teórico-metodológico para avaliação do risco de impacto das mudanças climáticas em Setores Estratégicos — Recursos Hídricos,Instituto Nacional de Pesquisas Espaciais (INPE),2025,brazil,https://www.dropbox.com/scl/fi/iln5nsaomw5iaxnrarjam/Te-rico-metodol-gico_Recursos_Hidricos_2.0_19_08_2025.pdf?rlkey=c92kudj42qafe1xxyojskd1ui&dl=1,A,retrieved,accepted,amandaeames,2026-08-28,"The official AdaptaBrasil methodology page supplies this Dropbox PDF; title, institution and year were corrected from the workbook.; reused existing validated PDF; 2412077 bytes; Accepted for the Water Resources pilot source set."
doc_b31260be60f9,WR_SRC_003,water_resources,Plano Nacional de Segurança Hídrica,Agência Nacional de Águas (ANA) / Ministério do Desenvolvimento Regional,2019,brazil,https://arquivos.ana.gov.br/pnsh/pnsh.pdf,A,retrieved,accepted,amandaeames,2026-08-28,The workbook linked a different ANA manual; this is the official 2019 PNSH PDF.; reused existing validated PDF; 21478498 bytes; Accepted for the Water Resources pilot source set.
doc_b78e72c39150,ES_SRC_003,energy_security,"Plano Nacional de Adaptação à Mudança do Clima: Volume II, Estratégias Setoriais e Temáticas",Ministério do Meio Ambiente,2016,brazil,https://www.comitebaixotiete.org/wp-content/uploads/2024/07/Plano-Nacional-de-adaptacao-a-mudanca-do-clima.pdf,A,retrieved,needs_review,,,The URL returned a PDF response; title and publisher still require document review.; reused existing validated PDF; 22790977 bytes; identity_status=not_checked; human_review_status=download
doc_be1fa183ff57,WR_SRC_009,water_resources,Flowing Forward: Freshwater Ecosystem Adaptation to Climate Change in Water Resources Management and Biodiversity Conservation,World Bank / World Wildlife Fund (WWF),2010,international,https://awsassets.panda.org/downloads/flowing_forward_freshwater_ecosystem_adaptation_to_climate_change.pdf,B,retrieved,accepted,amandaeames,2026-08-28,Direct PDF identity confirmed.; reused existing validated PDF; 2076496 bytes; Accepted for the Water Resources pilot source set.
doc_c8b9a8e52edb,FS_SRC_006,food_security,"Pathways to sustainability in Brazilian agriculture: technological drivers, governance, and policy linkages",Current Opinion in Environmental Sustainability (Elsevier),2025,brazil,https://www.alice.cnptia.embrapa.br/alice/bitstream/doc/1179658/1/Pathways-of-sustainability.pdf,C,retrieved,needs_review,,,The URL returned a PDF response; title and publisher still require document review.; reused existing validated PDF; 369665 bytes; identity_status=not_checked; human_review_status=download
doc_ca7d9cb0b4e9,GS_SRC_008,geohydrological_disasters,Making Cities Resilient 2030 (MCR2030): Initial Proposal,United Nations Office for Disaster Risk Reduction (UNDRR),2021,international,https://mcr2030.undrr.org/sites/default/files/2021-04/MCR2030%20in%20English%20ver.2%20%2820210302%29.pdf?startDownload=true,B,retrieved,needs_review,,,The URL returned a PDF response; title and publisher still require document review.; reused existing validated PDF; 1009293 bytes; identity_status=not_checked; human_review_status=download
doc_cb66006682b7,WR_SRC_002,water_resources,"Climate Change 2022: Impacts, Adaptation and Vulnerability — Chapter 4: Water",Intergovernmental Panel on Climate Change (IPCC),2022,international,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter04.pdf,A,retrieved,accepted,amandaeames,2026-08-28,Official chapter page and PDF confirmed.; reused existing validated PDF; 34848294 bytes; Accepted for the Water Resources pilot source set.
doc_ce8ce8e95a13,WR_SRC_008,water_resources,Water and Climate Change Adaptation in Transboundary Basins: Lessons Learned and Good Practices,UNECE / International Network of Basin Organizations,2015,international,https://unece.org/info/publications/pub/21743,B,retrieved,accepted,amandaeames,2026-08-28,Official UNECE low-resolution PDF confirmed.; downloaded from the Global Water Partnership mirror after matching it to the official UNECE publication record; HTTP 200; application/pdf; 15335110 bytes; Accepted for the Water Resources pilot source set.
doc_cfce09cd4c7a,H_SRC_001,health,"Documento teórico-metodológico do Setor Estratégico Saúde — Malária, LV, LTA e Arboviroses",Instituto Nacional de Pesquisas Espaciais (INPE) / AdaptaBrasil MCTI,2024,brazil,https://www.dropbox.com/scl/fi/rnyse7u9khoo004gdmgfj/Teorico-metodologico_Malaria_LV_LTA_Arboviroses_25_10_2024.pdf?rlkey=csmgsezm6y0mpornvvo6m37fy&dl=1,A,retrieved,proposed,,,Official AdaptaBrasil methodology-page link; workbook metadata was generic.; reused existing validated PDF; 1009856 bytes
doc_dd9ab3b0abf5,FS_SRC_001,food_security,Documento teórico-metodológico do Setor Estratégico Segurança Alimentar — AdaptaBrasil MCTI,Instituto Nacional de Pesquisas Espaciais (INPE) / AdaptaBrasil MCTI,2025,brazil,https://www.dropbox.com/scl/fi/4v9zqz936z1v51vyht2gb/Teorico-metodologico_Seguran-a_Alimentar-15_08_25.pdf?rlkey=63mk4364r2juxlsc0d15pemdm&dl=1,A,retrieved,proposed,,,Official AdaptaBrasil methodology-page link; workbook metadata was generic.; reused existing validated PDF; 4661932 bytes
doc_e817140beca4,H_SRC_005,health,Vigilância em Saúde de Populações Expostas a Eventos Climáticos Extremos,Ministério da Saúde,2024,brazil,https://www.gov.br/saude/pt-br/composicao/svsa/vigilancia-em-saude-ambiental,C,not_checked,needs_review,,,The workbook points to a programme webpage; no publication with the supplied title was identified.; identity_status=webpage_only; human_review_status=replace_or_exclude
doc_f24e2ebfd682,GS_SRC_004,geohydrological_disasters,Manual para Apresentação de Propostas para Sistemas de Drenagem Urbana Sustentável e de Manejo de Águas Pluviais,Ministério do Desenvolvimento Regional / Secretaria Nacional de Saneamento,2020,brazil,https://www.gov.br/mdr/pt-br/assuntos/emendasparlamentares/acao_10SG_drenagem_urbana.pdf,C,retrieved,needs_review,,,The URL returned a PDF response; title and publisher still require document review.; reused existing validated PDF; 842536 bytes; identity_status=not_checked; human_review_status=download
doc_f6257631c175,GS_SRC_006,geohydrological_disasters,Coping with Losses: Options for Disaster Risk Financing in Brazil,World Bank,2014,brazil,https://documents1.worldbank.org/curated/en/138651519418943510/pdf/111953-PUBLIC-OptionsforDisasterRiskFinancinginBrazil-FINAL-Low.pdf,B,retrieved,needs_review,,,The URL returned a PDF response; title and publisher still require document review.; reused existing validated PDF; 2408974 bytes; identity_status=not_checked; human_review_status=download
doc_f9a1b4373797,ES_SRC_004,energy_security,Electricity Transmission and Climate Change: Roadmap for Climate Resilience in the Brazilian Power System,Empresa de Pesquisa Energética (EPE),2025,brazil,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-852/topico-736/Electricity%20transmission%20and%20climate%20change.pdf,C,retrieved,needs_review,,,The URL returned a PDF response; title and publisher still require document review.; reused existing validated PDF; 8934765 bytes; identity_status=not_checked; human_review_status=download
doc_fe083adcf4e7,H_SRC_008,health,Operational Framework for Building Climate Resilient Health Systems,World Health Organization (WHO),2015,international,https://iris.who.int/server/api/core/bitstreams/63c28858-bafe-4ba0-881a-af0517b7e1bf/content?download=1,B,retrieved,proposed,,,Official WHO PDF.; updated to the current WHO repository bitstream linked from the official publication page; reused existing validated PDF; 1842336 bytes
doc_ff696f891373,FS_SRC_009,food_security,Future of Food: Shaping a Climate-Smart Global Food System,World Bank,2015,international,https://documents1.worldbank.org/curated/en/645981468189237140/pdf/100046-WP-PUBLIC-dislcose-7am-10-8-15-Box393216B.pdf,B,retrieved,proposed,,,Official World Bank report PDF.; reused existing validated PDF; 13490875 bytes
doc_1511c995849f,,biodiversity,Plano Clima Adaptação — Plano Temático de Biodiversidade,Ministério do Meio Ambiente e Mudança do Clima (MMA),2025,brazil,https://www.gov.br/mma/pt-br/centrais-de-conteudo/publicacoes/mudanca-do-clima/plano-tematico-biodiversidade.pdf,A,retrieved,proposed,,,Official MMA URL retained as canonical provenance; downloaded from the exact Climate Policy Radar mirror https://cdn.climatepolicyradar.org/navigator/BRA/2025/brazil-s-adaptation-climate-plan-biodiversity-thematic-plan_04b9672fe6a9bae0499ae2fa8517f218.pdf; mirror MD5 matched filename; 64 pages; 3425366 bytes.
doc_29f34029c909,,biodiversity | energy_security | food_security | geohydrological_disasters | health | water_resources,Climate Change 2022: Impacts Adaptation and Vulnerability — Chapter 17: Decision-Making Options for Managing Risk,IPCC,2022,international,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter17.pdf,A,retrieved,proposed,,,Official IPCC chapter PDF; 116 pages; 3310104 bytes; PDF identity and readability verified locally.
doc_4c0d1133715d,,energy_security | geohydrological_disasters | health | water_resources,Climate Change 2022: Impacts Adaptation and Vulnerability — Chapter 6: Cities Settlements and Key Infrastructure,IPCC,2022,international,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter06.pdf,A,retrieved,proposed,,,Official IPCC chapter PDF; 134 pages; 3651767 bytes; PDF identity and readability verified locally.
