action_id,action_name,cost_band,prep_complexity,locode,name,cod_mun,uf,capag,credit_screen,finance_push_score,finance_push_bucket,funding_gap,routes_open,own_city_awards_any,own_city_awards_matched,own_city_award_detail,state_matched_awards,national_matched_awards,national_matched_median_brl,options_available
c40_0048,Upgrade urban drainage systems,medium,high,BR RIO,Rio de Janeiro,3304557,RJ,B,credit_screen_pass,11,extensive,own_budget_or_credit_feasible,A-grant A-credit C B E,1,1,Novo PAC 2025 — Prevenção a Desastres (drenagem): Novo PAC 2025 drenagem — Municipio De Rio De Janeiro (R$150.0M),20,212,32566719.0,"Novo PAC Prevenção a Desastres (OGU grant arm / FGTS financing; city can formulate directly) | MDB operation via COFIEX (Union guarantee open at this CAPAG; climate precedents: Palmas, Fortaleza, Joinville) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory) | MIDR/Sedec civil-defence transfers on declared emergency"
c40_0048,Upgrade urban drainage systems,medium,high,BR BCA,Barcarena,1501303,PA,n.d.,credit_screen_unknown,10,extensive,needs_external_cofinance,A-grant B E,1,1,Novo PAC 2025 — Prevenção a Desastres (drenagem): Novo PAC 2025 drenagem — Municipio De Barcarena (R$13.4M),31,212,32566719.0,Novo PAC Prevenção a Desastres (OGU grant arm / FGTS financing; city can formulate directly) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory) | MIDR/Sedec civil-defence transfers on declared emergency
c40_0048,Upgrade urban drainage systems,medium,high,BR CMA,Cametá,1502103,PA,C,credit_screen_fail_information_quality,9,established,needs_external_cofinance,A-grant B,0,0,,31,212,32566719.0,Novo PAC Prevenção a Desastres (OGU grant arm / FGTS financing; city can formulate directly) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory)
c40_0048,Upgrade urban drainage systems,medium,high,BR PES,Petrópolis,3303906,RJ,n.d.,credit_screen_unknown,11,extensive,needs_external_cofinance,A-grant B E,3,1,Novo PAC 2025 — Prevenção a Desastres (drenagem): Novo PAC 2025 drenagem — Municipio De Petropolis (R$50.0M),20,212,32566719.0,Novo PAC Prevenção a Desastres (OGU grant arm / FGTS financing; city can formulate directly) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory) | MIDR/Sedec civil-defence transfers on declared emergency
c40_0048,Upgrade urban drainage systems,medium,high,BR FOR,Fortaleza,2304400,CE,B+,credit_screen_pass,11,extensive,own_budget_or_credit_feasible,A-grant A-credit C B E,2,1,Novo PAC 2025 — Prevenção a Desastres (drenagem): Novo PAC 2025 drenagem — Municipio De Fortaleza (R$103.3M),8,212,32566719.0,"Novo PAC Prevenção a Desastres (OGU grant arm / FGTS financing; city can formulate directly) | MDB operation via COFIEX (Union guarantee open at this CAPAG; climate precedents: Palmas, Fortaleza, Joinville) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory) | MIDR/Sedec civil-defence transfers on declared emergency"
c40_0048,Upgrade urban drainage systems,medium,high,BR CME,Camaragibe,2603454,PE,A+,credit_screen_pass,8,established,own_budget_or_credit_feasible,A-grant A-credit C B E,2,0,Novo PAC 2025 — Prevenção a Desastres (encostas): Novo PAC 2025 encostas — Camaragibe (R$7.4M); COFIEX — CAF: Desenvolvimento e Mobilidade Urbana de Camaragibe (R$50.0M),9,212,32566719.0,"Novo PAC Prevenção a Desastres (OGU grant arm / FGTS financing; city can formulate directly) | MDB operation via COFIEX (Union guarantee open at this CAPAG; climate precedents: Palmas, Fortaleza, Joinville) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory) | MIDR/Sedec civil-defence transfers on declared emergency"
c40_0049,Build and maintain shelters for critical climate hazards,low,high,BR CXL,Caxias do Sul,4305108,RS,A+,credit_screen_pass,9,established,self_deliverable,A-grant A-credit C B E,1,0,Novo PAC 2025 — Prevenção a Desastres (encostas): Novo PAC 2025 encostas — Caxias Do Sul (R$1.2M),13,212,32566719.0,"Novo PAC Prevenção a Desastres (OGU grant arm / FGTS financing; city can formulate directly) | MDB operation via COFIEX (Union guarantee open at this CAPAG; climate precedents: Palmas, Fortaleza, Joinville) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory) | MIDR/Sedec civil-defence transfers on declared emergency"
c40_0049,Build and maintain shelters for critical climate hazards,low,high,BR MGE,Maranguape,2307700,CE,C,credit_screen_fail_fiscal,9,established,self_deliverable,A-grant B E,0,0,,8,212,32566719.0,Novo PAC Prevenção a Desastres (OGU grant arm / FGTS financing; city can formulate directly) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory) | MIDR/Sedec civil-defence transfers on declared emergency
c40_0049,Build and maintain shelters for critical climate hazards,low,high,BR RIO,Rio de Janeiro,3304557,RJ,B,credit_screen_pass,11,extensive,self_deliverable,A-grant A-credit C B E,1,1,Novo PAC 2025 — Prevenção a Desastres (drenagem): Novo PAC 2025 drenagem — Municipio De Rio De Janeiro (R$150.0M),20,212,32566719.0,"Novo PAC Prevenção a Desastres (OGU grant arm / FGTS financing; city can formulate directly) | MDB operation via COFIEX (Union guarantee open at this CAPAG; climate precedents: Palmas, Fortaleza, Joinville) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory) | MIDR/Sedec civil-defence transfers on declared emergency"
c40_0049,Build and maintain shelters for critical climate hazards,low,high,BR BCA,Barcarena,1501303,PA,n.d.,credit_screen_unknown,10,extensive,self_deliverable,A-grant B E,1,1,Novo PAC 2025 — Prevenção a Desastres (drenagem): Novo PAC 2025 drenagem — Municipio De Barcarena (R$13.4M),31,212,32566719.0,Novo PAC Prevenção a Desastres (OGU grant arm / FGTS financing; city can formulate directly) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory) | MIDR/Sedec civil-defence transfers on declared emergency
c40_0049,Build and maintain shelters for critical climate hazards,low,high,BR CMA,Cametá,1502103,PA,C,credit_screen_fail_information_quality,9,established,self_deliverable,A-grant B,0,0,,31,212,32566719.0,Novo PAC Prevenção a Desastres (OGU grant arm / FGTS financing; city can formulate directly) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory)
c40_0049,Build and maintain shelters for critical climate hazards,low,high,BR PES,Petrópolis,3303906,RJ,n.d.,credit_screen_unknown,11,extensive,self_deliverable,A-grant B E,3,1,Novo PAC 2025 — Prevenção a Desastres (drenagem): Novo PAC 2025 drenagem — Municipio De Petropolis (R$50.0M),20,212,32566719.0,Novo PAC Prevenção a Desastres (OGU grant arm / FGTS financing; city can formulate directly) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory) | MIDR/Sedec civil-defence transfers on declared emergency
c40_0049,Build and maintain shelters for critical climate hazards,low,high,BR FOR,Fortaleza,2304400,CE,B+,credit_screen_pass,11,extensive,self_deliverable,A-grant A-credit C B E,2,1,Novo PAC 2025 — Prevenção a Desastres (drenagem): Novo PAC 2025 drenagem — Municipio De Fortaleza (R$103.3M),8,212,32566719.0,"Novo PAC Prevenção a Desastres (OGU grant arm / FGTS financing; city can formulate directly) | MDB operation via COFIEX (Union guarantee open at this CAPAG; climate precedents: Palmas, Fortaleza, Joinville) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory) | MIDR/Sedec civil-defence transfers on declared emergency"
c40_0049,Build and maintain shelters for critical climate hazards,low,high,BR CME,Camaragibe,2603454,PE,A+,credit_screen_pass,8,established,self_deliverable,A-grant A-credit C B E,2,0,Novo PAC 2025 — Prevenção a Desastres (encostas): Novo PAC 2025 encostas — Camaragibe (R$7.4M); COFIEX — CAF: Desenvolvimento e Mobilidade Urbana de Camaragibe (R$50.0M),9,212,32566719.0,"Novo PAC Prevenção a Desastres (OGU grant arm / FGTS financing; city can formulate directly) | MDB operation via COFIEX (Union guarantee open at this CAPAG; climate precedents: Palmas, Fortaleza, Joinville) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory) | MIDR/Sedec civil-defence transfers on declared emergency"
c40_0051,Provide public shading in heat hotspots,low,high,BR CXL,Caxias do Sul,4305108,RS,A+,credit_screen_pass,9,established,self_deliverable,A-grant A-credit C B,1,0,Novo PAC 2025 — Prevenção a Desastres (encostas): Novo PAC 2025 encostas — Caxias Do Sul (R$1.2M),0,72,16925456.0,"MDB operation via COFIEX (Union guarantee open at this CAPAG; climate precedents: Palmas, Fortaleza, Joinville) | Fundo Amazônia grant window (city mostly as enabler via state/OSC; direct municipal grants are rare: 7 of 146) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory)"
c40_0051,Provide public shading in heat hotspots,low,high,BR MGE,Maranguape,2307700,CE,C,credit_screen_fail_fiscal,9,established,self_deliverable,A-grant B,0,0,,0,72,16925456.0,Fundo Amazônia grant window (city mostly as enabler via state/OSC; direct municipal grants are rare: 7 of 146) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory)
c40_0051,Provide public shading in heat hotspots,low,high,BR RIO,Rio de Janeiro,3304557,RJ,B,credit_screen_pass,11,extensive,self_deliverable,A-grant A-credit C B,1,0,Novo PAC 2025 — Prevenção a Desastres (drenagem): Novo PAC 2025 drenagem — Municipio De Rio De Janeiro (R$150.0M),0,72,16925456.0,"MDB operation via COFIEX (Union guarantee open at this CAPAG; climate precedents: Palmas, Fortaleza, Joinville) | Fundo Amazônia grant window (city mostly as enabler via state/OSC; direct municipal grants are rare: 7 of 146) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory)"
c40_0051,Provide public shading in heat hotspots,low,high,BR BCA,Barcarena,1501303,PA,n.d.,credit_screen_unknown,10,extensive,self_deliverable,A-grant B,1,0,Novo PAC 2025 — Prevenção a Desastres (drenagem): Novo PAC 2025 drenagem — Municipio De Barcarena (R$13.4M),35,72,16925456.0,Fundo Amazônia grant window (city mostly as enabler via state/OSC; direct municipal grants are rare: 7 of 146) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory)
c40_0051,Provide public shading in heat hotspots,low,high,BR CMA,Cametá,1502103,PA,C,credit_screen_fail_information_quality,9,established,self_deliverable,A-grant B,0,0,,35,72,16925456.0,Fundo Amazônia grant window (city mostly as enabler via state/OSC; direct municipal grants are rare: 7 of 146) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory)
c40_0051,Provide public shading in heat hotspots,low,high,BR PES,Petrópolis,3303906,RJ,n.d.,credit_screen_unknown,11,extensive,self_deliverable,A-grant B,3,0,Novo PAC 2025 — Prevenção a Desastres (encostas): Novo PAC 2025 encostas — Petrópolis (R$11.0M); Novo PAC 2025 — Prevenção a Desastres (encostas): Novo PAC 2025 encostas — Petrópolis (R$13.8M); Novo PAC 2025 — Prevenção a Desastres (drenagem): Novo PAC 2025 drenagem — Municipio De Petropolis (R$50.0M),0,72,16925456.0,Fundo Amazônia grant window (city mostly as enabler via state/OSC; direct municipal grants are rare: 7 of 146) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory)
c40_0051,Provide public shading in heat hotspots,low,high,BR FOR,Fortaleza,2304400,CE,B+,credit_screen_pass,11,extensive,self_deliverable,A-grant A-credit C B,2,0,"Novo PAC 2025 — Prevenção a Desastres (drenagem): Novo PAC 2025 drenagem — Municipio De Fortaleza (R$103.3M); COFIEX — BIRD: Promoção da Sustentabilidade Urbana, Ambiental e Fiscal de Fortaleza (R$194.8M)",0,72,16925456.0,"MDB operation via COFIEX (Union guarantee open at this CAPAG; climate precedents: Palmas, Fortaleza, Joinville) | Fundo Amazônia grant window (city mostly as enabler via state/OSC; direct municipal grants are rare: 7 of 146) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory)"
c40_0051,Provide public shading in heat hotspots,low,high,BR CME,Camaragibe,2603454,PE,A+,credit_screen_pass,8,established,self_deliverable,A-grant A-credit C B,2,0,Novo PAC 2025 — Prevenção a Desastres (encostas): Novo PAC 2025 encostas — Camaragibe (R$7.4M); COFIEX — CAF: Desenvolvimento e Mobilidade Urbana de Camaragibe (R$50.0M),0,72,16925456.0,"MDB operation via COFIEX (Union guarantee open at this CAPAG; climate precedents: Palmas, Fortaleza, Joinville) | Fundo Amazônia grant window (city mostly as enabler via state/OSC; direct municipal grants are rare: 7 of 146) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory)"
c40_0052,Deploy cool pavements and cool roofs on heat‑exposed streets and buildings,low,high,BR CXL,Caxias do Sul,4305108,RS,A+,credit_screen_pass,9,established,self_deliverable,A-grant A-credit C B,1,0,Novo PAC 2025 — Prevenção a Desastres (encostas): Novo PAC 2025 encostas — Caxias Do Sul (R$1.2M),0,0,,"MDB operation via COFIEX (Union guarantee open at this CAPAG; climate precedents: Palmas, Fortaleza, Joinville) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory)"
c40_0052,Deploy cool pavements and cool roofs on heat‑exposed streets and buildings,low,high,BR MGE,Maranguape,2307700,CE,C,credit_screen_fail_fiscal,9,established,self_deliverable,A-grant B,0,0,,0,0,,Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory)
c40_0052,Deploy cool pavements and cool roofs on heat‑exposed streets and buildings,low,high,BR RIO,Rio de Janeiro,3304557,RJ,B,credit_screen_pass,11,extensive,self_deliverable,A-grant A-credit C B,1,0,Novo PAC 2025 — Prevenção a Desastres (drenagem): Novo PAC 2025 drenagem — Municipio De Rio De Janeiro (R$150.0M),0,0,,"MDB operation via COFIEX (Union guarantee open at this CAPAG; climate precedents: Palmas, Fortaleza, Joinville) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory)"
c40_0052,Deploy cool pavements and cool roofs on heat‑exposed streets and buildings,low,high,BR BCA,Barcarena,1501303,PA,n.d.,credit_screen_unknown,10,extensive,self_deliverable,A-grant B,1,0,Novo PAC 2025 — Prevenção a Desastres (drenagem): Novo PAC 2025 drenagem — Municipio De Barcarena (R$13.4M),0,0,,Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory)
c40_0052,Deploy cool pavements and cool roofs on heat‑exposed streets and buildings,low,high,BR CMA,Cametá,1502103,PA,C,credit_screen_fail_information_quality,9,established,self_deliverable,A-grant B,0,0,,0,0,,Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory)
c40_0052,Deploy cool pavements and cool roofs on heat‑exposed streets and buildings,low,high,BR PES,Petrópolis,3303906,RJ,n.d.,credit_screen_unknown,11,extensive,self_deliverable,A-grant B,3,0,Novo PAC 2025 — Prevenção a Desastres (encostas): Novo PAC 2025 encostas — Petrópolis (R$11.0M); Novo PAC 2025 — Prevenção a Desastres (encostas): Novo PAC 2025 encostas — Petrópolis (R$13.8M); Novo PAC 2025 — Prevenção a Desastres (drenagem): Novo PAC 2025 drenagem — Municipio De Petropolis (R$50.0M),0,0,,Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory)
c40_0052,Deploy cool pavements and cool roofs on heat‑exposed streets and buildings,low,high,BR FOR,Fortaleza,2304400,CE,B+,credit_screen_pass,11,extensive,self_deliverable,A-grant A-credit C B,2,0,"Novo PAC 2025 — Prevenção a Desastres (drenagem): Novo PAC 2025 drenagem — Municipio De Fortaleza (R$103.3M); COFIEX — BIRD: Promoção da Sustentabilidade Urbana, Ambiental e Fiscal de Fortaleza (R$194.8M)",0,0,,"MDB operation via COFIEX (Union guarantee open at this CAPAG; climate precedents: Palmas, Fortaleza, Joinville) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory)"
c40_0052,Deploy cool pavements and cool roofs on heat‑exposed streets and buildings,low,high,BR CME,Camaragibe,2603454,PE,A+,credit_screen_pass,8,established,self_deliverable,A-grant A-credit C B,2,0,Novo PAC 2025 — Prevenção a Desastres (encostas): Novo PAC 2025 encostas — Camaragibe (R$7.4M); COFIEX — CAF: Desenvolvimento e Mobilidade Urbana de Camaragibe (R$50.0M),0,0,,"MDB operation via COFIEX (Union guarantee open at this CAPAG; climate precedents: Palmas, Fortaleza, Joinville) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory)"
c40_0053,Promote water-saving technologies and practices,low,medium,BR CXL,Caxias do Sul,4305108,RS,A+,credit_screen_pass,9,established,self_deliverable,A-grant A-credit C B E,1,0,Novo PAC 2025 — Prevenção a Desastres (encostas): Novo PAC 2025 encostas — Caxias Do Sul (R$1.2M),0,10,12360925.0,"MDB operation via COFIEX (Union guarantee open at this CAPAG; climate precedents: Palmas, Fortaleza, Joinville) | Fundo Amazônia grant window (city mostly as enabler via state/OSC; direct municipal grants are rare: 7 of 146) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory) | MIDR/Sedec civil-defence transfers on declared emergency"
c40_0053,Promote water-saving technologies and practices,low,medium,BR MGE,Maranguape,2307700,CE,C,credit_screen_fail_fiscal,9,established,self_deliverable,A-grant B E,0,0,,0,10,12360925.0,Fundo Amazônia grant window (city mostly as enabler via state/OSC; direct municipal grants are rare: 7 of 146) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory) | MIDR/Sedec civil-defence transfers on declared emergency
c40_0053,Promote water-saving technologies and practices,low,medium,BR RIO,Rio de Janeiro,3304557,RJ,B,credit_screen_pass,11,extensive,self_deliverable,A-grant A-credit C B E,1,0,Novo PAC 2025 — Prevenção a Desastres (drenagem): Novo PAC 2025 drenagem — Municipio De Rio De Janeiro (R$150.0M),0,10,12360925.0,"MDB operation via COFIEX (Union guarantee open at this CAPAG; climate precedents: Palmas, Fortaleza, Joinville) | Fundo Amazônia grant window (city mostly as enabler via state/OSC; direct municipal grants are rare: 7 of 146) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory) | MIDR/Sedec civil-defence transfers on declared emergency"
c40_0053,Promote water-saving technologies and practices,low,medium,BR BCA,Barcarena,1501303,PA,n.d.,credit_screen_unknown,10,extensive,self_deliverable,A-grant B E,1,0,Novo PAC 2025 — Prevenção a Desastres (drenagem): Novo PAC 2025 drenagem — Municipio De Barcarena (R$13.4M),2,10,12360925.0,Fundo Amazônia grant window (city mostly as enabler via state/OSC; direct municipal grants are rare: 7 of 146) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory) | MIDR/Sedec civil-defence transfers on declared emergency
c40_0053,Promote water-saving technologies and practices,low,medium,BR CMA,Cametá,1502103,PA,C,credit_screen_fail_information_quality,9,established,self_deliverable,A-grant B,0,0,,2,10,12360925.0,Fundo Amazônia grant window (city mostly as enabler via state/OSC; direct municipal grants are rare: 7 of 146) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory)
c40_0053,Promote water-saving technologies and practices,low,medium,BR PES,Petrópolis,3303906,RJ,n.d.,credit_screen_unknown,11,extensive,self_deliverable,A-grant B E,3,0,Novo PAC 2025 — Prevenção a Desastres (encostas): Novo PAC 2025 encostas — Petrópolis (R$11.0M); Novo PAC 2025 — Prevenção a Desastres (encostas): Novo PAC 2025 encostas — Petrópolis (R$13.8M); Novo PAC 2025 — Prevenção a Desastres (drenagem): Novo PAC 2025 drenagem — Municipio De Petropolis (R$50.0M),0,10,12360925.0,Fundo Amazônia grant window (city mostly as enabler via state/OSC; direct municipal grants are rare: 7 of 146) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory) | MIDR/Sedec civil-defence transfers on declared emergency
c40_0053,Promote water-saving technologies and practices,low,medium,BR FOR,Fortaleza,2304400,CE,B+,credit_screen_pass,11,extensive,self_deliverable,A-grant A-credit C B E,2,0,"Novo PAC 2025 — Prevenção a Desastres (drenagem): Novo PAC 2025 drenagem — Municipio De Fortaleza (R$103.3M); COFIEX — BIRD: Promoção da Sustentabilidade Urbana, Ambiental e Fiscal de Fortaleza (R$194.8M)",0,10,12360925.0,"MDB operation via COFIEX (Union guarantee open at this CAPAG; climate precedents: Palmas, Fortaleza, Joinville) | Fundo Amazônia grant window (city mostly as enabler via state/OSC; direct municipal grants are rare: 7 of 146) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory) | MIDR/Sedec civil-defence transfers on declared emergency"
c40_0053,Promote water-saving technologies and practices,low,medium,BR CME,Camaragibe,2603454,PE,A+,credit_screen_pass,8,established,self_deliverable,A-grant A-credit C B E,2,0,Novo PAC 2025 — Prevenção a Desastres (encostas): Novo PAC 2025 encostas — Camaragibe (R$7.4M); COFIEX — CAF: Desenvolvimento e Mobilidade Urbana de Camaragibe (R$50.0M),0,10,12360925.0,"MDB operation via COFIEX (Union guarantee open at this CAPAG; climate precedents: Palmas, Fortaleza, Joinville) | Fundo Amazônia grant window (city mostly as enabler via state/OSC; direct municipal grants are rare: 7 of 146) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory) | MIDR/Sedec civil-defence transfers on declared emergency"
c40_0056,Improve Watershed Protection and Management,low,high,BR CXL,Caxias do Sul,4305108,RS,A+,credit_screen_pass,9,established,self_deliverable,A-grant A-credit C B E,1,0,Novo PAC 2025 — Prevenção a Desastres (encostas): Novo PAC 2025 encostas — Caxias Do Sul (R$1.2M),0,72,16925456.0,"MDB operation via COFIEX (Union guarantee open at this CAPAG; climate precedents: Palmas, Fortaleza, Joinville) | Fundo Amazônia grant window (city mostly as enabler via state/OSC; direct municipal grants are rare: 7 of 146) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory) | MIDR/Sedec civil-defence transfers on declared emergency"
c40_0056,Improve Watershed Protection and Management,low,high,BR MGE,Maranguape,2307700,CE,C,credit_screen_fail_fiscal,9,established,self_deliverable,A-grant B E,0,0,,0,72,16925456.0,Fundo Amazônia grant window (city mostly as enabler via state/OSC; direct municipal grants are rare: 7 of 146) | Route A grant arm (adaptation windows favour vulnerability; fund-level matching pending inventory) | MIDR/Sedec civil-defence transfers on declared emergency
