Period,Operator,Registration Number,Brand/Flag,Deregistration Date,Tax ID,Business Type,Address,Locality,Province,Product,Marketing/Distribution Channel,Price without Taxes,Price with Taxes,Volume,Pump Price,No Movements,Exempt,Price without taxes,Price with taxes,Pump price
2022-02-01 0:00:00,SHELL COMPAÑIA ARGENTINA DE PETRÓLEO S.A.,3145,No brand,,30-50672680-4,Not available,AVDA. PTE. ROQUE SÁENZ PEÑA 788,Mendoza,MENDOZA,Diesel Grade 3,Resale to other service stations,66.00671,93.58886,385.8463,0.0,NO,0.0,,,
2022-02-01 0:00:00,YPF S.A.,2373,No brand,,30-54668997-9,Not available,MACACHA GUEMES 515,Mendoza,MENDOZA,Diesel Grade 3,Own service stations,62.25025,88.81507,187.059,0.0,NO,0.0,,,
2022-03-01 0:00:00,"PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA",9251,No brand,,30-69554247-6,Not available,"Av. Leandro N. Alem 1180, piso 11",Mendoza,MENDOZA,Premium gasoline over 95 octane,Freight transport,85.441,126.203,0.46,0.0,NO,0.0,,,
2022-03-01 0:00:00,"PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA",9251,No brand,,30-69554247-6,Not available,"Av. Leandro N. Alem 1180, piso 11",Mendoza,MENDOZA,Diesel Grade 3,Freight transport,89.097,135.416,1.02,0.0,NO,0.0,,,
2022-03-01 0:00:00,YPF S.A.,2373,No brand,,30-54668997-9,Not available,MACACHA GUEMES 515,Mendoza,MENDOZA,Super gasoline between 92 and 95 octane,Other sectors,43.66394,72.25673,2631.811,0.0,NO,0.0,,,
2022-03-01 0:00:00,YPF S.A.,2373,No brand,,30-54668997-9,Not available,MACACHA GUEMES 515,Mendoza,MENDOZA,Jet fuel,"Commercial air transport, cabotage",79.83113,96.56409,1689.632,0.0,NO,0.0,,,
2022-04-01 0:00:00,"PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA",9251,No brand,,30-69554247-6,Not available,"Av. Leandro N. Alem 1180, piso 11",Mendoza,MENDOZA,Diesel Grade 2,Resale to other service stations,64.189,91.243,153.2,0.0,NO,0.0,,,
2022-04-01 0:00:00,"PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA",9251,No brand,,30-69554247-6,Not available,"Av. Leandro N. Alem 1180, piso 11",Mendoza,MENDOZA,Diesel Grade 3,Freight transport,94.231,133.129,1.7,0.0,NO,0.0,,,
2022-04-01 0:00:00,TRAFIGURA ARGENTINA S.A.,8647,No brand,,30-70083497-9,Not available,Juana Manso 205 Piso 7,Mendoza,MENDOZA,Super gasoline between 92 and 95 octane,Resale to other service stations,58.967,91.927,70.81,0.0,NO,0.0,,,
2022-04-01 0:00:00,YPF S.A.,2373,No brand,,30-54668997-9,Not available,MACACHA GUEMES 515,Mendoza,MENDOZA,Diesel Grade 3,"Service stations, consignment",78.82959,114.5893,527.245,0.0,NO,0.0,,,
2022-04-01 0:00:00,YPF S.A.,2373,No brand,,30-54668997-9,Not available,MACACHA GUEMES 515,Mendoza,MENDOZA,Diesel Grade 2,Other sectors,55.22725,80.59782,4266.986,0.0,NO,0.0,,,
2022-05-01 0:00:00,"PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA",9251,No brand,,30-69554247-6,Not available,"Av. Leandro N. Alem 1180, piso 11",Mendoza,MENDOZA,Diesel Grade 2,Agriculture,89.376,121.72,236.1,0.0,NO,0.0,,,
2022-05-01 0:00:00,SHELL COMPAÑIA ARGENTINA DE PETRÓLEO S.A.,3145,No brand,,30-50672680-4,Not available,AVDA. PTE. ROQUE SÁENZ PEÑA 788,Mendoza,MENDOZA,Diesel Grade 2,Resale to other service stations,72.08356,100.8434,289.9818,0.0,NO,0.0,,,
2022-05-01 0:00:00,TRAFIGURA ARGENTINA S.A.,8647,No brand,,30-70083497-9,Not available,Juana Manso 205 Piso 7,Mendoza,MENDOZA,Premium gasoline over 95 octane,Resale to other service stations,78.484,114.879,11.039,0.0,NO,0.0,,,
2022-05-01 0:00:00,YPF S.A.,2373,No brand,,30-54668997-9,Not available,MACACHA GUEMES 515,Mendoza,MENDOZA,Premium gasoline over 95 octane,"Service stations, consignment",70.39162,105.6412,545.505,0.0,NO,0.0,,,
2022-05-01 0:00:00,YPF S.A.,2373,No brand,,30-54668997-9,Not available,MACACHA GUEMES 515,Mendoza,MENDOZA,Premium gasoline over 95 octane,Own service stations,69.45522,104.2182,370.314,0.0,NO,0.0,,,
2022-06-01 0:00:00,DELTAPATAGONIA SA,9629,No brand,,30-71537092-8,Wholesale marketer (bulk sale),Av. N. Alem 822 3A,Mendoza,MENDOZA,Premium gasoline over 95 octane,"Service stations, storage and distribution",92.81,131.72,141.0,0.0,NO,0.0,,,
2022-06-01 0:00:00,"PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA",9251,No brand,,30-69554247-6,Not available,"Av. Leandro N. Alem 1180, piso 11",Mendoza,MENDOZA,Diesel Grade 2,Other sectors,90.51,129.641,0.09,0.0,NO,0.0,,,
2022-06-01 0:00:00,TRAFIGURA ARGENTINA S.A.,8647,No brand,,30-70083497-9,Not available,Juana Manso 205 Piso 7,Mendoza,MENDOZA,Diesel Grade 2,Resale to other service stations,79.211,109.839,159.771,0.0,NO,0.0,,,
2022-06-01 0:00:00,TRAFIGURA ARGENTINA S.A.,8647,No brand,,30-70083497-9,Not available,Juana Manso 205 Piso 7,Mendoza,MENDOZA,Super gasoline between 92 and 95 octane,Resale to other service stations,67.059,101.633,60.263,0.0,NO,0.0,,,
2022-06-01 0:00:00,YPF S.A.,2373,No brand,,30-54668997-9,Not available,MACACHA GUEMES 515,Mendoza,MENDOZA,Diesel Grade 2,Other sectors,70633.67,99041.29,4027.086,0.0,NO,0.0,,,
2022-06-01 0:00:00,YPF S.A.,2373,No brand,,30-54668997-9,Not available,MACACHA GUEMES 515,Mendoza,MENDOZA,Premium gasoline over 95 octane,Own service stations,75.06887,110.8704,404.87,0.0,NO,0.0,,,
2022-06-01 0:00:00,YPF S.A.,2373,No brand,,30-54668997-9,Not available,MACACHA GUEMES 515,Mendoza,MENDOZA,Jet fuel,"Commercial air transport, cabotage",143.7275,173.9103,2136.854,0.0,NO,0.0,,,
2022-07-01 0:00:00,DELTAPATAGONIA SA,9629,No brand,,30-71537092-8,Wholesale marketer (bulk sale),Av. N. Alem 822 3A,Mendoza,MENDOZA,Premium gasoline over 95 octane,"Service stations, storage and distribution",92.28,131.08,121.0,0.0,NO,0.0,,,
2022-07-01 0:00:00,"PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA",9251,No brand,,30-69554247-6,Not available,"Av. Leandro N. Alem 1180, piso 11",Mendoza,MENDOZA,Diesel Grade 3,Freight transport,121.842,174.741,3.54,0.0,NO,0.0,,,
2022-07-01 0:00:00,"PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA",9251,No brand,,30-69554247-6,Not available,"Av. Leandro N. Alem 1180, piso 11",Mendoza,MENDOZA,Super gasoline between 92 and 95 octane,Resale to other service stations,68.858,102.742,202.35,0.0,NO,0.0,,,
2022-07-01 0:00:00,YPF S.A.,2373,No brand,,30-54668997-9,Not available,MACACHA GUEMES 515,Mendoza,MENDOZA,Premium gasoline over 95 octane,"Service stations, consignment",84.37096,123.0085,1121.197,0.0,NO,0.0,,,
2022-08-01 0:00:00,DELTAPATAGONIA SA,9629,No brand,,30-71537092-8,Wholesale marketer (bulk sale),Av. N. Alem 822 3A,Mendoza,MENDOZA,Diesel Grade 2,"Service stations, storage and distribution",86.28,118.25,374.0,0.0,NO,0.0,,,
2022-08-01 0:00:00,DELTAPATAGONIA SA,9629,No brand,,30-71537092-8,Wholesale marketer (bulk sale),Av. N. Alem 822 3A,Mendoza,MENDOZA,Premium gasoline over 95 octane,"Service stations, storage and distribution",96.45,136.14,82.0,0.0,NO,0.0,,,
2022-08-01 0:00:00,"PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA",9251,No brand,,30-69554247-6,Not available,"Av. Leandro N. Alem 1180, piso 11",Mendoza,MENDOZA,Super gasoline between 92 and 95 octane,Resale to other service stations,77.666,113.4,160.1,0.0,NO,0.0,,,
2022-08-01 0:00:00,"PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA",9251,No brand,,30-69554247-6,Not available,"Av. Leandro N. Alem 1180, piso 11",Mendoza,MENDOZA,Super gasoline between 92 and 95 octane,Freight transport,90.719,138.568,0.34,0.0,NO,0.0,,,
2022-08-01 0:00:00,"PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA",9251,No brand,,30-69554247-6,Not available,"Av. Leandro N. Alem 1180, piso 11",Mendoza,MENDOZA,Premium gasoline over 95 octane,Other sectors,123.21,191.455,0.04,0.0,NO,0.0,,,
2022-08-01 0:00:00,"PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA",9251,No brand,,30-69554247-6,Not available,"Av. Leandro N. Alem 1180, piso 11",Mendoza,MENDOZA,Diesel Grade 3,Agriculture,132.899,172.03,78.93,0.0,NO,0.0,,,
2022-08-01 0:00:00,SHELL COMPAÑIA ARGENTINA DE PETRÓLEO S.A.,3145,No brand,,30-50672680-4,Not available,AVDA. PTE. ROQUE SÁENZ PEÑA 788,Mendoza,MENDOZA,Diesel Grade 2,Resale to other service stations,89.36169,176.0854,965.3931,0.0,NO,0.0,,,
2022-08-01 0:00:00,TRAFIGURA ARGENTINA S.A.,8647,No brand,,30-70083497-9,Not available,Juana Manso 205 Piso 7,Mendoza,MENDOZA,Diesel Grade 2,Resale to other service stations,86.791,118.368,159.928,0.0,NO,0.0,,,
2022-08-01 0:00:00,YPF S.A.,2373,No brand,,30-54668997-9,Not available,MACACHA GUEMES 515,Mendoza,MENDOZA,Diesel Grade 2,Freight transport,105.9784,140.2598,80.81173,0.0,NO,1.0,,,
2022-08-01 0:00:00,YPF S.A.,2373,No brand,,30-54668997-9,Not available,MACACHA GUEMES 515,Mendoza,MENDOZA,Diesel Grade 3,Other sectors,110.1479,146.139,387.834,0.0,NO,0.0,,,
2022-08-01 0:00:00,YPF S.A.,2373,No brand,,30-54668997-9,Not available,MACACHA GUEMES 515,Mendoza,MENDOZA,Premium gasoline over 95 octane,Own service stations,75.03124,109.2619,437.851,0.0,NO,0.0,,,
2022-09-01 0:00:00,"PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA",9251,No brand,,30-69554247-6,Not available,"Av. Leandro N. Alem 1180, piso 11",Mendoza,MENDOZA,Diesel Grade 3,Public passenger transport,135.79,180.874,1.27,0.0,NO,0.0,,,
2022-09-01 0:00:00,"PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA",9251,No brand,,30-69554247-6,Not available,"Av. Leandro N. Alem 1180, piso 11",Mendoza,MENDOZA,Diesel Grade 3,Other sectors,141.888,201.005,0.77,0.0,NO,0.0,,,
2022-09-01 0:00:00,SHELL COMPAÑIA ARGENTINA DE PETRÓLEO S.A.,3145,No brand,,30-50672680-4,Not available,AVDA. PTE. ROQUE SÁENZ PEÑA 788,Mendoza,MENDOZA,Diesel Grade 2,Resale to other service stations,93.52332,178.0405,1222.563,0.0,NO,0.0,,,
2022-09-01 0:00:00,TRAFIGURA ARGENTINA S.A.,8647,No brand,,30-70083497-9,Not available,Juana Manso 205 Piso 7,Mendoza,MENDOZA,Diesel Grade 3,Resale to other service stations,124.75,164.299,38.955,0.0,NO,0.0,,,
2022-09-01 0:00:00,YPF S.A.,2373,No brand,,30-54668997-9,Not available,MACACHA GUEMES 515,Mendoza,MENDOZA,Premium gasoline over 95 octane,Other sectors,91.18991,129.7632,272.32,0.0,NO,0.0,,,
2022-09-01 0:00:00,YPF S.A.,2373,No brand,,30-54668997-9,Not available,MACACHA GUEMES 515,Mendoza,MENDOZA,Premium gasoline over 95 octane,Own service stations,89.52142,128.7332,373.349,0.0,NO,0.0,,,
2022-09-01 0:00:00,YPF S.A.,2373,No brand,,30-54668997-9,Not available,MACACHA GUEMES 515,Mendoza,MENDOZA,Diesel Grade 2,Public passenger transport,111.3589,146.05,72.26263,0.0,NO,0.0,,,
2022-10-01 0:00:00,"PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA",9251,No brand,,30-69554247-6,Not available,"Av. Leandro N. Alem 1180, piso 11",Mendoza,MENDOZA,Diesel Grade 2,Freight transport,128.315,175.836,25.6,0.0,NO,0.0,,,
2022-10-01 0:00:00,SHELL COMPAÑIA ARGENTINA DE PETRÓLEO S.A.,3145,No brand,,30-50672680-4,Not available,AVDA. PTE. ROQUE SÁENZ PEÑA 788,Mendoza,MENDOZA,Diesel Grade 3,Resale to other service stations,125.7658,282.4467,792.2098,0.0,NO,0.0,,,
2022-10-01 0:00:00,TRAFIGURA ARGENTINA S.A.,8647,No brand,,30-70083497-9,Not available,Juana Manso 205 Piso 7,Mendoza,MENDOZA,Premium gasoline over 95 octane,Resale to other service stations,94.875,139.847,26.944,0.0,NO,0.0,,,
2022-10-01 0:00:00,YPF S.A.,2373,No brand,,30-54668997-9,Not available,MACACHA GUEMES 515,Mendoza,MENDOZA,Premium gasoline over 95 octane,"Service stations, consignment",94.608,140.7685,536.531,0.0,NO,0.0,,,
2022-10-01 0:00:00,YPF S.A.,2373,No brand,,30-54668997-9,Not available,MACACHA GUEMES 515,Mendoza,MENDOZA,Diesel Grade 2,"Service stations, consignment",97.1945,137.8852,1443.865,0.0,NO,0.0,,,
2022-10-01 0:00:00,YPF S.A.,2373,No brand,,30-54668997-9,Not available,MACACHA GUEMES 515,Mendoza,MENDOZA,Jet fuel,"Commercial air transport, international",139.7568,139.7568,811.358,0.0,NO,0.0,,,
2022-11-01 0:00:00,"PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA",9251,No brand,,30-69554247-6,Not available,"Av. Leandro N. Alem 1180, piso 11",Mendoza,MENDOZA,Diesel Grade 2,Resale to other service stations,111.889,151.95,107.5,0.0,NO,0.0,,,
2022-11-01 0:00:00,"PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA",9251,No brand,,30-69554247-6,Not available,"Av. Leandro N. Alem 1180, piso 11",Mendoza,MENDOZA,Diesel Grade 2,Freight transport,134.048,182.241,25.06,0.0,NO,0.0,,,
2022-11-01 0:00:00,"PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA",9251,No brand,,30-69554247-6,Not available,"Av. Leandro N. Alem 1180, piso 11",Mendoza,MENDOZA,Diesel Grade 3,Freight transport,173.536,241.758,0.57,0.0,NO,0.0,,,
2022-11-01 0:00:00,SHELL COMPAÑIA ARGENTINA DE PETRÓLEO S.A.,3145,No brand,,30-50672680-4,Not available,AVDA. PTE. ROQUE SÁENZ PEÑA 788,Mendoza,MENDOZA,Diesel Grade 2,Resale to other service stations,109.0972,208.0221,1209.427,0.0,NO,0.0,,,
2022-11-01 0:00:00,SHELL COMPAÑIA ARGENTINA DE PETRÓLEO S.A.,3145,No brand,,30-50672680-4,Not available,AVDA. PTE. ROQUE SÁENZ PEÑA 788,Mendoza,MENDOZA,Premium gasoline over 95 octane,Resale to other service stations,108.0596,280.7375,691.8467,0.0,NO,0.0,,,
2022-11-01 0:00:00,TRAFIGURA ARGENTINA S.A.,8647,No brand,,30-70083497-9,Not available,Juana Manso 205 Piso 7,Mendoza,MENDOZA,Diesel Grade 3,Resale to other service stations,146.304,194.083,40.604,0.0,NO,0.0,,,
2022-11-01 0:00:00,YPF S.A.,2373,No brand,,30-54668997-9,Not available,MACACHA GUEMES 515,Mendoza,MENDOZA,Super gasoline between 92 and 95 octane,"Service stations, consignment",81.64536,123.4148,1635.36,0.0,NO,0.0,,,
2022-11-01 0:00:00,YPF S.A.,2373,No brand,,30-54668997-9,Not available,MACACHA GUEMES 515,Mendoza,MENDOZA,Jet fuel,"Commercial air transport, international",166.4275,166.4275,984.779,0.0,NO,0.0,,,
2022-11-01 0:00:00,YPF S.A.,2373,No brand,,30-54668997-9,Not available,MACACHA GUEMES 515,Mendoza,MENDOZA,Jet fuel,"Commercial air transport, cabotage",163.8767,200.3773,2396.613,0.0,NO,0.0,,,
2022-11-01 0:00:00,YPF S.A.,2373,No brand,,30-54668997-9,Not available,MACACHA GUEMES 515,Mendoza,MENDOZA,Diesel Grade 2,Freight transport,130.1185,172.4081,85.48038,0.0,NO,0.0,,,
2022-11-01 0:00:00,YPF S.A.,2373,No brand,,30-54668997-9,Not available,MACACHA GUEMES 515,Mendoza,MENDOZA,Premium gasoline over 95 octane,Other sectors,99.52725,144.7697,257.965,0.0,NO,0.0,,,
2022-12-01 0:00:00,DELTAPATAGONIA SA,9629,No brand,,30-71537092-8,Wholesale marketer (bulk sale),Av. N. Alem 822 3A,Mendoza,MENDOZA,Super gasoline between 92 and 95 octane,"Service stations, storage and distribution",96.18,140.72,992.0,0.0,NO,0.0,,,
2022-12-01 0:00:00,DELTAPATAGONIA SA,9629,No brand,,30-71537092-8,Wholesale marketer (bulk sale),Av. N. Alem 822 3A,Mendoza,MENDOZA,Premium gasoline over 95 octane,"Service stations, storage and distribution",123.55,173.84,167.0,0.0,NO,0.0,,,
2022-12-01 0:00:00,"PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA",9251,No brand,,30-69554247-6,Not available,"Av. Leandro N. Alem 1180, piso 11",Mendoza,MENDOZA,Diesel Grade 2,Other sectors,146.73,212.84,0.05,0.0,NO,0.0,,,
2022-12-01 0:00:00,"PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA",9251,No brand,,30-69554247-6,Not available,"Av. Leandro N. Alem 1180, piso 11",Mendoza,MENDOZA,Diesel Grade 3,Other sectors,177.58,242.713,0.59,0.0,NO,0.0,,,
2022-12-01 0:00:00,SHELL COMPAÑIA ARGENTINA DE PETRÓLEO S.A.,3145,No brand,,30-50672680-4,Not available,AVDA. PTE. ROQUE SÁENZ PEÑA 788,Mendoza,MENDOZA,Diesel Grade 2,Resale to other service stations,113.0649,219.4418,1373.146,0.0,NO,0.0,,,
2022-12-01 0:00:00,TRAFIGURA ARGENTINA S.A.,8647,No brand,,30-70083497-9,Not available,Juana Manso 205 Piso 7,Mendoza,MENDOZA,Premium gasoline over 95 octane,Resale to other service stations,107.741,155.198,9.855,0.0,NO,0.0,,,
2022-12-01 0:00:00,TRAFIGURA ARGENTINA S.A.,8647,No brand,,30-70083497-9,Not available,Juana Manso 205 Piso 7,Mendoza,MENDOZA,Diesel Grade 2,Resale to other service stations,114.43,155.994,119.953,0.0,NO,0.0,,,
2022-12-01 0:00:00,YPF S.A.,2373,No brand,,30-54668997-9,Not available,MACACHA GUEMES 515,Mendoza,MENDOZA,Diesel Grade 3,Other sectors,143.2029,189.6125,454.238,0.0,NO,0.0,,,
2022/01,CARLOS HORACIO STURNIOLO,1680,ESSO PETROLERA ARGENTINA S.R.L,,20-06903545-1,Retail outlets (retail sale) Liquid fuels only,AV. SAN MARTIN 19,MENDOZA,MENDOZA,Diesel Grade 3,To the public,,,23.06,,NO,0.0,71.26,99.8,99.8
2022/01,CARLOS HORACIO STURNIOLO,1680,ESSO PETROLERA ARGENTINA S.R.L,,20-06903545-1,Retail outlets (retail sale) Liquid fuels only,AV. SAN MARTIN 19,MENDOZA,MENDOZA,Diesel Grade 2,To the public,,,16.8,,NO,0.0,62.83,89.6,89.6
2022/01,COMERCIAL ARGON S.A.,7729,ESSO PETROLERA ARGENTINA S.R.L,,30-62616984-4,Retail outlets (retail sale) Dual (liquid fuels + CNG),PERU 1310 ESQ. GUTIERREZ,MENDOZA,MENDOZA,Diesel Grade 2,To the public,,,99.23,,NO,0.0,59.979,86.149,91.5
2022/01,COMERCIAL ARGON S.A.,7729,ESSO PETROLERA ARGENTINA S.R.L,,30-62616984-4,Retail outlets (retail sale) Dual (liquid fuels + CNG),PERU 1310 ESQ. GUTIERREZ,MENDOZA,MENDOZA,Premium gasoline over 95 octane,To the public,,,70.6,,NO,0.0,71.401,105.818,106.8
2022/01,CORSAN S.A.,9396,SHELL C.A.P.S.A.,,30-71599891-9,Retail outlets (retail sale) Dual (liquid fuels + CNG),AV. MITRE 1802 ESQ. BARCALA,MENDOZA,MENDOZA,Diesel Grade 3,To the public,,,89.03,,NO,0.0,71.4539,100.0338,100.3
2022/01,CORSAN S.A.,9396,SHELL C.A.P.S.A.,,30-71599891-9,Retail outlets (retail sale) Dual (liquid fuels + CNG),AV. MITRE 1802 ESQ. BARCALA,MENDOZA,MENDOZA,Diesel Grade 3,Public passenger transport,,,2.05,,NO,0.0,69.8557,98.1,0.0
2022/01,DALLWYN SA,1350,YPF,,30-70478574-3,Retail outlets (retail sale) Dual (liquid fuels + CNG),SALTA 432,MENDOZA,MENDOZA, Compressed Natural Gas,To the public,,,45479.17,,NO,0.0,40.413,48.9,48.9
2022/01,DALVIAN S.A.,2771,SHELL C.A.P.S.A.,,30-54733781-2,Retail outlets (retail sale) Liquid fuels only,AV. CHAMPAGNAT 0001,MENDOZA,MENDOZA,Diesel Grade 3,To the public,,,63.65,,NO,0.0,71.32,100.3,100.3
2022/01,FLAMARIQUE GUILLERMO DANIEL,3725,SHELL C.A.P.S.A.,,20-10350534-9,Retail outlets (retail sale) Liquid fuels only,COLON 194 ESQ ESPAÑA CIUDAD,MENDOZA,MENDOZA,Diesel Grade 3,To the public,,,77.01,,NO,0.0,74.1532,103.3,103.3
2022/01,MENDOZA FUNDACIONAL S.A.,6816,YPF,,30-70918662-7,Retail outlets (retail sale) Dual (liquid fuels + CNG),CORONEL BELTRAN 634,MENDOZA,MENDOZA,Premium gasoline over 95 octane,To the public,,,97.73,,NO,0.0,69.926,101.909,105.2
2022/01,NADGAN SA,1543,YPF,28/2023/04,30-68933210-9,Retail outlets (retail sale) Liquid fuels only,JORGE A. CALLE 695,MENDOZA,MENDOZA,Diesel Grade 3,To the public,,,6.352,,NO,0.0,70.199,98.3,98.3
2022/01,OPESSA 5TA. SECCIÓN,6539,YPF,23/2007/11,30-67877449-5,Retail outlets (retail sale) Dual (liquid fuels + CNG),PASO DE LOS ANDES E/ANDRADE Y MENDOZA,MENDOZA,MENDOZA, Compressed Natural Gas,To the public,,,60152.0,,NO,0.0,39.539,47.981,48.089
2022/01,SUN GROUP INVESTMENTS S.A.,7951,SHELL C.A.P.S.A.,,33-71225112-9,Retail outlets (retail sale) Dual (liquid fuels + CNG),GARIBALDI 588,MENDOZA,MENDOZA,Premium gasoline over 95 octane,To the public,,,92.94,,NO,0.0,80.09,108.7,108.7
2022/01,SUN GROUP INVESTMENTS S.A.,7951,SHELL C.A.P.S.A.,,33-71225112-9,Retail outlets (retail sale) Dual (liquid fuels + CNG),GARIBALDI 588,MENDOZA,MENDOZA,Diesel Grade 2,To the public,,,33.81,,NO,0.0,67.49,89.3,89.3
2022/01,VIBRANIUM SAS,10811,BLANCA,,30-71726702-4,Retail outlets (retail sale) Dual (liquid fuels + CNG),SUIPACHA ESQUINA PASO DE LOS ANDES 701,MENDOZA,MENDOZA, Compressed Natural Gas,To the public,,,31124.68,,NO,0.0,40.488,48.99,48.99
2022/02,CARLOS HORACIO STURNIOLO,1680,ESSO PETROLERA ARGENTINA S.R.L,,20-06903545-1,Retail outlets (retail sale) Liquid fuels only,AV. SAN MARTIN 19,MENDOZA,MENDOZA,Premium gasoline over 95 octane,To the public,,,46.03,,NO,0.0,81.46,119.1,119.1
2022/02,CARLOS HORACIO STURNIOLO,1680,ESSO PETROLERA ARGENTINA S.R.L,,20-06903545-1,Retail outlets (retail sale) Liquid fuels only,AV. SAN MARTIN 19,MENDOZA,MENDOZA,Diesel Grade 2,To the public,,,13.27,,NO,0.0,69.85,98.1,98.1
2022/02,COMERCIAL ARGON S.A.,7729,ESSO PETROLERA ARGENTINA S.R.L,,30-62616984-4,Retail outlets (retail sale) Dual (liquid fuels + CNG),PERU 1310 ESQ. GUTIERREZ,MENDOZA,MENDOZA, Compressed Natural Gas,To the public,,,70034.0,,NO,0.0,44.603,53.97,53.97
2022/02,CORSAN S.A.,9396,SHELL C.A.P.S.A.,,30-71599891-9,Retail outlets (retail sale) Dual (liquid fuels + CNG),AV. MITRE 1802 ESQ. BARCALA,MENDOZA,MENDOZA,Diesel Grade 3,To the public,,,123.18,,NO,0.0,82.6064,113.5283,113.8
2022/02,DALVIAN S.A.,2771,SHELL C.A.P.S.A.,,30-54733781-2,Retail outlets (retail sale) Liquid fuels only,AV. CHAMPAGNAT 0001,MENDOZA,MENDOZA,Super gasoline between 92 and 95 octane,To the public,,,197.97,,NO,0.0,67.23,100.77,101.3
2022/02,ECO MAIPU SA,6518,YPF,,30-70930024-1,Retail outlets (retail sale) Dual (liquid fuels + CNG),mitre 538,MENDOZA,MENDOZA, Compressed Natural Gas,To the public,,,64908.0,,NO,0.0,42.37,51.27,53.97
