src_action_id,publisher,action_name,description,outcome_summary,intervention_summary
ipcc_0038,ipcc,Estimular la producción de energía solar en instalaciones industriales,Fomentar la instalación de sistemas de energía solar en las fábricas para reducir la dependencia de los combustibles fósiles y minimizar las emisiones asociadas.,Las instalaciones industriales generan una mayor parte de su energía a partir de energía solar in situ.,La ciudad fomenta las instalaciones solares en instalaciones industriales.
ipcc_0039,ipcc,Promover la sustitución de materiales tradicionales por alternativas sostenibles,"Estimular la sustitución de materiales convencionales en bienes de consumo por alternativas provenientes de la bioeconomía de Brasil, como bioplásticos a base de caña de azúcar, polímeros reciclados de alta calidad, biotextiles elaborados a partir de fibras de biomasa o residuos agrícolas como semillas de açaí y cáscaras de coco.",Los materiales convencionales se sustituyen por alternativas de bioeconomía sostenible.,La ciudad promueve la sustitución material hacia alternativas sustentables.
ipcc_0040,ipcc,Promover colaboraciones entre la industria y el gobierno para la reducción de emisiones,Fomentar la colaboración entre la industria y el gobierno para crear políticas e incentivos que reduzcan las emisiones industriales y apoyen los objetivos de sostenibilidad.,La política de emisiones industriales se desarrolla conjuntamente con la industria.,La ciudad fomenta la colaboración entre la industria y el gobierno para la reducción de emisiones.
ipcc_0041,ipcc,Apoyar la investigación en tecnologías de fabricación neutras en carbono,Invertir en investigación y desarrollo de tecnologías neutras en carbono y fomentar su adopción en la producción industrial.,Se desarrollan y adoptan tecnologías de fabricación neutras en carbono.,La ciudad apoya la I+D en la fabricación neutra en carbono.
ipcc_0042,ipcc,Establecer objetivos de reducción de emisiones de carbono para los sectores industriales,Establecer objetivos claros y alcanzables de reducción de emisiones de carbono para las industrias y exigir informes periódicos para garantizar el progreso.,Las industrias operan bajo objetivos claros de reducción de emisiones.,La ciudad establece objetivos de reducción de emisiones de carbono para los sectores industriales.
ipcc_0043,ipcc,Fomentar el uso de combustibles de cero emisiones en los procesos industriales,"Promover la transición hacia fuentes de energía y materias primas de cero emisiones en los procesos industriales, como el hidrógeno verde, el biogás de fuentes sostenibles y los e-combustibles sintéticos o productos químicos producidos con electricidad renovable. Estas alternativas reducen significativamente o eliminan las emisiones de los procesos en comparación con los combustibles de origen fósil.
Las ciudades pueden acelerar este cambio implementando proyectos piloto y de demostración, estableciendo estándares de compras verdes, agilizando los procesos de permisos y creando incentivos específicos, todo ello alineado con las hojas de ruta nacionales y sectoriales de descarbonización.",Los procesos industriales cambian hacia combustibles de cero emisiones.,La ciudad fomenta el uso de combustibles de cero emisiones en la industria.
ipcc_0045,ipcc,Transición a energías renovables para las operaciones industriales,"Fomentar la transición hacia fuentes de energía renovable como la eólica, solar e hidroeléctrica en las operaciones industriales para reducir el uso de combustibles fósiles.",Las operaciones industriales cambian hacia la energía renovable.,
ipcc_0049,ipcc,Desarrollar e implementar políticas de economía circular,"Las políticas de Economía Circular (EC) buscan cerrar el ciclo de los flujos de materiales y energía mediante la reducción, reutilización y reciclaje de recursos. Estas políticas promueven bienes duraderos, la reutilización y la remanufactura, la simbiosis industrial y la simbiosis urbana para minimizar los residuos y reducir las emisiones de GEI. Las políticas de EC operan a nivel micro, meso y macro para integrar estrategias como el ecodiseño, cadenas de suministro sostenibles y la simbiosis energética urbana.","Los flujos de materiales y energía se cierran mediante estrategias de reducción, reutilización y reciclaje.",La ciudad desarrolla e implementa políticas de economía circular.
ipcc_0050,ipcc,Crear incentivos fiscales para las empresas que adopten tecnologías limpias,"Implementar incentivos fiscales y subsidios para las empresas que inviertan en tecnologías limpias, lo que conducirá a una reducción sustancial de las emisiones.",Se acelera la adopción de tecnologías limpias por parte de las empresas.,La ciudad crea incentivos fiscales para la adopción de tecnologías limpias.
ipcc_0052,ipcc,Reducir la deforestación y la degradación,Reducir la deforestación y la degradación de los bosques para conservar el carbono almacenado en la vegetación y el suelo forestal evitando la pérdida de cobertura arbórea y las perturbaciones. Esto implica mejorar la gobernanza forestal y apoyar la gestión comunitaria de los bosques. Fortalecer el monitoreo y la aplicación de la ley para prevenir la deforestación ilegal y promover el uso sostenible del suelo.,Se evita la pérdida de cobertura arbórea y la alteración del bosque.,
ipcc_0053,ipcc,"Implementar la forestación, la reforestación y la restauración de ecosistemas forestales","Avanzar en iniciativas de plantación de árboles y recuperación de bosques que fortalezcan la biodiversidad, los servicios ecosistémicos y la captura de carbono. La forestación establece nuevos bosques en tierras que históricamente no eran boscosas, la reforestación restaura áreas deforestadas y la restauración de ecosistemas prioriza las especies nativas y la integridad ecológica. Los gobiernos municipales deben evitar los monocultivos, asegurar que los proyectos generen beneficios a largo plazo e involucrar a las comunidades locales para que los esfuerzos de restauración aporten valor social, cultural y económico junto con beneficios ambientales.",La cubierta forestal se expande y se restauran los ecosistemas degradados.,"La ciudad implementa forestación, reforestación y restauración de ecosistemas."
ipcc_0054,ipcc,Adoptar prácticas de gestión forestal sostenible,"La gestión forestal sostenible de los bosques ya gestionados aumentará las reservas de carbono, mejorará la calidad de la madera, mitigará las perturbaciones y proporcionará co-beneficios como la conservación de la biodiversidad, la regulación del agua y la protección del suelo. Las prácticas incluyen rotaciones más largas, reducción de la tala, bosques mixtos y silvicultura inteligente frente al clima, y trabajar con los Pueblos Indígenas es esencial para salvaguardar su labor y prácticas. Las ciudades pueden aplicar estos principios si son responsables de la gestión forestal, o asociarse con quienes lo son para fomentar y apoyar las mejores prácticas.",Los bosques gestionados acumulan mayores reservas de carbono bajo prácticas de gestión sostenible.,
ipcc_0055,ipcc,"Implementar la gestión de incendios en bosques, pastizales y sabanas","Implementar prácticas de gestión de incendios, incluyendo quemas prescritas y manejo de recursos naturales, para reducir los incendios forestales incontrolados en bosques y sabanas. Se enfoca en salvaguardar la vida, la propiedad y los recursos, al mismo tiempo que mitiga las emisiones de GEI y mantiene las reservas de carbono. Las ciudades pueden aplicar estos principios si son responsables de la gestión forestal, o asociarse con quienes lo son para fomentar y apoyar las mejores prácticas. Trabajar con los Pueblos Indígenas para proteger o apoyar sus propias prácticas de quema y enfoques de gestión del fuego.","Se reducen los incendios forestales incontrolados en bosques, pastizales y sabanas.",La ciudad implementa o se asocia con prácticas de manejo de incendios.
ipcc_0056,ipcc,Reducir y prevenir la degradación y conversión de pastizales y sabanas,"Prevenir la conversión de pastizales y sabanas en tierras de cultivo para conservar el carbono del suelo y la biodiversidad, e implementar prácticas sostenibles de manejo del suelo en tierras de cultivo y pastizales para aumentar el carbono orgánico del suelo. Las ciudades pueden promover el pastoreo sostenible, la reducción de la labranza, la gestión del fuego, la aplicación de biochar, la mejora de variedades de pastos y las prácticas de manejo de la vegetación, al mismo tiempo que desincentivan el cambio de uso de suelo que acelera la degradación. Las alianzas con comunidades locales y la alineación con iniciativas regionales de conservación fortalecen la protección de estos ecosistemas. Estas actividades buscan aumentar la materia orgánica del suelo, mitigar las emisiones de GEI y proporcionar co-beneficios para la biodiversidad, el suministro de agua y la seguridad alimentaria.",Los pastizales y sabanas están protegidos de la conversión y gestionados para obtener más carbono en el suelo.,
ipcc_0057,ipcc,Restaurar turberas degradadas y prevenir su conversión o degradación adicional.,"Proteger las turberas intactas de la tala, el drenaje y la conversión que liberan grandes emisiones de carbono, y rehumedecer y revegetar las turberas degradadas para evitar una mayor degradación. Los gobiernos municipales pueden mejorar la gobernanza y el monitoreo, restringir la expansión agrícola y colaborar con programas regionales y nacionales para la conservación de humedales. Salvaguardar estos ecosistemas preserva el almacenamiento de carbono, reduce los riesgos de incendios y protege la biodiversidad y los servicios ecosistémicos. La restauración de turberas mantiene la regulación del agua, la prevención de inundaciones y puede fomentar medios de vida sostenibles a través de la paludicultura.",Las turberas se protegen del drenaje y las turberas degradadas se vuelven a humedecer.,
ipcc_0060,ipcc,Proteger y restaurar los humedales costeros,"Restaurar ecosistemas costeros degradados o dañados, incluyendo manglares, marismas salinas y praderas marinas. La restauración incluye enfoques pasivos (eliminación de los factores de degradación) y activos (manipulación ambiental) para restablecer las funciones del ecosistema y el potencial de secuestro de carbono. Esto apoya la conservación de la biodiversidad, la producción pesquera, la estabilización del suelo, la regulación de la calidad del agua, la prevención de inundaciones y la resiliencia frente a ciclones. Las ciudades pueden llevar a cabo actividades de restauración por sí mismas, exigir la restauración como parte de la planificación urbana y las regulaciones de uso del suelo, o asociarse con el gobierno, organizaciones ecológicas y otros socios para realizar proyectos de restauración. Los incentivos económicos o las regulaciones sobre actividades que degradan los humedales costeros también pueden ser efectivos.","Los humedales costeros (manglares, marismas, praderas marinas) están protegidos y restaurados.",
ipcc_0062,ipcc,Crear alianzas para implementar plantas de biochar.,"El biochar se produce al calentar materia orgánica (por ejemplo, residuos forestales, paja, estiércol) en ambientes con poco oxígeno. Tiene un importante potencial de mitigación mediante la eliminación de dióxido de carbono (CDR), la reducción de emisiones de gases de efecto invernadero y beneficios en la aplicación al suelo, como la mejora de la fertilidad y la reducción de emisiones de N2O. Las ciudades pueden considerar probar y adoptar estas tecnologías, en colaboración con productores rurales locales, empresas de servicios públicos y otros actores industriales.",Los residuos orgánicos se convierten en biocarbón para el almacenamiento duradero de carbono y su aplicación al suelo.,La ciudad colabora en las pruebas y el despliegue de plantas de biocarbón.
ipcc_0064,ipcc,Reducir las emisiones de metano provenientes de la fermentación entérica en el ganado,"Esta acción se dirige a las emisiones de metano (CH4) provenientes de la fermentación entérica en el ganado mediante intervenciones directas como aditivos alimentarios, inhibidores o vacunas, y medidas indirectas como la mejora de la eficiencia productiva a través de mejores prácticas de cría y manejo. También incluye la manipulación temprana del bioma ruminal. Adoptar o desarrollar normas locales para aditivos alimentarios, vacunas e inhibidores, y apoyar a los productores rurales para superar barreras relacionadas con los costos, la infraestructura y las capacidades en este tema.",Cae el metano de la fermentación entérica del ganado.,
ipcc_0067,ipcc,Mejorar la gestión del estiércol y las prácticas de nutrición de cultivos,"Promover enfoques colectivos y rentables para reducir las emisiones de metano (CH₄) y óxido nitroso (N₂O) provenientes del almacenamiento y uso de estiércol, así como la implementación de prácticas mejoradas de manejo de nutrientes en cultivos para disminuir las emisiones de N₂O en suelos agrícolas. Los gobiernos municipales pueden apoyar el desarrollo de biodigestores cooperativos, iniciativas de compostaje y mejores instalaciones de almacenamiento, al mismo tiempo que fomentan una mejor aplicación de fertilizantes, la rotación de cultivos y prácticas de pastoreo. Estas medidas mejoran la recuperación de nutrientes para la producción agrícola, reducen los costos de fertilizantes y generan co-beneficios como energía renovable a través del biogás. Al facilitar modelos de financiamiento, asociaciones y asistencia técnica, las ciudades pueden ayudar a los agricultores a adoptar prácticas sostenibles de manejo de estiércol y nutrientes a gran escala.",Disminuyen las emisiones de estiércol y nutrientes de las tierras de cultivo.,
ipcc_0068,ipcc,Piloto de bioenergía con captura de carbono en colaboración con empresas de servicios públicos/industria.,"La bioenergía implica producir energía a partir de fuentes orgánicas como biomasa, residuos orgánicos y restos de cosecha, desplazando los combustibles fósiles en la producción de calor, electricidad y combustibles. Cuando se combina con captura y almacenamiento de carbono (BECCS), almacena carbono biogénico en reservorios geológicos o terrestres, logrando emisiones negativas. BECCS también puede integrarse con la agricultura y la silvicultura para obtener co-beneficios como la restauración de tierras y la producción de biogás. Las ciudades pueden considerar la implementación piloto y la prueba de estas tecnologías, en colaboración con productores rurales locales, empresas de servicios públicos y otros actores industriales.",La bioenergía con pilotos de captura y almacenamiento de carbono almacena carbono biogénico de forma duradera.,La ciudad pone a prueba BECCS en asociación con servicios públicos y la industria.
ipcc_0069,ipcc,Promover dietas sostenibles y saludables,"Apoyar la transición hacia patrones alimentarios que mejoren la salud y reduzcan los impactos ambientales. Esto suele centrarse en reducir el consumo de alimentos de origen animal (especialmente rumiantes) y promover opciones basadas en plantas, haciendo que la acción sea implementable y socialmente equitativa. Las ciudades pueden actuar a través de políticas de compras públicas en escuelas, hospitales, eventos y otras instituciones, así como mediante campañas de concienciación y la promoción de guías alimentarias nacionales.",Las dietas cambian hacia un menor consumo de alimentos de origen animal y un mayor consumo de alimentos de origen vegetal.,La ciudad promueve dietas sostenibles y saludables a través de la contratación y la sensibilización.
ipcc_0070,ipcc,Reducir la pérdida y el desperdicio de alimentos,"La pérdida y el desperdicio de alimentos pueden reducirse mediante medidas a lo largo de toda la cadena de suministro alimentaria, incluyendo tecnologías y comportamientos mejorados en la cosecha y postcosecha. Para lograr estos cambios, las ciudades pueden considerar la implementación de políticas sobre el desperdicio de alimentos, como la obligatoriedad de reportes, metas de reducción, campañas de concienciación y educación para los consumidores, infraestructura para el almacenamiento y transporte de alimentos, marcos normativos para la reducción de residuos, incentivos financieros y fiscales, y marketing positivo para productos alimenticios imperfectos.",La pérdida y el desperdicio de alimentos repercuten en toda la cadena de suministro.,
ipcc_0071,ipcc,Aumentar el uso sostenible de productos de madera,"Promover el uso de madera certificada sostenible (por ejemplo, FSC, PEFC) como sustituto de materiales más intensivos en carbono y ecológicamente destructivos como el concreto o el acero. Las políticas pueden incluir la modificación de los Reglamentos de Construcción para incorporar requisitos sobre productos de madera sostenible, y políticas de adquisición urbana para proyectos de capital municipal y gastos que prioricen la madera sostenible, el reciclaje y la extensión de la vida útil de los productos. Asegurar que las políticas incluyan salvaguardas para evitar la promoción del uso insostenible de la madera.",Sustitutos de madera sostenibles certificados para el hormigón y el acero en la construcción.,
ipcc_0074,ipcc,Promover una forma urbana compacta mediante la planificación espacial,"La planificación espacial integrada promueve una forma urbana compacta para reducir las emisiones de GEI al aumentar la eficiencia urbana, apoyar infraestructuras sostenibles como redes de calefacción/enfriamiento distrital y mejorar las áreas verdes. Los procesos de co-diseño mejoran la aceptación pública y la capacidad institucional para respaldar estrategias de mitigación coordinadas.",La forma urbana se vuelve más compacta a través de una planificación espacial integrada.,La ciudad aplica una planificación espacial integrada para una forma urbana compacta.
ipcc_0076,ipcc,Implementar auditorías energéticas en plantas industriales,Realizar auditorías energéticas periódicas para identificar oportunidades de ahorro de energía y reducción de emisiones.,Las plantas industriales identifican y aprovechan oportunidades de ahorro de energía.,La ciudad exige o apoya auditorías energéticas periódicas en las plantas industriales.
ipcc_0105,ipcc,Promover la movilidad activa mediante la reasignación del espacio vial,"Promueve caminar y andar en bicicleta mediante la reasignación permanente del espacio vial de los automóviles a modos activos y sostenibles. Las medidas incluyen el desarrollo de senderos peatonales, infraestructura ciclista protegida, corredores verdes y mejoras de accesibilidad universal. Al priorizar la movilidad activa, las ciudades mejoran la salud pública, la equidad y la resiliencia mientras reducen las emisiones de vehículos privados.",El espacio vial se reasigna de los automóviles a los peatones y las bicicletas.,La ciudad reasigna espacio vial a infraestructura para peatones y ciclistas.
