src_action_id,publisher_id,action_name,action_type,description,investment_cost,implementation_timeline,subsector_number,gpc_reference_number,emissions_impact_text,emissions_impact_numeric,cobenefits,action_role,intervention_type,outcome_summary,intervention_summary,generation_method,priority_or_paradigm,sector_names
CONS_0113,ssg,Expand areas using (renewable) district energy,mitigation,"This action focuses on the energy efficiency gains from having a central system for multiple systems, regardless of the fuel source. It should be used in combination with ""Establish, expand (or switch fuel to) zero emissions fueled district energy systems""",,,I,"[""I.1.1"", ""I.1.2"", ""I.1.3""]",,,,intervention,,,,expert_reviewed,2. Reduce,stationary_energy
CONS_0114,ssg,Install concentrated solar energy generation systems,mitigation,This technology has been deployed only a few times and hasn't always been successful.,,,I,"[""I.1.1"", ""I.1.2"", ""I.1.3""]",,,,intervention,,,,expert_reviewed,3. Replace (or switch),stationary_energy
CONS_0115,ssg,Decarbonize electricity,mitigation,"What does this mean?
Decarbonizing electricity means switching the fuel sources for electricity production from fossil fuels to small-scale solar PV, onshore wind, offshore wind, and utility-scale solar, as well as potentially nuclear power. 
What is the current trend? 
U.S.
In 1990, the use of coal to produce electricity peaked, and since 2000 there has been a sharp increase in the adoption of renewables in the U.S. In 2024 for the first time power generation from wind and solar (17% nationally) was greater than coal (15%). 
Canada
Since 2010, at least 62% of Canada's electricity has been generated by hydro power. In 2023, more than 8% of Canada's total electricity demand was met with wind or solar power. (Source: https://renewablesassociation.ca/by-the-numbers/).  
What is required?
Globally, we need 11,000 GW of renewable energy by 2030. This represented a tripling of the global renewable energy capacity that existed in 2023 when the Tripling Renewable Capacity Pledge was created at COP28. 
Global renewable capacity additions reached almost 560 GW in 2023, an unprecedented 64% year-over-year increase from 2022. This is in line with the annual pace needed to reach nearly 8 000 GW of installed capacity by 2030, a total that matches countries’ current policies, plans and estimates. However China was by far the biggest contributor, installing almost 350 GW of that global total. The rest of the world - especially the European Union, the U.S. and India - need to accelerate their avg annual growth of renewables by at least 36% to achieve this target. (Source: https://www.iea.org/reports/cop28-tripling-renewable-capacity-pledge/executive-summary)",,,I,"[""I.1.1"", ""I.1.2"", ""I.1.3""]",,,,intervention,,,,expert_reviewed,3. Replace (or switch),stationary_energy
CONS_0116,ssg,Produce electricity from hydrological energy,mitigation,"Hydro power actions can include:
- 'Run of river' power which involves installing turbines on rivers (with or without dam infrastructure). This is increasingly being used as a base, steady power source especially in remote communities, even with small rivers.
- Adding power generation to dams that are currently used only for water management.
- Tidal power.
- Wave power.
Hydro is an excellent 'dispatchable' power source, meaning it can produce power almost immediately, any time, on demand.",,,I,"[""I.1.1"", ""I.1.2"", ""I.1.3""]",,,,intervention,,,,expert_reviewed,3. Replace (or switch),stationary_energy
CONS_0117,ssg,"Install solar PV system capacity on rooftops, balconies, within building-cladding, and as shade awnings.",mitigation,"Rooftop Solar PV
Rooftop solar PV is generally installed on south-facing (or to a lesser extent, east and west-facing) areas of a building roof that do not receive a significant amount of shade. Optimally, they are positioned at an angle equal to the location's latitude.
The amount of energy produced depends on the amount of solar irradiation received in the location where the system is installed. E.g. a system installed in Ontario receives an avg of 1,166 'equivalent full sunlight hours' whereas one installed in BC receives 1,004 'equivalent full sunlight hours'. As a result, on average a solar system installed in Ontario will produce more power than one of the same size installed in BC. 
Rooftop solar PV only provides energy when the sun is shining. It provides more energy the closer the suns rays are to perpendicular to the panel. So these systems will provide less energy during seasons when the sun is lower in the sky.
Many systems generate more than the building they are installed on needs on sunny summer days. This excess energy can be stored in batteries onsite to be used later, or it can be provided back to the grid. A net-metering agreement refers to the situation in which a building with a solar system remains connected to the grid so that it can provide excess production back into the grid, and also so that when the solar system isn't producing power, the building can draw from the grid. 
Plug-in Balcony Solar Panels
These are small, bery inexpensive solar panels that can be hung over a balcony a plugged into an ordinary outlet in the house where theybegin providing power to the house. They don’t feed back into the grid. In the US, they can cost $2000, and pay for themselves in savings within 3 years. They’re most popular in Germany where there are now more than 1.2 million systems operating.",,,I,"[""I.1.1"", ""I.1.2"", ""I.1.3""]",,,,intervention,,,,expert_reviewed,3. Replace (or switch),stationary_energy
CONS_0118,ssg,"Establish, expand, or switch fuel to zero emissions fueled district energy systems",mitigation,"What is it? District energy is one of the oldest concepts about energy in history, dating back at least to the ancient Romans. It refers simply to connecting multiple buildings to a single source of heating and cooling. That source may be a natural gas furnace (which in 2023 the majority of the systems still were), industrial-scale heat pumps, geothermal wells, deep lakes, waste heat from underground sewer systems, etc. and distributing that heat or cooling via water or steam flowing through underground pipes. 
What's the benefit? The advantages of district energy include: 
- Efficiency and economies of scale: Building heating and cooling for many buildings are controlled by just one system. This means you only need to pay for and perform maintenance on one system.
- Less energy is wasted because there are more opportunities to make smart use of the energy within a number of buildings. That is, within a district energy system, energy can be moved around among buildings, so that if one area needs to be cooled off and another heated, you can simply move the heat away from one towards the other, rather than expending energy to blow cool air outdoors from one, and then burning fuel to heat the other. 
- When it comes to decarbonization, you 'only' need to upgrade the one, large central system and the benefits flow seamlessly through the same steam or water-filled pipes to hundreds or even thousands of people in work or home settings, eliminating many more emissions from a single upgrade initiative than if you had to do each building separately. 
- You can also improvement efficiency by adding combined heat and power systems to take excess heat from the buildings within the district and produce electricity from it to be used within those same buildings.
- District energy systems can make use of a greater variety of emissions-free sources, such as solar thermal, sewer heat, biogas, cold lake water, biomass and ground heat, and combine them at a centralized location to be distributed to the connected buildings. This means DE can take advantage of combining multiple small sources of heating or cooling in ways that single building heating/ cooling systems cannot.
- The efficiency of DE systems often attracts private investment from building owners (in the interest of saving on energy bills) and supports local economic development.
 
Where should it be considered? A minimum intensity of energy use - 140 GJ / sq meter - is generally required for the economics of the steam or water distribution network to be practical. So a moderately-dense to dense set of buildings is optimal. The central plant also takes up a certain amount of space, and if the facility is using geothermal energy, a well field also needs to be drilled. Both of these factors often make it easiest to implement in new, large-scale developments. Many of the first district energy systems in North America were established on university campuses or in hospitals - locations where a large number of buildings were being built all at once and would be managed by one entity. Similarly today, district energy is often easiest to implement in a new, large-scale development. But it can also be retrofit into many situations. 
How would we help a client determine where they could put district energy? 
1. CityInSights energy outputs can be combined with GIS polygons a community's zones to produce a map of energy use by zone for any year that is modelled. Wherever a zone or a small cluster of zones is modelled to require at least 140 MJ / m2, district energy could be feasible. In absence of the GIS data or map representation, we can also look at the spreadsheet of energy use by zone, and find individual zones with 140 GJ+ of energy use in future years.  
2. If there is a whole new community being planned - either greenfield or infill - this is usually an excellent place to consider district energy preferably for at least a somewhat dense urban form. New infill communities give you opportunities to look at using waste heat from existing sewer networks or neighbouring industrial waste heat, which is extra cool. 
3. Large existing or new buildings such as that have large areas of ground that are exposed (e.g. sports fields) or almost exposed (parking lots) are great opportunities to retrofit for geothermal district energy because you can easily add a field of geothermal wells to the area without having to disrupt buildings.
	Any new district energy system we propose should use a renewable or alternative energy source, such as geothermal or ground-source heat exchange, and use of underground waste heat from industry or sewer lines. Building a new district energy system to use natural gas strictly will be more energy-efficient than putting natural gas furnaces or boilers in each building separately, but it is also installing costly infrastructure based on using fossil fuels, which isn't doing our clients any favours. They'll need to spend significantly more in the not-too-distant future to replace the whole thing with a zero emissions alternative. This is one of those cases where whatever we propose should be the right system for when it's still operating 30 years from now.   
What should we do with existing district energy systems? Firstly, make sure you find out whether there are any district energy systems in the community you're working with. City staff don't always know, and if they don't know, you're most likely to find them with a little research, at their universities or hospitals. Unless the system is quite new, existing district energy systems in North America are still generally using natural gas. These can and should be modeled to be more energy-efficient by adding combined heat and power, and they should be switched to zero emissions energy sources. Operationally, the easiest switch for such systems is to go to renewable natural gas. And if you already have a lot of actions to model or your client is new to climate planning, this may be a good enough option to choose. But you should at least be certain to communicate when discussing the actions, and again in the Plan, that the cost of renewable natural gas is forecast to be high, and all forecasts indicate there won't be enough of it to go around so we should preserve it for other purposes. (See the Renewable Natural Gas actions for more details.) If you can't take the time to incorporate district energy into the modelling, your Plan should still include a recommendation 
Where are there district energy systems currently? There are thousands of district energy systems operating in every country in the world, with over 900 district energy systems in North America alone as of 2023. Virtually every major city - including Paris, Vancouver, New York, Boston, Denver, San Francisco, Moscow all have district energy systems. And virtually all of the buildings in Iceland are heated by geothermal district energy. In the UAE and across the Middle East, there's recently been a massive shift to start using district energy for cooling! This will increasingly make sense as the world warms. 
Why isn't it as common in North America as natural gas furnaces? And why is it so common in Europe and especially Scandinavia? In North America, fossil fuel has been so cheap for so long that district energy hasn't become the default way of planning to heat a community. There simply hasn't been much pressure to gain the efficiencies that come with district energy. By contrast, after the oil crisis of the 1970s, many northern European countries passed legislation requiring that any electricity generator also capture and use the waste heat from electricity generation and use it through district energy systems. As a result, there are lots of DE systems in Scandinavia in particular, and also across Europe. With the climate crisis, more North American communities are considering opportunities for DE, but there is much more potential for it to be used as a more comprehensive and default approach to heating an cooling. 

See also: https://www.volts.wtf/p/whats-the-deal-with-district-energy",,,I,"[""I.1.1"", ""I.1.2"", ""I.1.3""]",,,,intervention,,,,expert_reviewed,"2. Reduce,3. Replace (or switch)",stationary_energy
CONS_0119,ssg,Replace all fossil fuels for domestic water heating with zero emissions fuels and/ or waste heat,mitigation,,,,I,"[""I.1.1"", ""I.1.2"", ""I.1.3""]",,,,intervention,,,,expert_reviewed,3. Replace (or switch),stationary_energy
CONS_0120,ssg,Produce non-electricity energy from renewable and alternative sources,mitigation,,,,I,"[""I.1.1"", ""I.1.2"", ""I.1.3""]",,,,intervention,,,,expert_reviewed,3. Replace (or switch),stationary_energy
CONS_0121,ssg,"Replace all fossil fuels for space heating with zero emissions fuels, heat exchange, and/ or waste heat",mitigation,"To be completed.
Ground-source heat exchange in Canada’s north: https://globe2go.pressreader.com/article/281719800810358",,,I,"[""I.1.1"", ""I.1.2"", ""I.1.3""]",,,,intervention,,,,expert_reviewed,3. Replace (or switch),stationary_energy
CONS_0122,ssg,Procure zero emissions electricity,mitigation,,,,I,"[""I.1.1"", ""I.1.2"", ""I.1.3""]",,,,intervention,,,,expert_reviewed,3. Replace (or switch),stationary_energy
CONS_0123,ssg,"Install small, modular nuclear reactors",mitigation,,,,I,"[""I.1.1"", ""I.1.2"", ""I.1.3""]",,,,intervention,,,,expert_reviewed,,stationary_energy
CONS_0124,ssg,Install nuclear power generators,mitigation,"A nuclear reactor is a device used to initiate and control a fission nuclear chain reaction or nuclear fusion reactions. Nuclear reactors are used at nuclear power plants for electricity generation. Heat from nuclear fission is passed to a fluid (water or gas), which in turn runs through steam turbines. These turn electrical generators' shafts. Nuclear generated steam can in principle also be used for industrial process heat or for district heating. 

Nuclear reactors do not produce greenhouse gas emissions, and nuclear power plants produce a tremendous amount of energy. A kilogram of uranium-235 (U-235) converted via nuclear processes releases approximately three million times more energy than a kilogram of coal burned conventionally. The power plant operates by controlling and limiting a series of exothermic chain reactions, and harnessing the energy released from those reactions. These exothermic reactions can persist for a long time, and tremendous amounts of water are required to cool the reactors enough to keep them safe. Controlling nuclear reactors is done both manually and using automation. There are automated processes that take over if safety issues are detected. 

Despite automated shut-downs however, extreme seismic events, an extended loss of power, or physical damage from warfare can cause a plant to release radioactivity into the surrounding land, air and water, killing people, plants and animals, causing cancer, and rendering large areas of land and water unusable and uninhabitable. Due to the severity of this risk, nuclear power stations at present are not often built in many parts of the world. in North America, the process to apply for, design, approve and build a new plant is very lengthy. They were popular for a time, and as of 2022, the International Atomic Energy Agency reports there are 422 nuclear power reactors in operation around the world.",,,I,"[""I.1.1"", ""I.1.2"", ""I.1.3""]",,,,intervention,,,,expert_reviewed,3. Replace (or switch),stationary_energy
CONS_0125,ssg,Use heat exchange to heat and cool public infrastructure,mitigation,"Beyond simply using commercial heat pumps, HVAC systems can be designed in many contexts to simply move heat from where it isn’t wanted to where it is. 

For years, organizations as varied as telecom operators and oilsands refineries have used heat exchange systems to transfer excess heat away from equipment or chemical reactions. In some cases this has simply involved purchasing ‘chillers’ that move heat outside and then release it, essentially wasting it. 

In other cases, where the value of the heat is recognized, it has been transferred to places where it’s needed. This avoids the need to burn more fuel (and pay for it) to create more heat. Examples include:
- The Town of Whitby’s Recreation Centre that warms its swimming pool with heat taken from the water used to make the ice rink.",,,I,"[""I.1.1"", ""I.1.2"", ""I.1.3""]",,,,intervention,,,,expert_reviewed,2. Reduce,stationary_energy
CONS_0126,ssg,"Use grey, recycled or deep lake water for thermal cooling in buildings",mitigation,"Rather than using treated drinking water for purposes other than drinking, this action is about using grey water or other, lower qualities of water wherever possible.

The fundamental idea behind this action is that we should only treat water for any given ourpose as much as the purpose requires it to be treated, and conversely, we shouldn’t use highly-treated water for a purpose that requiires less treatment. 

What follows from this is that we should not for example use drinking water to cool an industrial power plant, or for heat exchange to cool space inside a building. Neither of these uses requires drinking quality water. Instead, perhaps rainwater or grey water with a certain pH and salinity is sufficient.

To do otherwise is to waste in multiple ways: 
- It wastes high-value water on uses that require low-quality/ value water;
- It wastes the energy used to treat the water unnecessarily;
- It wastes system capacity and operational time and maintenance to send water through filters and treatment needlessly;
- It wastes the money required to pay for the energy required to treat and pump water needlessly;
- Whatever processes and fuels are used to power all of this handling, if they release greenhouse gases, then they needlessly consume the world’s carbon  budget, effectivly wasting it.

Instead, the use of water should be carefully controlled to ensure we only treat as much as we require and we don’t use water of a highernquality than required for any given purpose. Where rainwater can be used dire tly - e.g. on gardens- it should be used; where filtered water is required, it should only be filtered, etc. Similarly, if water is produced from one industrial process, it should be recycled on-site as much as possible and re-used repeatedly on industrial sites.",,,I,"[""I.1.1"", ""I.1.2"", ""I.1.3""]",,,,intervention,,,,expert_reviewed,2. Reduce,stationary_energy
CONS_0127,ssg,Generate green hydrogen from renewable energy sources,mitigation,,,,I,"[""I.1.1"", ""I.1.2"", ""I.1.3""]",,,,intervention,,,,expert_reviewed,3. Replace (or switch),stationary_energy
CONS_0128,ssg,Implement systems to capture mechanical energy,mitigation,,,,I,"[""I.1.1"", ""I.1.2"", ""I.1.3""]",,,,intervention,,,,expert_reviewed,3. Replace (or switch),stationary_energy
CONS_0129,ssg,Replace diesel generators with zero-emissions alternatives,mitigation,"Diesel generators are used today in some of the most important, most demanding sectors of the economy: oil & gas drilling, construction, in remote communities, and for data center back-up power. 
However, in addition to diesel being a high-emissions fossil fuel, diesel generators are expensive and inefficient. Energy from diesel generators is 5-10x more expensive than electricity from the grid. Diesel generators are also loud and release harmful air pollutants.
Several zero-emissions options exist for replacing diesel generators.
-  For remote locations that rely on diesel to power much of their heating, cooling and power generation, switching to large grount-mount solar installations with battery storage can very eliminate the need for a significant amount of the diesel generators currently in use. 
- For large-scale electricity back-up in industrial locations, at airports or at large institutions like hospitals, hydrogen-to-power generators are increasingly being used as alternatives to diesel generators. They can sit idle for extended periods without ‘leaking’ energy, and they produce no air pollution when operated. This makes them very valuable for hospitals or seniors residences.",,,I,"[""I.1.1"", ""I.1.2"", ""I.1.3""]",,,,intervention,,,,expert_reviewed,3. Replace (or switch),stationary_energy
CONS_0130,ssg,Switch to green hydrogen fuel,mitigation,"Hydrogen can be used as a fuel for many processes, from driving vehicles to operating high-temperature steel-making furnaces. However, there are several important things to note about hydrogen:
1.  Hydrogen can be produced in ways that generate emissions (e.g. deriving it from natural gas, which is called ‘blue hydrogen’ when the producer sequesters the emissions, and ‘grey hydrogen’ when they do not) and in ways that do not generate emissions (e.g. using hydrolysis powered with zero-emissions electricity to separate water into hydrogen and oxygen, which is called ‘green electricity’). Only green hydrogen is truly zero-emissions, as both blue and grey hydrogen still produce emissions in the upstream portion of natural gas production. 
2. Hydrogen has unique",,,I,"[""I.1.1"", ""I.1.2"", ""I.1.3""]",,,,intervention,,,,expert_reviewed,3. Replace (or switch),stationary_energy
CONS_0131,ssg,Use flywheel technology to store and dispatch energy,mitigation,"Flywheel systems are kinetic energy storage devices that react instantly when needed. By accelerating a cylindrical rotor (flywheel) to a very high speed and maintaining the energy in the system as rotational energy, flywheel energy storage systems can moderate fluctuations in grid demand. When generated power exceeds load, the flywheel speeds up; when load exceeds generation, the flywheel is slowed to convert the energy for distribution. The plant will provide a response time of less than four seconds to frequency changes. With availability of more than 97%, as demonstrated in earlier small-scale pilots, this technology exceeds the average availability for conventional generators performing frequency regulation. You can install 20 MW / acre. They can be installed in sizes from 100 kW to multi-MW. They last at least 20 years and can dispatch 5000 MWh per unit over their lifetime, making them very low cost / kWh. Their charge and discharge rates are identical.",,,I,"[""I.1.1"", ""I.1.2"", ""I.1.3""]",,,,intervention,,,,expert_reviewed,3. Replace (or switch),stationary_energy
CONS_0132,ssg,Install pumped hydro storage,mitigation,"This refers to a situation in which when you have an excess of energy, you pump water up into a storage area, and when you need energy, you allow the water to flow down from the storage, through turbines to produce electricity. 

In cases in which the same water is cycled through this loop repeatedly, it is referred to a closed loop pumped hydro storage system.",,,I,"[""I.1.1"", ""I.1.2"", ""I.1.3""]",,,,intervention,,,,expert_reviewed,3. Replace (or switch),stationary_energy
CONS_0133,ssg,Store heat underground in sand or in rocks,mitigation,"Underground thermal energy storage (UTES) systems store energy by pumping heat into an underground space (such as a borehole, aquifer or cavern) or a substrate like rock or sand. When it's needed above ground it can be drawn back up using the same pumping system. 	
Sand is a favored thermal energy storage media as it has very high thermal stability allowing it to cycle between ambient air temperature and over 1000°C. The wide temperature range increases energy storage density and system efficiency. Sand is widely available and cheap at about $30 a ton. In an insulated silo it would lose only approximately 	1% of the heat a day.",,,I,"[""I.1.1"", ""I.1.2"", ""I.1.3""]",,,,intervention,,,,expert_reviewed,3. Replace (or switch),stationary_energy
CONS_0134,ssg,Capture excess renewable energy by converting it to hydrogen,mitigation,"When on-site renewable electricity generation systems produce more electricity than can be used on-site at the time, that electricity can be directed back into the grid (if it is connected to the grid), or it may simply be lost. Alternatively, it can be converted into store energy. One way to do this is to send it through electrolysis, which separates water into hydrogen and oxygen. The hydrogen can be stored and used as energy at another time.

A Honda facility in Tarronce, California has converted H2 vehicle batteries that can no longer be used in vehicles into a back-up power source for their data center. It replaces a diesel generator, acts as energy storage when excess power is produced from wind or solar, and provides enough ‘instant on’ capacity to react instantly to power outages. It also avoids partially spent batteries from becoming waste.",,,I,"[""I.1.1"", ""I.1.2"", ""I.1.3""]",,,,intervention,,,,expert_reviewed,3. Replace (or switch),stationary_energy
CONS_0135,ssg,Electrify appliances,mitigation,"Decarbonizing appliances refers primarily to eliminating appliances that use GHG-emitting energy sources, which are mainly natural gas stoves. However, there are also significant ways to reduce the total power use of electric appliances, reducing overall energy consumption and reducing emissions where electricity is not yet 100% emissions-free. For example, San Francisco incentivizes the purchase of heat pump clothes dryers.",,,I,"[""I.1.1"", ""I.1.2"", ""I.1.3""]",,,,intervention,,,,expert_reviewed,"2. Reduce,3. Replace (or switch)",stationary_energy
CONS_0136,ssg,Install electric resistance space heating,mitigation,,,,I,"[""I.1.1"", ""I.1.2"", ""I.1.3""]",,,,intervention,,,,expert_reviewed,3. Replace (or switch),stationary_energy
CONS_0137,ssg,Shift freight transportation from trucks to rail,mitigation,"Moving freight long distances by rail releases far fewer emissions than moving it by truck, even when the locomotives run on diesel fuel. 
While municipalities may not be able to install freight railways within their municipality, when we're working with clients representing larger areas (such as Councils of Govt in the US), we can and should be recommending that their transportation planning include shifting as much long distance freight hauling through their jurisdiction away from trucks to rail. To make this truly effective, they should coordinate this with their neighboring jurisdictions and with freight rail carriers to develop a comprehensive and optimized freight rail network. 
Opportunities within a jurisdiction can be found by looking for locations where there is currently a significant amount of trucking consistently traveling back and forth between suppliers and manufacturers or suppliers and ports. These are routes that could potentially be switched to freight rail links.",,,II,"[""II.1.1"", ""II.1.2"", ""II.1.3""]",,,,intervention,,,,expert_reviewed,2. Reduce,transportation
CONS_0138,ssg,Switch to emissions-free energy for heavy duty transportation,mitigation,"What counts as heavy duty transportation?
Heavy duty transportation (or heavy duty vehicles - HDVs) generally refers to a variety of vehicles ranging from long-distance shipping trucks to construction equipment and vehicles, industrial transportation equipment, and some large-scale port vehicles. The majority of these vehicles fall into Class 7 (weighing 26,000 - 33,000 lbs) and Class 8 (weighing > 33,001 lbs).
Is decarbonizing heavy duty transportation different from other vehicles?
Heavy duty vehicles are different from medium and light duty vehicles in that they carry heavier loads, and in some cases carry them long distances. Both of these qualities mean that these vehicles use a greater amount of energy on an average 'trip' than light or medium duty vehicles do. In the relatively short history of electric vehicles, it has been difficult for a battery to provide enough energy to a HDV for it to complete a reasonable amount of a task or a journey before having to charge again. This is changing as battery capacity increases and vehicle efficiencies improve. Manufacturers have also added hydrogen fuel cells to some HDVs, allowing the hydrogen to act as a secondary source of energy by converting it to electricity when required. This extends the range of these vehicles.",,,II,"[""II.1.1"", ""II.1.2"", ""II.1.3""]",,,,intervention,,,,expert_reviewed,3. Replace (or switch),transportation
